@relation 'camel-weka.filters.unsupervised.attribute.Remove-V-R2,3,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,7}


@data
0,437,265,31,7
0,632,316,83,0
0,452,258,34,0
0,789,384,107,0
0,1058,434,171,0
0,972,377,81,0
1,1192,493,179,0
20,500,284,45,0
0,968,376,83,0
3,1316,530,153,0
10,1108,451,175,0
50,1018,425,161,0
0,544,296,74,0
0,571,245,17,0
0,1145,462,172,0
7,1127,456,177,0
2,824,389,78,0
0,1054,426,162,0
3,952,336,81,0
0,818,382,76,7
0,1312,487,134,0
0,562,313,77,0
0,1106,448,173,0
0,1042,428,163,0
14,1186,523,181,0
0,830,396,76,0
0,1269,521,152,0
1,733,436,80,7
4,440,272,32,0
0,938,410,126,0
62,1060,434,170,0
0,749,351,76,7
54,1037,435,168,0
2,753,356,75,7
0,813,393,120,0
0,590,287,40,0
1,705,343,85,0
62,1067,441,174,0
4,841,480,112,0
10,808,327,87,0
0,984,370,61,0
22,448,283,59,0
30,784,366,74,0
0,1212,522,152,0
16,1132,453,177,0
0,543,323,31,7
1,861,319,76,0
13,505,288,51,7
0,684,417,79,7
0,967,375,80,0
0,738,359,96,0
4,713,322,94,0
0,939,408,127,7
13,678,413,80,0
0,1031,550,136,0
0,1211,503,180,0
0,1312,487,134,0
11,959,387,70,7
3,688,392,77,7
0,636,323,78,7
9,1181,511,182,0
0,476,286,32,7
0,934,409,127,0
0,712,350,89,0
0,960,406,130,0
4,1117,451,174,0
1,430,273,33,0
0,972,549,141,0
0,1169,486,177,0
1,899,389,69,7
5,997,379,74,0
0,762,357,74,0
1,834,416,85,0
7,906,329,64,0
0,761,355,74,0
6,661,323,83,7
0,854,408,83,0
0,674,314,84,7
28,760,355,74,7
52,1035,433,166,0
0,830,398,114,0
0,800,387,108,0
0,1064,438,174,0
0,795,326,89,0
0,443,270,36,7
0,803,421,92,0
0,589,275,43,0
1,705,320,93,7
12,469,271,42,0
6,927,408,126,0
1,1003,384,76,0
0,736,320,94,7
0,683,323,79,7
0,833,404,79,0
0,1335,515,147,0
20,966,404,132,0
1,846,393,76,0
5,1006,383,76,0
0,1080,441,179,7
2,1320,531,153,0
0,430,283,57,7
0,516,286,77,7
0,1043,557,143,0
5,491,272,44,7
0,1038,449,94,0
25,614,318,78,0
0,1195,517,175,7
0,1117,452,175,0
0,1070,468,96,7
44,1037,426,159,0
0,1186,524,185,0
0,587,276,43,7
0,435,284,56,0
0,1317,487,135,0
0,642,271,24,7
6,455,271,38,7
0,669,334,23,7
1,667,327,78,7
0,998,381,74,0
0,802,427,84,0
0,798,389,78,0
1,636,347,25,7
5,1066,464,96,0
1,746,350,76,0
0,488,289,56,7
0,891,406,125,0
3,973,375,83,0
3,1028,423,79,0
0,973,372,75,0
9,934,416,129,0
0,1214,522,150,0
0,1070,442,181,0
0,546,302,74,0
0,596,280,25,7
0,983,376,82,0
0,974,481,110,7
1,758,367,102,7
3,754,356,75,7
0,944,336,77,0
2,826,398,81,7
0,1066,463,95,0
0,867,327,69,0
25,984,412,145,0
0,1042,380,64,7
0,1120,453,174,0
2,492,302,29,0
0,713,320,93,0
0,953,385,70,0
0,912,336,84,0
11,1217,521,151,0
0,1033,484,103,0
0,978,542,137,0
0,980,513,130,7
0,854,384,79,7
0,1062,436,168,0
16,500,272,73,0
10,462,271,73,0
