@relation 'cloudstack-weka.filters.unsupervised.attribute.Remove-V-R3,6,last'

@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute timeopen {0,14}


@data
845,49,0
683,424,14
743,442,0
846,58,0
700,413,14
694,363,14
881,440,0
469,288,0
630,389,0
623,347,14
1065,77,0
873,441,0
689,412,0
682,361,14
1165,151,0
1467,23,14
650,384,14
650,362,0
660,359,0
1200,203,0
841,441,0
766,372,0
846,443,0
1197,200,0
234,157,0
644,367,0
650,381,14
1206,164,0
682,360,14
755,374,14
661,378,0
617,351,14
639,381,14
682,413,0
1221,224,0
631,361,0
1261,263,0
847,52,0
788,434,0
710,388,0
1183,184,14
686,415,14
1203,188,0
715,428,0
768,439,0
1278,26,14
642,366,14
689,416,0
660,380,0
759,454,14
938,431,0
806,446,0
1128,300,0
686,430,14
646,382,14
1202,111,0
697,420,0
1216,198,0
700,425,0
611,351,0
667,359,0
2257,3,14
806,442,0
1160,89,0
1260,253,0
702,418,14
881,439,0
266,160,14
806,462,0
773,444,0
620,379,14
791,435,0
1260,254,0
961,407,0
644,368,0
1169,289,0
1257,250,0
639,377,14
678,430,14
1191,173,14
622,347,0
618,379,0
870,47,0
788,423,0
781,458,0
801,423,0
827,54,0
964,398,0
1169,286,0
944,446,14
1212,192,0
938,438,0
877,448,0
1207,192,0
670,387,0
746,444,0
650,406,0
1235,281,0
760,447,0
607,383,14
1207,191,0
767,451,0
794,456,0
710,389,14
687,416,0
806,444,0
835,60,0
237,139,0
943,433,0
235,158,0
1276,23,0
775,445,0
277,164,0
676,428,14
832,66,0
787,424,0
241,143,0
844,321,0
808,448,0
1194,177,0
620,380,0
1234,226,0
637,366,0
693,435,0
1196,211,0
570,337,14
278,168,14
875,436,0
643,362,0
1205,112,0
1164,146,0
969,403,0
726,406,0
844,70,0
389,236,14
483,295,14
844,346,0
1209,172,0
668,417,0
610,348,0
630,389,0
682,362,14
844,354,0
764,370,0
700,418,14
602,345,0
1274,23,14
1205,113,0
641,365,0
1305,30,14
630,388,0
335,203,14
237,159,0
837,62,0
615,390,0
1471,41,0
1186,174,0
695,393,0
944,446,0
1226,280,14
1246,236,0
1130,48,0
700,392,0
672,375,14
844,349,0
243,141,0
1183,183,0
1172,106,0
874,441,0
844,340,0
873,441,0
668,388,0
792,433,0
613,352,0
664,382,0
683,363,14
1171,154,0
1277,27,14
875,441,0
929,374,0
798,461,0
1207,190,0
469,286,14
857,453,0
1237,232,0
726,407,0
844,350,0
251,160,0
870,449,0
804,419,0
1141,285,0
666,357,0
648,366,0
868,45,0
811,449,0
664,388,0
1169,288,0
823,440,14
665,388,14
619,355,0
931,439,0
903,361,0
688,433,0
699,420,14
964,395,0
939,391,0
710,392,14
1202,208,0
711,370,14
1164,143,0
1156,131,0
867,451,0
1141,287,0
791,432,0
251,161,14
669,422,0
901,360,0
664,389,0
667,382,0
620,374,0
1201,213,0
643,398,0
336,210,14
1161,90,0
928,43,0
765,447,14
266,158,14
586,344,0
690,417,14
732,414,0
791,435,0
792,460,0
1251,238,0
1258,251,0
742,445,0
636,362,14
873,442,0
1128,299,0
869,444,0
940,396,0
636,387,0
643,396,0
680,366,0
1250,237,0
674,386,0
974,424,0
643,363,0
274,167,14
1199,160,0
1164,149,0
711,367,0
970,404,0
844,312,0
844,325,0
1253,279,0
671,386,0
1049,20,0
683,423,14
937,437,0
763,446,0
678,429,14
1120,85,0
1444,41,0
944,446,0
1128,294,0
1164,144,0
791,436,14
970,411,0
767,452,0
874,444,0
702,417,0
1163,286,0
1210,165,0
281,174,14
1289,29,0
1128,295,0
1226,225,0
844,328,0
1266,258,0
278,168,14
713,424,0
1078,72,0
693,420,0
823,443,0
613,353,0
806,463,0
844,343,0
630,392,0
649,402,0
790,420,0
714,425,0
620,386,0
838,69,0
806,445,0
939,429,14
765,446,0
677,410,0
930,438,0
1262,266,0
812,442,14
650,383,0
1052,19,0
636,392,0
632,350,14
772,443,0
1198,202,0
926,44,0
1117,52,14
671,391,14
846,57,0
660,386,14
930,377,0
664,356,14
713,426,0
1155,140,0
620,345,14
645,370,0
1204,206,14
710,423,0
638,395,0
969,417,0
240,157,0
266,156,14
611,349,0
1453,40,0
746,446,14
684,360,14
955,426,0
1277,24,0
972,412,0
282,162,14
746,368,14
1377,41,0
647,365,14
1190,174,0
844,340,0
264,149,0
268,164,14
278,167,14
1262,264,0
683,412,0
1262,242,0
278,157,14
241,158,0
844,334,0
870,450,0
221,150,14
748,370,0
1235,228,0
1037,24,0
676,427,0
1121,307,0
690,362,0
931,375,0
629,375,0
772,442,0
695,360,14
771,439,0
681,422,0
1268,272,14
680,418,14
786,443,0
1072,79,0
711,424,0
1128,298,0
242,143,0
885,438,0
790,425,0
661,380,0
964,399,0
690,361,14
660,372,0
1205,115,0
771,442,0
653,368,0
1126,49,0
670,385,0
1255,276,0
661,382,14
612,351,0
934,382,14
615,354,0
745,448,0
681,360,14
773,447,0
802,417,0
711,424,0
668,421,0
934,438,14
1257,249,14
671,385,0
1187,176,0
938,388,0
562,335,14
604,346,14
633,363,0
882,46,0
725,415,0
708,394,0
1198,201,0
641,382,14
696,412,0
1328,32,0
644,369,14
616,350,14
615,354,0
1195,179,0
1161,100,0
1263,260,0
1180,96,0
663,357,0
763,372,0
671,392,14
1170,97,14
758,436,0
651,384,0
227,156,14
1385,40,0
1221,125,0
943,393,0
1172,94,0
1047,23,0
673,377,14
749,373,14
755,373,14
709,396,0
660,381,0
646,384,0
1210,113,0
1329,33,0
1156,130,0
1389,39,0
665,383,0
266,153,0
683,414,0
626,388,0
837,63,0
666,385,0
876,447,0
745,450,14
639,381,0
762,366,0
639,388,0
622,390,0
844,355,0
869,447,0
802,441,0
1050,25,14
930,431,14
928,438,14
278,161,14
648,360,14
1202,209,0
1216,197,0
630,390,0
750,451,0
1245,279,0
1169,284,0
268,161,0
680,419,0
1208,220,0
972,405,0
1238,281,0
619,386,0
960,408,0
1267,272,0
1164,142,0
613,352,14
711,428,14
645,399,0
655,359,0
1405,40,0
889,45,0
1083,43,0
844,315,0
649,405,0
1203,186,0
1263,256,0
670,376,0
783,456,0
1171,93,0
710,400,14
940,434,0
662,388,0
765,450,14
761,438,0
690,423,0
643,365,0
875,440,0
1169,98,0
788,460,0
661,415,0
646,385,0
748,372,14
1249,236,0
719,418,0
667,387,0
1045,19,0
795,461,0
680,419,14
1211,119,0
804,420,0
610,348,0
1245,277,0
1328,31,0
664,386,14
837,440,0
707,426,14
750,444,0
689,362,0
666,387,14
660,382,14
964,400,0
877,448,0
763,370,14
943,437,0
844,329,0
710,390,14
939,390,0
618,354,0
1226,278,0
752,449,0
760,444,0
702,433,14
1169,92,0
668,418,0
688,434,14
693,392,14
1161,99,0
675,386,0
844,339,0
844,320,0
656,378,14
606,385,0
1251,277,0
1170,158,0
619,374,0
869,445,0
645,401,0
971,402,0
643,397,14
600,344,14
1313,23,0
637,365,0
255,139,0
1201,198,0
711,368,14
1077,76,0
1257,247,0
680,425,14
1205,114,0
680,419,0
873,446,0
607,386,14
1121,308,0
671,425,0
649,404,0
276,159,14
682,422,14
1070,78,0
632,349,0
664,382,14
765,448,0
1263,267,0
768,439,0
939,389,0
1150,175,0
790,436,0
1164,145,0
946,394,0
1148,137,0
655,414,0
683,360,0
907,368,0
914,374,0
1078,75,0
664,386,0
844,333,0
702,415,0
840,53,0
247,157,0
931,441,0
844,326,0
844,344,0
1204,205,0
1216,223,0
639,378,0
615,391,14
745,449,14
930,376,0
676,386,14
619,356,0
684,361,0
801,422,0
1194,210,0
805,421,0
675,380,0
825,439,14
665,384,14
844,342,0
844,327,0
1128,297,0
279,162,14
683,413,0
725,410,0
1435,13,14
755,372,0
844,352,0
743,443,0
661,361,0
844,330,0
643,397,14
1214,197,0
810,443,0
653,356,14
1035,45,0
1144,286,0
617,349,14
607,384,0
703,421,0
607,383,0
332,192,14
794,456,0
1181,180,0
700,419,14
674,386,14
936,426,0
664,386,14
683,425,14
620,384,0
1128,296,0
1257,248,0
904,364,0
695,364,14
1184,159,0
1081,71,0
633,353,0
1258,252,0
968,421,0
1173,157,0
972,423,0
790,441,0
1121,305,0
970,419,0
1169,283,0
876,442,0
253,162,0
683,364,0
1235,231,0
748,450,0
1207,216,0
767,372,0
971,401,14
1207,217,0
664,386,14
1121,306,0
682,413,0
1201,199,0
802,462,0
284,142,0
610,388,14
1234,227,0
699,413,14
700,422,14
1204,168,0
639,365,0
668,420,0
844,319,0
652,410,0
907,366,0
1277,28,14
805,443,0
1080,71,0
1353,35,0
1263,265,0
619,384,0
1169,282,0
276,165,0
680,418,14
1086,80,0
1243,278,0
930,432,0
964,394,0
1453,43,0
874,443,0
940,392,0
971,402,14
275,166,0
641,382,0
684,362,0
913,373,0
1158,132,0
1243,235,0
744,446,0
667,417,0
715,429,0
805,444,0
657,375,0
674,379,0
636,363,0
704,420,0
776,456,0
780,457,0
605,384,14
1265,269,0
1159,129,0
844,335,0
861,451,0
884,445,0
726,415,0
268,161,0
1172,104,14
750,437,14
616,349,0
682,432,0
1209,284,0
951,396,0
609,352,0
790,422,0
940,42,0
746,369,14
664,381,0
1355,34,0
1051,40,0
844,313,0
691,430,14
939,41,0
670,386,14
638,364,14
277,166,0
233,141,0
915,372,0
661,373,0
790,432,0
711,372,14
681,359,14
570,336,0
1203,187,0
697,421,14
734,367,14
765,369,14
762,367,14
1128,302,0
963,406,0
681,427,14
808,449,0
1263,257,0
714,427,0
813,446,0
799,461,0
753,376,0
934,381,0
771,440,0
687,431,0
645,400,0
734,365,14
650,368,14
715,429,0
753,453,14
642,363,0
654,413,0
929,46,0
936,386,0
1135,290,0
651,382,0
233,147,0
1260,262,0
233,140,0
649,384,0
830,64,0
862,452,0
962,409,0
661,382,0
236,141,0
701,420,14
636,392,14
1209,170,0
278,166,14
619,386,0
650,407,0
1226,279,0
824,57,0
753,448,0
736,415,14
1260,244,0
794,457,14
1235,229,0
752,374,0
633,362,0
704,421,14
1269,260,0
932,383,0
802,462,0
644,365,14
744,445,0
686,414,0
847,310,0
1186,175,14
844,351,0
696,365,14
1257,245,0
679,418,0
1208,221,0
692,418,0
869,45,0
751,443,0
640,374,0
795,458,0
1255,240,0
620,387,0
711,371,14
907,369,0
799,461,0
649,403,14
844,345,0
655,376,14
789,461,0
844,317,0
935,441,0
1107,84,0
614,351,0
840,54,0
680,413,14
813,447,0
398,255,14
1190,108,0
277,165,14
850,442,0
1236,282,0
1384,41,14
1125,293,0
1146,285,0
638,380,0
639,376,0
225,152,14
1057,20,14
693,394,0
1426,40,0
823,441,0
755,448,14
801,415,0
822,442,0
763,371,0
1257,246,0
801,416,14
680,362,0
790,420,0
1259,273,0
844,318,0
798,461,0
750,374,0
785,445,0
1326,22,0
794,457,0
766,449,14
974,425,0
933,378,0
711,427,0
681,423,0
862,451,0
742,410,0
753,445,0
680,421,0
670,383,0
1200,161,0
671,385,0
653,370,0
943,438,0
1264,268,0
676,426,0
1203,214,0
1268,270,0
1169,288,0
614,345,14
801,462,0
986,45,0
973,418,14
937,387,0
1135,289,0
710,421,14
612,352,0
764,371,14
637,354,0
618,374,0
703,422,0
939,428,0
267,161,14
929,439,0
620,375,0
693,430,14
970,420,0
642,399,0
1208,115,14
635,375,14
1062,39,0
780,439,0
617,350,14
693,421,0
1164,148,0
609,387,14
760,445,0
1149,136,14
1251,276,0
1088,81,0
791,432,0
631,391,0
844,336,0
1259,274,0
930,430,14
808,423,0
930,375,0
322,191,14
974,426,0
681,420,0
737,416,0
795,435,0
660,387,0
668,380,14
745,449,14
1146,286,0
800,461,0
1162,139,0
830,56,0
662,383,0
915,371,0
1162,127,14
760,437,0
1150,133,0
1209,123,0
665,385,0
1365,38,14
890,46,0
937,434,14
942,434,0
332,191,14
1135,288,14
810,445,0
753,438,0
694,359,0
639,386,0
844,348,0
734,366,14
682,425,14
683,362,0
829,65,0
876,448,0
930,436,0
255,140,0
693,419,0
844,324,0
1259,272,0
873,438,0
763,368,0
1349,35,0
870,29,14
849,443,14
645,402,0
762,447,0
1197,199,0
1085,69,0
971,421,0
1143,286,0
1251,278,0
699,414,14
1259,276,0
790,424,0
695,365,14
1119,50,0
627,386,0
335,212,14
1164,147,0
875,443,0
681,419,14
697,422,0
674,378,0
1199,109,14
1078,73,0
764,448,0
846,452,0
647,365,0
826,419,0
750,444,0
643,366,0
647,383,14
251,163,14
1208,117,0
681,421,0
234,157,0
710,401,14
726,413,0
696,362,14
1260,261,0
653,370,0
269,163,0
798,462,0
664,383,14
666,356,14
700,436,0
661,382,0
650,367,0
1169,152,0
844,356,0
1056,26,0
876,449,14
696,432,0
647,384,0
637,365,0
980,46,0
1164,141,0
751,443,0
796,435,0
1180,107,0
2005,3,0
277,160,14
664,384,14
680,415,0
873,445,14
443,267,14
847,71,0
1170,286,0
680,419,0
1451,40,0
844,353,0
1145,287,0
813,443,0
700,427,0
844,322,0
696,393,0
1123,51,0
230,157,0
764,369,0
222,151,0
1268,269,14
733,413,14
389,235,0
653,411,0
265,150,14
1209,124,0
803,423,0
683,365,0
1206,114,0
870,30,14
1066,21,0
709,399,14
668,422,0
1261,273,0
693,390,0
1333,34,0
1199,204,0
787,459,0
749,372,14
699,421,14
683,416,14
1173,156,0
710,420,14
730,413,0
932,380,0
1204,215,0
266,152,0
1204,163,0
619,374,0
277,164,0
844,357,0
695,431,14
1233,226,0
648,360,14
680,417,0
960,408,0
789,421,14
1265,261,0
1156,88,0
1043,41,0
835,59,0
1262,255,0
1435,45,14
1259,275,0
629,387,0
1164,150,0
690,424,14
786,423,14
844,323,0
1180,181,14
770,441,0
670,386,14
1211,118,0
671,424,14
1123,50,0
746,447,0
934,384,0
874,439,0
623,360,0
940,43,0
868,448,0
890,47,0
1173,95,0
939,444,0
1265,261,0
699,423,14
1172,155,0
802,445,0
1205,111,0
619,385,0
1210,126,0
667,377,14
697,423,14
798,444,0
806,446,0
971,415,0
710,399,0
641,367,0
1164,128,0
693,391,0
434,266,14
691,363,14
844,331,0
879,448,0
1372,47,14
660,362,0
664,387,14
1200,162,0
616,348,0
1432,40,0
605,383,0
671,390,0
1210,167,0
710,391,14
1200,198,0
759,455,14
833,67,0
664,383,0
696,422,0
661,378,14
639,375,0
698,414,14
1182,179,0
1161,102,0
767,371,14
951,397,0
699,412,14
619,357,0
335,201,0
1124,86,0
708,395,0
733,414,0
681,421,0
709,395,0
750,452,0
1268,271,14
846,72,0
699,431,14
790,421,0
650,361,0
736,415,0
803,443,0
846,51,0
1128,301,0
1188,176,0
613,352,0
826,425,0
653,371,14
698,417,0
862,453,0
964,397,0
972,422,14
764,449,0
1078,74,0
899,359,0
1353,36,0
770,450,0
700,424,14
939,427,0
933,442,0
1157,87,0
702,419,14
284,143,0
844,314,0
637,394,0
933,379,0
770,440,0
962,408,0
1207,169,0
1513,27,14
698,419,14
1261,241,0
1393,40,0
707,427,0
875,436,0
933,443,0
873,437,0
844,338,0
1265,259,0
665,387,0
251,158,0
838,61,0
724,409,14
792,434,0
1125,292,0
933,381,0
638,363,14
680,414,0
1055,25,0
607,384,0
861,452,0
1435,44,0
844,358,0
629,388,0
606,383,0
733,415,14
711,369,14
1194,178,0
231,142,0
964,396,0
777,445,0
230,158,0
644,371,0
794,423,0
1128,304,0
790,442,0
931,45,0
802,446,0
1169,153,0
690,435,0
1207,218,0
680,416,0
1383,38,0
1210,116,14
1174,288,0
692,363,0
610,347,0
713,425,0
685,412,0
651,408,0
271,167,14
1167,24,0
1155,138,0
799,424,14
634,373,0
700,393,0
675,425,0
755,454,0
903,363,0
1122,291,0
977,400,0
708,427,0
844,347,0
2006,4,0
1059,42,0
633,351,14
648,385,0
688,421,0
624,391,0
873,444,14
1238,281,0
964,401,0
760,445,0
844,337,0
680,364,0
702,416,14
652,368,0
969,401,0
642,383,0
668,380,0
635,364,0
795,436,0
844,316,0
1211,8,14
647,385,0
652,369,0
1240,234,0
1150,135,0
619,359,0
652,368,0
903,362,0
266,157,14
1208,122,0
939,40,0
680,411,0
1229,280,0
844,341,0
845,73,14
1164,285,0
844,311,0
1169,285,0
1154,284,0
799,462,0
1277,25,14
1513,26,0
650,383,0
785,423,0
1210,120,0
1209,171,0
760,443,0
937,432,0
970,410,0
699,430,0
1128,303,0
696,423,14
1212,222,0
651,409,0
681,412,14
672,416,0
278,165,14
969,416,0
650,384,0
1209,120,0
790,423,0
639,387,0
678,431,14
674,417,0
789,434,0
1210,166,0
661,379,0
704,424,14
1353,37,0
773,446,0
654,412,0
869,445,0
281,175,14
648,384,0
1146,285,0
624,346,0
1195,210,0
641,367,14
692,364,14
1236,283,0
613,389,0
844,332,0
687,432,14
934,385,0
1085,70,0
631,390,0
802,443,0
654,376,0
793,422,0
939,445,0
611,375,0
1214,196,0
906,309,0
694,392,0
1387,39,0
874,439,0
683,411,0
796,434,0
1204,207,0
683,415,0
781,440,0
1186,183,0
1187,185,0
633,352,14
612,373,0
1125,71,0
801,462,14
1060,44,14
1180,106,0
935,439,0
1260,243,0
903,35,14
776,445,0
612,350,14
265,151,0
271,166,14
614,344,0
266,159,14
1201,110,0
619,358,14
970,418,0
1172,103,0
801,461,0
1162,91,0
668,389,0
664,385,0
951,395,0
749,449,0
608,345,0
803,444,0
554,326,14
936,427,0
270,160,14
669,423,0
1208,219,0
803,442,0
786,441,0
1254,239,0
884,446,0
1100,82,0
642,364,0
767,371,14
635,374,14
747,371,14
615,353,0
836,70,0
1205,115,0
613,355,0
940,435,0
619,374,0
1169,287,0
935,440,0
802,462,0
1216,222,0
806,422,0
401,243,0
1451,46,14
1241,234,0
1202,185,0
235,158,0
770,440,0
789,435,0
927,440,14
634,376,0
651,385,0
767,438,0
612,358,0
1241,233,0
624,345,0
685,429,0
971,413,0
644,400,0
1212,193,0
930,437,0
668,383,0
907,367,0
620,387,0
685,428,0
1212,194,0
1213,195,0
906,365,0
908,370,0
1464,18,0
1210,121,0
1210,7,14
841,57,0
821,56,14
636,376,0
793,460,14
1083,38,0
669,384,0
1009,22,0
842,58,0
1183,32,0
468,287,14
1009,18,0
1052,22,0
1085,33,0
684,426,0
845,50,0
1450,17,0
661,377,0
1017,23,0
849,48,0
242,158,14
1214,29,0
1458,43,14
1443,14,0
1189,30,0
1011,18,0
238,157,14
1472,27,0
1048,24,0
1458,44,14
1448,15,0
1446,16,0
839,68,0
1466,19,0
1233,35,0
1009,21,14
1235,4,14
678,415,14
686,416,0
638,367,14
685,427,0
865,28,0
713,427,0
827,55,0
1456,14,0
666,358,14
1410,39,0
1090,36,0
1080,40,0
1386,36,0
847,48,0
1235,230,0
1364,39,0
714,427,0
1197,212,0
655,361,0
1313,47,14
682,421,14
804,445,0
1184,182,0
1216,199,0
936,425,0
779,438,0
1467,24,0
1220,5,14
684,425,0
635,377,0
989,40,14
926,41,0
1084,35,0
933,32,14
1462,42,0
1083,37,0
670,387,0
1491,22,0
924,41,0
1151,134,14
1273,33,14
1161,101,0
1210,6,0
1233,34,0
875,33,0
1398,29,0
1103,83,0
1172,105,0
1214,10,14
1214,11,14
1473,25,0
1287,32,0
1401,30,0
1213,9,0
640,379,0
615,373,0
1084,41,0
981,41,0
701,433,0
1085,34,0
846,74,0
846,75,0
1081,39,0
807,464,0
1471,21,0
906,31,0
971,414,0
1174,32,0
1247,237,0
1263,12,0
1171,33,0
1011,19,0
1282,31,14
1207,189,14
1169,281,0
1306,12,0
1471,20,0
611,357,0
1282,30,0
1179,31,0
749,448,0
1156,176,0
1528,5,14
1675,7,14
2177,2,0
