@relation 'combined-weka.filters.unsupervised.attribute.Remove-V-R2,6,7,last'

@attribute ncommitsbycreator numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,14}


@data
0,265,31,14
0,316,83,0
0,258,34,0
0,384,107,0
0,434,171,0
0,377,81,0
1,493,179,0
20,284,45,0
0,376,83,0
3,530,153,0
10,451,175,0
50,425,161,0
0,296,74,0
0,245,17,0
0,462,172,0
7,456,177,0
2,389,78,0
0,426,162,0
3,336,81,0
0,382,76,0
0,487,134,0
0,313,77,0
0,448,173,0
0,428,163,0
14,523,181,0
0,396,76,0
0,521,152,0
1,436,80,14
4,272,32,0
0,410,126,0
62,434,170,0
0,351,76,14
54,435,168,0
2,356,75,14
0,393,120,0
0,287,40,0
1,343,85,0
62,441,174,0
4,480,112,0
10,327,87,0
0,370,61,0
22,283,59,0
30,366,74,0
0,522,152,0
16,453,177,0
0,323,31,14
1,319,76,0
13,288,51,0
0,417,79,14
0,375,80,0
0,359,96,0
4,322,94,0
0,408,127,0
13,413,80,0
0,550,136,0
0,503,180,0
0,487,134,0
11,387,70,14
3,392,77,14
0,323,78,14
9,511,182,0
0,286,32,14
0,409,127,0
0,350,89,0
0,406,130,0
4,451,174,0
1,273,33,0
0,549,141,0
0,486,177,0
1,389,69,0
5,379,74,0
0,357,74,0
1,416,85,0
7,329,64,0
0,355,74,0
6,323,83,0
0,408,83,0
0,314,84,0
28,355,74,14
52,433,166,0
0,398,114,0
0,387,108,0
0,438,174,0
0,326,89,0
0,270,36,0
0,421,92,0
0,275,43,0
1,320,93,14
12,271,42,0
6,408,126,0
1,384,76,0
0,320,94,14
0,323,79,14
0,404,79,0
0,515,147,0
20,404,132,0
1,393,76,0
5,383,76,0
0,441,179,14
2,531,153,0
0,283,57,0
0,286,77,14
0,557,143,0
5,272,44,0
0,449,94,0
25,318,78,0
0,517,175,0
0,452,175,0
0,468,96,14
44,426,159,0
0,524,185,0
0,276,43,14
0,284,56,0
0,487,135,0
0,271,24,14
