@relation 'deeplearning-weka.filters.unsupervised.attribute.Remove-V-R1,3,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute timeopen {0,1}


@data
31,442,0
116,675,1
74,333,0
37,1105,1
13,604,0
47,968,0
29,441,0
5,495,0
60,448,0
8,655,0
6,469,0
1147,418,0
32,454,0
31,977,0
54,447,1
2,623,0
2,725,0
4,376,0
4,401,0
18,643,0
8,472,0
49,493,1
136,485,1
160,493,1
84,261,0
174,1024,0
16,738,1
83,1041,1
209,262,0
30,432,1
151,455,1
3,628,0
27,356,1
42,508,0
78,486,1
56,695,0
132,505,1
559,448,1
52,616,1
2,626,0
37,300,0
57,369,1
76,396,1
20,604,0
13,277,0
81,674,1
2,640,0
12,284,1
10,338,0
2,542,0
7,513,0
26,1085,1
8,575,0
9,844,0
165,1040,1
7,493,0
157,381,1
2,631,0
6,257,0
6,652,0
2,511,0
134,336,1
14,1031,1
40,420,0
9,352,0
121,969,0
41,447,0
105,435,0
43,1099,1
70,1058,1
45,612,0
8,1052,0
22,352,1
27,790,1
434,454,0
15,417,0
141,350,0
139,657,1
35,263,0
51,462,0
24,607,0
55,441,1
54,857,1
5,1091,0
5,778,0
315,368,1
1,734,0
5,464,0
290,416,1
39,958,1
12,270,0
33,919,0
75,987,1
10,276,1
9,532,0
122,1059,0
391,631,1
27,404,1
4,1053,0
114,669,0
24,284,1
66,674,1
4,1107,0
57,1101,1
37,576,0
256,439,0
15,676,0
7,578,0
31,326,0
2,449,0
37,875,0
6,434,0
45,338,0
56,1060,0
6,650,0
11,324,0
28,874,1
5,439,0
9,536,1
77,1047,1
100,244,0
27,308,1
79,466,1
8,748,0
83,667,0
203,277,0
126,499,0
12,492,0
42,966,0
174,539,1
8,449,0
35,383,0
18,373,0
10,772,0
196,577,1
60,330,0
10,484,0
519,496,1
2,588,0
49,272,1
40,632,0
106,448,1
2,646,0
55,514,1
1,591,0
105,738,1
26,654,0
19,449,0
39,338,0
26,387,0
9,454,0
103,275,0
37,324,1
2,664,0
35,277,0
9,451,0
86,257,1
5,579,0
54,964,1
90,403,0
3,316,0
36,334,0
228,568,1
5,487,0
3,587,0
50,446,0
3,272,0
22,377,1
149,1074,1
10,975,0
6,567,0
6,981,0
9,548,0
37,935,0
15,442,0
10,577,0
12,573,0
160,376,1
180,671,1
140,330,0
6,974,0
6,649,0
8,1096,0
13,284,1
3,1050,0
8,312,1
75,574,0
8,589,0
4,495,0
109,452,0
15,1021,0
33,750,1
7,463,0
45,517,1
75,468,1
150,387,1
22,1053,0
18,652,1
30,415,1
36,1025,0
21,537,0
21,449,0
52,937,1
30,495,1
1,610,0
11,667,0
162,726,0
7,708,0
1,266,0
122,645,1
43,371,0
278,368,1
104,447,0
27,1027,1
21,626,0
62,466,1
13,1009,0
2,637,0
18,439,0
16,604,0
19,532,0
53,605,1
74,279,1
8,632,0
126,486,1
11,423,0
60,381,1
4,1053,0
35,448,0
15,492,0
44,576,1
39,443,0
13,1113,1
22,673,1
43,316,1
4,352,0
100,431,0
128,1110,0
22,469,0
7,978,0
44,490,0
10,976,0
324,726,1
189,571,1
33,633,0
74,316,0
19,591,0
56,803,1
13,459,1
107,498,1
20,672,1
22,368,1
10,378,0
6,653,0
8,788,0
10,514,0
46,541,0
9,388,0
35,574,1
9,471,1
57,675,0
33,905,0
53,1100,1
4,652,0
148,414,1
5,244,0
2,957,0
98,472,1
77,372,0
4,802,0
6,1109,0
7,979,0
46,652,0
22,438,0
17,347,1
38,438,0
145,672,1
279,278,1
2,469,0
1,301,0
69,545,0
60,361,1
28,501,1
151,422,1
1279,637,0
42,1028,1
52,418,1
53,446,0
15,669,0
257,575,0
2,646,0
46,636,1
21,807,1
11,675,0
97,629,1
90,328,1
106,1039,1
174,498,1
94,838,0
6,1054,0
202,937,1
93,365,1
88,672,1
36,1030,1
702,638,1
80,475,0
2,646,0
21,466,0
81,1071,1
102,261,0
57,365,0
8,326,1
77,399,0
36,542,0
1,341,0
65,563,1
49,647,1
8,664,0
19,512,1
9,591,0
10,370,0
42,461,0
9,458,0
116,264,0
9,821,0
51,436,0
52,448,0
29,438,0
8,252,1
4,1060,0
157,534,1
179,814,1
60,338,0
5,807,0
40,731,0
53,203,1
23,1055,1
2,521,0
36,263,1
202,566,0
8,463,0
28,449,1
85,492,0
29,366,0
2,627,0
74,335,1
45,560,0
203,653,0
19,1027,0
2,726,0
85,311,1
5,424,0
63,648,0
80,510,1
51,677,0
5,523,0
10,650,0
106,606,0
30,1071,1
21,575,0
3,1062,0
67,645,1
119,364,0
119,634,0
79,1074,0
14,422,0
5,607,0
115,488,0
51,442,1
14,958,0
65,826,0
8,512,1
10,737,0
14,522,0
2,567,0
27,480,0
7,393,0
94,1071,1
24,749,1
3,466,0
2,335,0
31,584,1
496,383,1
2,627,0
34,650,1
32,439,0
31,436,1
7,677,0
54,432,0
52,1064,0
25,523,0
71,1053,0
12,746,1
82,597,1
8,929,0
37,336,0
136,240,0
205,697,0
20,499,0
69,437,1
21,450,1
6,445,1
113,450,1
2,577,0
24,577,1
99,261,1
112,616,1
4,650,0
6,456,0
59,458,1
199,430,1
6,248,1
30,400,0
30,363,0
461,419,0
32,510,1
7,730,0
18,543,0
407,419,1
271,1065,1
15,650,0
8,658,0
24,442,0
15,203,1
21,714,0
9,426,0
104,368,0
7,578,0
29,490,0
193,730,1
4,711,0
38,579,1
9,515,0
21,467,0
32,574,1
75,605,1
84,401,1
52,274,1
6,435,0
26,373,0
42,210,1
32,598,0
4,447,0
13,456,0
6,626,0
18,572,0
84,655,0
124,319,0
12,529,0
67,985,0
116,1076,1
46,616,0
52,732,1
8,664,0
44,664,0
5,494,0
8,593,0
44,1007,1
409,1031,1
31,454,0
31,369,0
32,852,1
37,937,1
17,472,0
7,269,0
1,256,0
2,645,0
166,1075,1
3,394,0
54,410,0
69,450,1
15,671,1
6,291,0
119,791,1
4,402,1
6,677,0
46,790,1
44,364,0
50,369,0
73,425,1
9,626,0
14,634,0
86,474,0
7,226,0
55,365,0
18,332,0
10,528,0
13,284,1
41,358,1
205,745,0
57,488,1
232,1100,0
45,425,1
76,576,0
65,893,0
71,650,0
5,1105,0
3,1060,0
2,652,1
64,455,1
5,973,0
28,411,1
15,1094,0
2,624,0
31,604,1
31,731,0
12,723,0
31,317,1
2,577,0
35,547,0
85,471,0
20,1112,0
9,647,0
54,411,0
12,753,0
214,397,0
17,278,0
844,564,1
39,724,0
6,1024,0
14,624,0
20,1098,1
68,524,0
14,566,0
28,530,1
21,743,0
47,1000,0
20,734,0
22,474,0
16,925,0
44,546,1
7,577,0
3,702,0
64,494,0
171,401,0
161,1055,1
418,1067,1
3,669,0
3,647,0
109,431,0
17,633,0
9,1055,0
33,670,1
9,574,0
41,401,1
8,564,0
3,536,1
38,501,1
47,670,0
72,385,0
75,372,1
75,598,1
115,980,1
37,636,1
28,768,0
67,446,0
27,633,1
48,461,1
67,349,1
176,466,0
2,449,0
46,258,1
146,648,0
14,417,0
73,331,1
202,671,1
9,388,0
10,675,1
35,984,0
22,510,1
4,646,1
313,629,1
33,674,0
6,421,0
9,465,0
27,672,0
189,564,0
85,1059,0
264,365,1
153,1059,1
58,699,0
170,244,0
15,1058,0
86,370,0
59,715,0
501,370,1
2,625,0
37,526,1
52,635,0
6,649,0
5,776,0
2,532,0
8,416,0
130,530,1
115,671,1
63,551,0
30,654,0
367,393,1
11,431,0
23,937,1
1,543,0
133,579,1
128,264,1
1,299,0
49,611,0
2,664,0
82,1067,1
1544,658,1
74,595,1
45,452,1
5,526,0
6,779,0
22,275,0
36,754,0
61,464,1
13,498,0
40,1024,1
44,601,0
30,572,0
111,543,1
7,475,0
52,624,1
13,396,1
649,723,0
73,597,0
594,565,0
6,1063,0
39,680,0
35,496,1
2,549,0
33,630,0
93,1030,1
12,465,0
7,361,0
7,457,0
168,458,1
18,668,0
37,627,0
32,669,1
21,495,0
10,1113,1
6,256,0
54,668,1
31,594,0
90,816,0
18,549,1
3175,675,0
2,673,1
32,472,0
125,332,0
26,624,0
8,674,0
25,578,0
12,365,0
36,466,0
22,352,0
3,823,0
10,371,0
276,800,1
4,1056,0
34,510,0
14,814,0
40,413,0
91,980,1
26,440,1
131,441,1
332,311,1
498,1075,1
104,287,0
131,738,0
40,619,1
89,758,0
110,287,0
3,564,0
3,510,0
86,437,0
85,625,1
15,260,0
16,1099,1
35,445,0
2,669,0
51,311,1
9,647,0
30,663,0
66,327,0
280,460,0
43,636,1
5,536,1
8,633,0
7,633,0
180,319,0
114,1039,1
74,364,0
40,236,0
11,900,0
78,365,1
2,666,1
7,410,0
19,499,1
3,638,0
18,423,0
82,395,1
25,853,0
6,726,0
5,281,0
101,978,1
8,713,1
24,764,0
93,616,1
50,524,0
7,649,0
58,364,1
15,730,0
14,315,1
40,635,1
2,591,0
59,823,0
127,1039,1
10,502,0
107,463,1
2,649,0
31,1090,0
5,1089,0
6,675,0
36,441,0
467,669,0
321,364,0
5,372,0
84,560,0
51,1027,1
49,975,0
2,577,0
11,446,0
73,389,1
48,1065,1
30,401,1
25,719,0
48,442,0
9,436,1
15,796,0
76,381,1
90,729,0
6,576,0
82,234,0
15,327,1
3,566,0
10,524,0
86,666,0
38,387,1
13,584,0
12,454,0
37,447,0
178,435,1
898,646,1
26,482,0
62,995,1
129,620,1
12,507,0
37,285,1
187,664,1
26,655,0
33,732,1
205,646,1
151,732,1
101,496,1
137,792,1
4,485,0
7,674,0
46,1048,1
90,359,0
181,591,0
2,1040,0
7,1102,0
157,674,1
10,676,0
6,1064,0
16,669,0
16,636,1
167,665,1
26,646,1
10,472,0
41,577,1
9,1079,0
12,465,0
2,625,0
105,365,1
67,692,1
136,467,0
54,631,0
19,368,1
71,627,0
38,319,0
60,1047,0
102,799,0
34,531,0
74,654,0
2,646,0
23,323,0
48,498,1
19,672,0
3,630,0
11,402,0
1,340,0
96,1056,1
2,577,0
161,327,0
23,1097,1
112,311,1
9,688,0
40,439,1
6,650,0
98,368,1
106,683,0
20,1102,0
9,493,0
43,1059,1
92,512,0
312,993,0
3,242,1
41,595,0
106,515,1
1123,329,0
4,292,0
97,639,1
272,434,1
79,1098,1
59,615,1
11,1095,0
5,328,0
2,544,0
100,676,1
2,634,0
402,637,1
109,1105,0
6,449,0
16,636,0
6,580,0
1,1098,0
4,533,0
511,937,1
150,414,1
25,445,0
7,386,1
42,624,0
35,1043,1
19,491,0
56,378,1
2,645,0
102,1037,1
38,404,1
39,203,1
5,470,0
14,444,0
16,614,1
5,610,0
5,475,0
7,581,0
20,238,0
25,1025,1
3,1056,0
4,745,0
7,1026,0
34,728,1
4,330,0
69,746,1
13,542,0
214,826,1
3,367,0
56,534,1
7,1098,0
7,731,0
38,1067,1
49,344,0
7,1101,0
136,1059,0
81,804,1
10,666,0
5,485,0
2,624,0
7,673,0
36,1046,0
33,1101,0
22,672,0
22,580,1
50,368,1
2,532,0
6,479,0
102,928,0
4,367,1
12,647,0
14,282,0
55,362,0
111,421,1
17,462,0
116,674,1
331,1108,1
4,372,0
22,820,1
13,693,0
13,469,1
22,604,0
110,438,1
215,737,1
141,467,0
51,606,1
9,628,0
8,835,0
44,447,1
283,934,0
35,937,1
67,667,1
3,814,0
43,439,0
28,634,0
74,746,1
47,406,0
4,611,0
3,326,1
28,1065,0
68,458,1
2,636,0
11,376,0
2,669,0
6,451,1
