@relation 'hadoop-weka.filters.unsupervised.attribute.Remove-V-R3,6,last'

@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute timeopen {0,90}


@data
580,804,0
776,871,0
841,907,90
684,792,0
593,788,0
683,765,0
676,790,0
765,873,0
915,845,0
587,763,0
776,840,0
675,813,0
836,1016,0
659,791,0
560,670,0
922,1010,0
1424,1043,0
583,678,0
647,782,0
560,702,0
558,669,0
595,802,0
655,798,0
931,1055,0
595,736,0
1117,962,0
1002,1081,0
1418,1009,0
603,724,0
996,935,0
600,804,0
682,786,0
659,791,0
965,1091,90
590,710,0
773,860,0
559,676,0
1117,961,0
858,672,90
974,751,90
1104,937,90
560,708,90
976,1089,90
0,323,90
1538,1196,90
0,388,90
0,509,90
0,628,90
0,363,90
806,828,90
0,578,0
0,591,90
554,691,90
0,41,90
0,551,90
775,805,0
984,747,0
568,645,90
0,572,90
804,828,90
1350,766,90
926,672,90
1012,898,90
0,265,90
982,881,90
0,545,90
0,374,90
670,572,90
988,693,90
1139,865,90
0,595,90
966,698,90
604,557,90
1139,919,90
0,348,90
0,46,90
610,697,90
0,36,90
654,796,90
0,61,90
0,538,90
818,668,90
0,360,90
786,669,90
0,330,0
1406,1115,0
1290,751,90
1086,910,90
748,538,90
1256,1063,0
802,585,90
1326,1035,90
0,565,90
0,356,0
887,720,90
786,665,90
0,411,90
0,313,90
1118,799,90
890,636,90
1004,780,90
754,545,90
0,630,90
1094,742,0
1142,754,90
0,567,90
970,705,90
0,480,90
0,279,0
1464,1170,90
1248,1062,90
0,358,0
611,727,0
1296,745,90
610,676,90
0,368,90
1124,967,90
1116,954,90
0,551,90
1514,1191,90
0,573,90
1334,1110,90
546,676,90
376,591,90
1324,1056,90
1132,941,90
0,311,0
0,567,90
0,552,90
1550,823,0
498,595,90
0,286,90
1222,806,90
1094,957,90
0,269,0
1137,861,90
1260,988,90
788,863,0
630,584,0
1580,827,90
0,561,90
940,745,90
0,230,90
1322,777,90
0,80,90
1238,960,0
1266,735,90
1422,1139,0
624,725,0
492,422,90
949,1076,0
1357,895,90
586,696,0
0,74,90
1538,1189,90
0,288,90
0,497,90
767,805,0
0,587,90
0,322,90
1102,688,90
1178,743,0
883,760,90
1066,929,90
753,809,0
612,679,90
816,669,90
1292,801,90
1140,928,90
458,339,90
901,840,90
1322,1110,90
1042,987,0
1474,776,90
1180,960,90
0,366,90
0,512,0
625,705,0
1406,1119,90
1436,766,0
1212,741,0
1274,742,90
934,693,90
0,94,90
0,90,90
0,397,90
1348,1109,90
0,254,90
911,857,90
909,832,90
746,536,90
596,614,90
0,640,90
648,580,90
0,435,0
0,537,90
1144,1040,90
907,834,90
658,625,90
1412,1136,90
0,643,90
1380,1037,90
654,601,90
692,630,90
962,869,90
624,628,90
0,505,90
0,356,0
924,709,90
942,754,90
0,625,90
957,1084,90
0,360,90
556,717,90
0,602,90
783,854,0
762,574,90
1140,751,0
953,892,90
1130,1030,90
1154,748,0
1237,970,90
1134,743,90
916,841,90
0,550,90
1164,767,90
0,533,90
0,227,90
926,694,90
887,697,90
1354,1102,90
1038,985,90
0,615,90
1004,877,90
1217,884,0
928,696,90
0,287,0
828,833,90
0,372,90
1132,834,90
0,395,90
0,347,90
0,569,0
0,250,90
0,597,90
1114,1016,90
0,563,90
957,1089,0
1334,788,90
0,365,90
1116,980,90
1244,982,90
1104,690,0
32,568,90
635,699,0
1320,1112,0
0,595,90
0,345,0
1131,941,90
924,963,0
0,330,90
906,943,90
1086,773,90
857,841,90
1182,928,0
1441,1019,0
1445,1025,90
1460,1139,90
880,626,90
846,886,0
1100,741,90
1356,1035,90
1318,778,90
834,616,90
0,79,90
1092,786,90
0,234,90
955,920,90
1180,924,90
0,269,90
968,958,90
1390,1046,90
774,581,90
1316,800,90
734,546,90
1122,723,90
0,388,90
0,546,90
836,1007,0
470,335,90
1439,883,90
1156,951,90
0,159,90
954,732,90
1140,740,0
0,289,0
1122,961,90
0,564,90
0,92,90
794,813,90
0,281,90
0,563,90
586,614,90
0,567,90
1052,987,0
0,19,90
948,773,90
883,760,90
0,257,90
958,710,90
536,716,90
1184,783,90
0,565,90
0,372,90
592,586,90
0,343,90
1108,725,90
1328,1101,90
0,537,90
1248,985,90
1182,918,90
720,534,90
0,224,90
0,332,90
0,358,90
0,632,90
998,901,90
1322,1096,90
842,679,90
0,322,90
490,438,90
638,697,0
0,363,90
1386,1123,90
1448,1011,0
1256,1070,0
854,668,90
844,679,90
889,818,90
0,532,0
0,292,90
1260,808,90
1090,956,90
0,333,90
1124,742,90
1524,811,90
885,755,90
1228,737,0
1370,1034,90
1070,785,90
0,240,0
612,579,90
0,590,90
0,556,90
0,628,90
0,630,90
0,568,90
1006,726,90
1034,956,90
480,594,90
0,505,90
1008,982,90
588,694,90
1334,1098,0
0,547,90
1368,763,90
1388,1118,90
1426,754,90
1094,786,90
1446,1019,90
0,279,0
0,218,90
809,968,90
1092,881,0
0,633,90
1090,785,90
594,511,90
1010,977,0
0,562,90
1292,1092,90
768,828,0
1066,935,90
622,628,90
0,599,90
992,696,90
1381,898,90
1080,780,90
1104,837,0
952,871,90
0,565,90
770,827,0
0,293,90
890,684,0
0,85,90
622,658,90
0,221,90
1370,765,0
926,695,90
1384,825,90
1214,750,90
842,891,90
1094,736,90
1266,726,90
0,275,90
1520,800,90
0,633,90
0,218,0
1010,900,90
0,504,90
1379,1041,90
1282,999,0
626,650,90
1194,742,0
572,648,90
0,592,90
608,673,90
760,546,90
1066,773,90
854,693,90
