@relation 'hive-weka.filters.unsupervised.attribute.Remove-V-R2,3,5,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,14}


@data
0,107,0,307,2,14
0,646,0,896,123,0
0,81,0,171,0,0
0,777,0,1019,298,0
0,689,0,953,7,0
3,529,1,836,2,14
2,407,0,641,33,14
3,500,1,819,2,14
0,772,0,1031,1,0
0,707,0,945,123,0
0,466,0,724,15,0
0,810,0,1059,327,0
0,759,0,1042,216,0
0,411,0,641,22,14
0,449,0,641,1,0
3,529,0,834,1,0
0,405,0,652,5,0
3,499,1,811,2,0
0,333,0,534,0,0
0,351,0,532,19,0
0,461,0,757,6,0
0,520,0,834,0,0
0,707,0,944,123,14
2,416,0,656,15,14
0,111,0,235,0,0
0,657,0,898,130,0
0,755,1,1006,164,0
0,599,2,852,26,14
16,760,35,1044,216,14
0,116,0,195,1,14
0,580,0,841,2,14
121,793,1,1080,1,14
0,498,1,808,6,14
0,127,0,218,1,14
0,95,0,172,0,14
0,123,6,329,0,14
0,34,0,86,0,14
0,122,0,212,0,14
0,529,1,816,4,14
0,482,0,790,3,14
0,741,6,985,142,14
0,562,0,818,2,14
0,108,0,215,0,14
0,11,0,15,0,14
0,542,2,837,4,14
0,844,0,1094,1,0
0,387,0,658,4,14
0,768,10,1054,213,14
0,438,0,647,1,0
0,559,4,812,29,14
0,146,0,270,0,14
44,58,0,170,0,14
0,522,0,769,2,14
0,121,0,197,0,0
42,779,9,1058,197,14
0,590,2,853,16,14
0,125,0,210,39,14
0,563,0,818,2,14
0,750,0,1033,1,14
0,546,8,834,8,14
0,633,8,917,12,14
0,469,0,819,3,14
0,773,6,1047,220,14
0,487,1,827,2,14
0,500,2,870,0,14
0,497,2,851,0,14
35,691,0,949,10,14
0,527,1,811,4,14
0,210,0,461,0,14
0,450,2,645,1,14
52,138,0,219,0,14
0,112,0,205,0,14
0,741,10,987,141,14
19,386,2,634,1,14
0,82,0,154,0,14
52,138,0,230,0,14
0,149,0,325,5,14
0,154,42,398,0,14
0,128,0,211,0,14
0,668,21,911,79,14
0,116,0,239,2,14
0,224,0,469,0,14
0,514,2,804,3,14
0,390,1,667,7,14
0,121,0,211,0,14
0,351,0,541,1,14
0,283,7,505,0,14
0,798,1,1079,1,14
0,98,0,177,0,14
0,393,1,722,7,14
0,652,5,895,132,14
0,456,1,795,3,14
0,333,0,540,1,14
0,96,0,149,1,14
0,52,0,134,0,14
0,654,34,867,143,14
0,781,10,1042,199,14
0,460,1,806,3,14
0,489,1,838,0,14
0,128,0,203,0,14
0,545,10,829,8,14
0,141,0,260,0,14
0,628,0,885,49,14
0,126,1,218,1,14
0,34,0,91,0,14
0,402,0,640,1,14
0,149,0,325,5,14
0,686,10,927,91,14
0,509,1,823,4,14
0,283,0,506,0,14
0,106,0,232,1,14
0,283,0,502,33,14
0,111,0,191,0,14
0,596,17,853,20,14
0,126,0,197,0,14
0,113,0,265,2,14
0,727,0,1027,1,14
0,683,10,925,90,14
0,146,0,297,0,14
0,76,0,159,0,14
0,157,0,310,6,14
0,122,0,211,0,14
0,797,0,1076,1,14
0,497,2,857,0,14
0,62,0,173,0,14
0,124,0,213,0,14
0,114,0,232,0,14
0,121,0,194,0,14
0,105,0,218,0,14
0,764,0,1034,1,14
0,122,0,236,0,14
0,554,0,798,4,14
0,724,0,1024,1,14
0,265,0,502,18,14
0,103,0,164,1,14
0,670,0,949,10,14
0,501,2,848,2,14
0,125,0,199,0,14
0,128,0,218,0,14
0,349,0,590,6,14
0,124,0,307,0,14
0,547,0,792,28,14
0,167,4,313,42,14
0,399,0,569,1,14
0,810,0,1077,1,14
0,426,1,668,5,14
0,759,1,1036,1,14
54,117,0,199,1,14
0,497,0,847,0,14
0,498,3,841,0,14
0,720,1,1012,1,14
0,264,7,534,129,14
0,756,18,1009,165,14
0,521,1,820,3,14
0,300,0,517,0,14
0,21,0,30,0,14
73,94,0,210,0,14
0,351,0,540,1,14
0,158,42,307,43,14
0,137,0,297,0,14
0,137,0,215,0,14
0,153,0,347,4,14
0,587,0,839,27,14
0,120,10,278,2,14
0,122,0,212,0,14
0,107,0,226,14,14
0,54,0,151,0,14
0,103,0,214,0,14
0,455,0,639,1,14
0,565,4,803,4,14
0,544,0,837,5,14
0,151,0,305,10,14
0,567,9,823,27,14
0,80,0,160,0,14
0,561,10,831,8,14
0,363,0,596,1,14
0,130,0,207,0,14
0,284,4,507,0,14
0,132,0,194,0,14
0,117,0,218,1,14
0,172,0,337,0,14
0,133,0,248,0,14
53,467,0,659,1,14
0,718,0,986,4,14
0,150,19,310,10,14
0,555,0,791,29,14
0,507,1,841,0,14
0,548,3,831,8,14
0,81,0,154,0,14
0,594,1,845,26,14
0,112,0,237,2,14
0,291,0,521,44,14
0,747,14,1022,185,14
0,113,0,311,2,14
0,391,0,628,6,14
0,507,3,843,0,14
0,358,5,597,6,14
0,560,15,811,5,14
0,139,0,243,0,14
0,166,2,328,0,14
0,61,0,170,0,14
0,523,0,770,2,14
0,499,1,842,0,14
0,492,1,811,3,14
0,749,35,973,241,14
0,126,0,201,0,14
0,96,0,151,1,14
0,74,0,170,0,14
0,804,0,1081,1,14
0,811,9,1050,321,14
0,83,0,153,0,14
0,771,12,1047,208,14
0,760,2,1042,222,14
0,128,0,311,0,14
0,237,0,484,0,14
0,147,0,332,5,14
0,765,6,1025,195,14
0,639,0,947,2,14
0,145,0,383,0,14
0,837,0,1092,1,14
0,414,0,661,5,14
0,399,1,564,20,14
43,86,0,162,1,14
0,101,0,205,0,14
0,92,0,224,0,14
31,119,0,207,0,14
0,76,0,157,0,14
0,109,10,311,1,14
0,560,0,793,4,14
0,451,0,694,1,14
0,90,0,195,3,14
0,118,0,223,1,14
0,112,2,236,1,14
0,400,4,711,7,14
0,81,0,172,0,14
0,692,0,977,1,14
0,473,2,805,2,14
0,111,0,235,0,14
0,127,0,303,0,14
0,543,10,837,5,14
0,33,0,77,0,14
0,69,0,157,0,14
0,385,0,631,6,14
