@relation 'kafka-weka.filters.unsupervised.attribute.Remove-V-R3,5,6,7,last'

@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
105,1,247,20,1
325,4,925,348,1
386,21,896,396,0
103,0,268,21,1
340,39,925,371,1
399,47,927,409,1
341,31,867,357,0
348,19,824,359,0
325,0,847,335,1
281,6,752,301,1
121,0,293,41,1
353,21,829,364,0
278,43,771,302,0
316,6,802,330,0
358,33,895,377,1
146,7,402,88,1
307,28,805,314,1
299,1,775,314,1
300,36,771,314,1
371,0,960,393,1
163,23,482,129,0
364,0,860,374,1
353,4,887,369,1
161,16,477,128,1
276,25,746,293,0
305,50,802,312,0
145,3,416,97,1
315,9,801,328,1
292,6,763,305,1
270,10,743,292,1
279,43,757,302,1
190,2,559,179,0
104,3,248,20,1
371,30,888,388,1
354,9,941,384,1
343,32,864,357,0
150,9,446,116,1
350,34,886,368,1
332,0,904,363,0
153,15,454,119,0
344,19,918,379,1
381,18,908,397,1
73,0,138,11,1
371,0,948,393,0
337,1,903,368,1
396,31,919,408,1
340,34,869,356,1
325,9,800,336,0
374,41,890,385,0
338,0,900,351,1
305,27,801,312,0
339,23,908,371,0
157,21,462,124,0
273,0,748,297,0
309,35,786,321,1
42,0,118,3,1
364,16,868,378,0
127,7,311,52,1
190,3,546,174,1
335,16,919,363,0
348,18,824,359,0
399,0,929,408,0
381,44,896,390,0
286,27,788,300,1
373,3,885,389,1
184,4,542,173,1
305,21,764,320,0
279,33,752,301,0
277,5,746,294,0
213,5,581,210,1
186,2,538,169,1
291,0,799,302,1
338,61,895,351,1
136,1,420,98,0
282,23,751,301,1
288,19,791,303,1
102,3,252,18,1
399,3,927,412,1
365,27,879,380,1
312,33,794,324,1
106,1,251,21,1
295,35,747,307,0
283,10,756,302,0
208,19,580,205,0
347,12,813,354,1
155,9,457,122,1
334,6,807,347,1
335,0,902,357,1
360,40,835,367,0
155,9,456,122,0
289,19,762,300,1
390,44,898,400,0
210,4,567,201,1
386,0,903,398,0
323,10,824,331,0
155,6,455,122,0
374,4,892,385,1
357,51,939,386,0
322,0,923,345,0
376,15,891,387,0
103,0,273,23,1
330,35,804,342,1
75,0,141,9,1
338,16,892,351,1
108,0,279,28,1
368,27,896,383,1
239,2,629,243,0
378,9,893,390,0
140,1,433,106,1
288,36,792,303,0
171,8,509,152,0
365,28,883,381,1
164,0,491,132,1
347,40,819,355,1
337,34,871,357,0
281,2,773,305,0
133,0,337,61,1
146,1,393,84,0
302,29,758,315,0
354,39,924,386,1
111,0,285,29,1
257,17,667,262,1
136,0,419,97,0
340,0,907,358,1
313,8,795,325,1
268,28,677,272,0
355,1,884,371,1
328,11,916,354,0
270,1,744,297,1
123,0,205,16,0
133,4,341,61,1
276,0,751,296,1
68,0,147,11,1
325,7,845,335,1
103,9,274,23,1
324,1,831,331,1
119,1,266,9,0
136,3,422,100,1
347,10,815,354,0
205,18,583,196,1
178,28,522,161,0
120,0,262,9,0
361,3,941,391,0
260,16,674,265,0
147,12,446,113,0
374,3,890,391,1
350,25,827,361,0
256,25,656,260,0
357,1,830,364,1
288,27,772,301,0
273,41,752,296,0
