@relation 'ofbiz-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,7,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,1}


@data
56,275,10,34,1
289,1191,1,207,1
40,1402,5,245,0
1485,777,0,112,0
24,781,9,112,1
392,716,0,122,1
51,1374,1,165,1
14,1232,1,148,1
141,894,1,136,1
25,1115,16,178,1
48,1165,1,204,1
56,525,10,83,0
103,929,0,82,1
73,375,2,32,1
55,276,7,26,1
76,1321,27,128,1
45,302,11,107,1
97,744,6,120,0
138,424,0,50,1
109,994,17,155,1
34,887,15,151,1
12,1244,3,146,1
7,304,58,100,1
50,278,0,81,0
53,1117,1,87,1
42,1190,0,178,1
14,1386,25,242,0
116,1168,12,117,1
34,721,1,144,1
19,1251,12,244,1
22,1184,6,120,1
4,1129,1,118,1
226,746,1,160,1
91,804,3,87,1
31,774,0,85,1
40,656,1,73,1
31,1189,0,151,0
32,679,1,88,1
140,704,2,104,1
6,310,18,104,0
220,1185,4,206,1
76,663,0,129,1
200,461,0,89,1
125,913,14,59,1
27,1270,5,213,1
20,961,1,149,0
96,538,3,61,1
90,920,9,160,1
93,181,14,75,1
11,1164,0,101,0
33,875,0,144,0
9,972,19,118,0
110,562,17,105,1
56,769,7,85,0
81,699,20,130,1
7,1233,0,148,0
3,1162,3,197,1
46,1154,2,198,1
159,487,1,96,0
32,744,0,155,1
47,173,1,65,1
18,176,7,33,1
22,327,4,58,0
121,630,0,138,1
188,600,0,136,1
86,899,2,81,1
112,276,8,34,0
16,906,5,126,1
86,1490,8,259,1
27,175,1,56,1
64,339,8,37,0
166,1137,15,71,1
37,700,8,105,1
54,809,2,115,0
43,1161,0,149,1
68,1175,4,196,1
52,1188,1,226,1
25,303,54,109,1
43,1188,2,221,1
242,892,2,160,1
36,150,1,30,1
32,303,54,107,1
42,1213,13,128,1
34,161,0,35,1
101,97,0,30,1
66,958,2,152,1
