@relation 'qpid-weka.filters.unsupervised.attribute.Remove-V-R5,6,7,last'

@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {0,30}


@data
1,341,15,0
1,184,4,30
0,318,18,30
0,75,1,30
0,207,7,30
3,233,9,30
30,297,29,30
1,338,8,30
0,217,9,30
1,194,9,30
8,330,39,30
2,56,1,30
4,328,6,30
3,296,10,0
141,149,6,30
1,308,33,30
63,364,108,30
0,90,1,0
5,335,11,0
1,321,5,30
0,176,27,30
0,300,7,30
15,111,29,30
0,238,8,30
0,246,2,30
0,83,6,30
2,227,14,30
0,168,34,30
159,269,21,0
0,88,25,30
0,187,31,30
1,311,5,30
3,302,17,0
239,331,47,30
1,199,8,30
20,350,82,0
0,339,8,30
16,338,34,30
3,265,11,30
86,282,26,0
0,344,10,30
0,328,6,0
2,371,9,30
3,285,23,0
10,266,14,30
2,191,2,30
50,304,8,30
0,221,5,30
0,214,14,30
0,297,21,30
2,77,1,30
0,280,7,30
0,242,2,30
2,273,12,30
0,279,82,30
1,321,96,0
23,342,89,30
0,25,1,30
0,315,19,30
2,252,8,30
3,266,14,30
1,319,7,30
0,256,9,30
0,138,6,30
3,195,3,30
0,228,6,30
1,222,8,0
0,82,1,30
7,318,54,30
0,192,6,0
4,290,13,30
0,188,1,30
0,328,5,30
0,340,9,30
0,308,31,30
17,303,31,30
0,304,10,30
1,267,14,30
6,296,18,0
2,358,27,30
0,277,23,30
0,290,19,30
0,300,11,30
0,164,6,30
0,165,5,30
1,280,18,30
0,304,9,30
0,334,12,30
0,181,20,30
0,219,7,30
4,308,5,30
0,300,9,30
11,97,28,0
4,171,29,30
4,316,37,0
0,283,11,30
0,197,12,30
1,291,22,30
0,215,32,30
0,195,11,30
0,260,13,30
0,188,10,30
0,189,4,30
3,335,34,30
1,303,56,30
2,338,19,30
0,188,5,30
0,218,4,30
2,122,3,30
0,264,21,30
36,329,91,0
5,338,28,30
1,47,1,30
0,194,6,30
4,189,1,30
36,318,97,0
0,149,7,30
0,217,9,30
0,162,1,0
54,363,105,30
4,306,28,30
15,308,32,30
11,307,31,0
0,119,15,30
0,241,18,30
59,316,16,30
1,272,10,30
3,192,4,30
3,343,11,30
0,98,5,30
0,154,5,30
2,301,20,30
142,176,27,30
6,207,5,30
1,353,127,30
6,277,12,30
0,299,30,30
0,193,1,0
0,149,5,30
7,149,8,30
2,259,12,0
12,286,21,30
0,107,4,0
3,328,84,30
1,93,6,30
0,79,1,30
10,253,20,30
0,182,15,30
0,183,6,30
0,197,7,30
31,302,49,30
0,176,4,0
0,205,7,30
1,258,9,30
0,158,21,30
0,17,1,0
0,224,9,30
19,132,31,30
1,89,3,0
0,260,9,30
0,188,5,30
0,204,7,30
1,320,36,30
54,363,113,30
3,264,15,30
1,298,25,30
0,279,12,30
1,153,2,30
0,363,10,30
58,310,27,30
2,236,17,30
58,312,28,30
2,305,7,30
0,416,36,0
36,305,6,30
1,270,12,30
1,155,2,30
0,177,8,30
3,287,11,30
83,267,19,0
30,308,27,30
0,161,7,30
40,337,90,0
0,206,6,30
0,235,7,30
0,192,4,30
0,298,20,30
6,361,23,30
0,363,23,30
0,146,6,30
0,299,10,30
1,280,39,0
31,333,28,30
13,352,93,30
141,148,6,30
0,171,1,30
2,218,14,30
2,376,9,30
1,166,5,30
5,284,24,30
0,341,18,30
1,356,113,30
0,165,7,30
3,351,81,30
12,315,30,30
2,198,5,0
0,222,13,0
3,333,36,30
0,242,9,30
0,132,8,30
0,247,2,30
9,279,39,30
1,339,12,30
0,189,4,30
0,207,9,30
0,366,26,30
1,190,6,30
0,364,10,30
1,311,55,0
7,221,13,30
0,148,13,30
0,292,19,0
2,215,9,0
91,302,8,30
14,306,44,30
2,287,11,30
14,140,29,0
0,181,7,30
0,116,2,30
1,273,51,30
0,203,7,30
1,259,13,30
12,313,33,30
3,243,8,30
2,198,5,0
0,188,31,30
9,316,32,30
12,330,45,30
0,179,6,30
54,353,96,30
