@RELATION combined

@ATTRIBUTE issuecleanedbodylen REAL
@ATTRIBUTE meancommentsizet REAL
@ATTRIBUTE nactorst REAL
@ATTRIBUTE ncommentst REAL
@ATTRIBUTE ncommitsbyactorst REAL
@ATTRIBUTE ncommitsbycreator REAL
@ATTRIBUTE ncommitsbyuniqueactorst REAL
@ATTRIBUTE ncommitsinproject REAL
@ATTRIBUTE ncommitsprojectt REAL
@ATTRIBUTE nissuesbycreator REAL
@ATTRIBUTE nissuesbycreatorclosed REAL
@ATTRIBUTE nissuescreatedinproject REAL
@ATTRIBUTE nissuescreatedinprojectclosed REAL
@ATTRIBUTE nissuescreatedprojectclosedt REAL
@ATTRIBUTE nissuescreatedprojectt REAL
@ATTRIBUTE nlabelst REAL
@ATTRIBUTE nsubscribedbyt REAL
@ATTRIBUTE timeopen {1,7,14,30,90,180,365,1000}

@DATA
46,10,2,3,8265,0,257,437,8316,1,0,265,31,1011,3741,0,0,365
59,0,1,0,2554,0,119,632,2646,1,0,316,83,345,1056,0,0,7
11,14,3,1,8113,0,255,452,8223,1,0,258,34,1006,3694,0,0,1
11,0,2,0,2307,0,113,789,2443,6,1,384,107,321,953,0,0,1
8,30,3,2,1338,0,80,1058,1506,1,0,434,171,164,572,0,2,1
33,19,2,2,3256,0,150,972,3429,1,0,377,81,450,1406,0,0,1
6,8,2,2,814,1,62,1192,1023,3,1,493,179,89,359,0,0,1
33,0,2,0,7910,20,249,500,7974,13,11,284,45,978,3551,0,0,1
11,0,2,0,3232,0,150,968,3393,1,0,376,83,449,1398,0,0,1
9,13,3,1,236,3,38,1316,485,8,3,530,153,41,139,0,0,1
10,17,2,2,1115,10,73,1108,1302,10,6,451,175,126,468,0,0,7
4,0,1,0,1486,50,86,1018,1594,22,20,425,161,183,622,0,0,1
21,12,2,3,7368,0,244,544,7498,3,1,296,74,895,3277,0,0,7
11,13,1,1,10828,0,279,571,10937,2,0,245,17,1190,5062,0,0,7
7,32,2,5,976,0,68,1145,1175,44,43,462,172,108,421,0,0,1
7,0,1,0,1035,7,71,1127,1257,16,7,456,177,116,442,0,0,1
4,0,2,0,6810,2,238,824,6966,3,1,389,78,838,3037,0,0,1
20,52,2,1,1554,0,89,1054,1746,1,0,426,162,216,675,0,0,7
8,0,2,0,2870,3,139,952,3053,8,2,336,81,405,1238,0,0,1
10,0,2,0,6818,0,238,818,6972,7,1,382,76,839,3042,0,0,14
17,0,2,0,41,0,20,1312,183,5,2,487,134,15,54,0,0,1
17,0,1,0,7292,0,243,562,7395,11,10,313,77,881,3230,0,0,1
6,0,1,0,1119,0,73,1106,1305,43,42,448,173,126,470,0,0,1
27,0,3,0,1438,0,83,1042,1568,2,0,428,163,177,609,0,0,1
10,13,2,1,615,14,56,1186,840,12,5,523,181,73,286,0,0,1
7,0,2,0,6565,0,230,830,6667,4,3,396,76,809,2909,0,0,1
5,26,3,1,286,0,41,1269,541,1,0,521,152,43,156,0,0,1
15,11,2,1,6306,1,216,733,6449,3,0,436,80,752,2714,0,0,30
26,0,2,0,8222,4,257,440,8299,2,1,272,32,1009,3733,0,0,1
20,24,2,3,1811,0,99,938,2016,1,0,410,126,255,775,0,0,7
8,0,2,0,1339,62,80,1060,1506,26,25,434,170,164,572,0,0,1
3,10,3,1,6957,0,238,749,7088,1,0,351,76,849,3100,0,0,30
8,3,2,2,1411,54,81,1037,1554,24,23,435,168,174,595,0,0,1
6,26,2,1,6937,2,238,753,7070,3,0,356,75,847,3091,0,0,30
10,6,2,1,2050,0,104,813,2209,2,1,393,120,276,840,0,0,7
31,0,1,0,9608,0,273,590,9695,1,1,287,40,1110,4463,0,0,7
18,0,2,0,2435,1,117,705,2581,1,0,343,85,339,1013,0,0,1
6,0,1,0,1321,62,80,1067,1498,27,26,441,174,162,564,0,0,1
25,0,1,0,3943,4,160,841,4065,9,3,480,112,490,1628,0,0,7
10,0,2,0,2700,10,132,808,2827,29,12,327,87,378,1166,0,0,1
26,0,1,0,5132,0,190,984,5318,2,0,370,61,668,2288,0,0,1
10,0,2,0,7687,22,248,448,7738,18,15,283,59,941,3407,0,0,1
16,0,2,0,6869,30,238,784,7024,30,28,366,74,842,3064,0,0,1
91,45,2,2,403,0,42,1212,624,1,0,522,152,51,184,0,0,1
5,6,2,2,1069,16,72,1132,1275,12,7,453,177,122,456,0,0,1
40,15,2,1,13403,0,284,543,13506,1,0,323,31,1301,6241,0,1,365
7,20,2,6,2758,1,132,861,2861,2,1,319,76,382,1176,0,1,1
10,0,2,0,7806,13,248,505,7875,13,8,288,51,957,3491,0,0,14
104,11,2,1,6404,0,217,684,6488,1,0,417,79,760,2752,0,0,90
6,14,2,2,3271,0,150,967,3446,3,3,375,80,451,1414,0,0,1
20,19,6,4,2388,0,115,738,2525,2,1,359,96,333,994,0,2,1
30,10,2,1,2671,4,130,713,2777,6,5,322,94,375,1140,0,0,7
51,0,2,0,1815,0,99,939,2042,1,0,408,127,255,781,0,0,14
7,10,2,1,6399,13,217,678,6478,13,11,413,80,760,2749,0,0,7
63,40,2,11,4174,0,167,1031,4343,1,0,550,136,524,1757,0,0,7
77,7,2,2,772,0,61,1211,1010,1,0,503,180,87,352,0,0,1
59,28,4,4,41,0,20,1312,183,1,0,487,134,15,54,0,0,7
17,47,2,3,5558,11,202,959,5722,8,5,387,70,696,2445,0,0,365
6,1,1,1,6468,3,220,688,6522,8,6,392,77,773,2792,0,0,30
7,36,2,4,7156,0,243,636,7305,2,0,323,78,867,3180,0,0,90
9,0,2,0,714,9,60,1181,953,20,9,511,182,83,326,0,0,1
31,0,1,0,8308,0,258,476,8373,2,0,286,32,1018,3771,0,0,90
3,0,2,0,1756,0,97,934,1945,19,17,409,127,250,752,0,0,7
22,0,2,0,2420,0,115,712,2571,4,2,350,89,334,1004,0,0,1
2,8,2,2,1708,0,96,960,1850,25,19,406,130,245,733,0,0,7
5,13,2,1,1086,4,72,1117,1279,10,4,451,174,122,458,0,1,1
19,12,2,1,8179,1,257,430,8287,4,1,273,33,1009,3726,0,0,7
20,0,1,0,4447,0,172,972,4569,34,33,549,141,565,1918,0,0,1
18,0,1,0,843,0,62,1169,1034,1,0,486,177,90,364,0,0,1
13,10,2,3,5629,1,203,899,5768,3,1,389,69,700,2463,0,0,14
6,0,1,0,3344,5,152,997,3621,20,5,379,74,455,1450,0,0,1
3,0,1,0,6925,0,238,762,7058,2,1,357,74,846,3084,0,0,1
57,51,2,3,3704,1,155,834,3849,4,1,416,85,471,1530,0,0,7
6,9,3,1,3078,7,141,906,3135,19,7,329,64,415,1283,0,0,7
10,0,2,0,6926,0,238,761,7060,2,1,355,74,846,3084,0,0,1
10,44,3,2,2522,6,119,661,2635,24,10,323,83,345,1045,0,0,14
19,7,2,2,5768,0,204,854,5915,1,0,408,83,709,2509,0,0,7
89,0,2,0,2620,0,123,674,2696,1,0,314,84,357,1097,0,0,14
17,0,2,0,6927,28,238,760,7062,29,28,355,74,846,3085,0,0,30
12,9,3,3,1414,52,81,1035,1554,23,22,433,166,174,595,0,3,1
8,11,2,1,2221,0,109,830,2364,1,0,398,114,307,909,0,0,1
7,6,2,2,2276,0,109,800,2396,4,0,387,108,312,925,0,0,1
20,7,2,2,1329,0,80,1064,1502,3,0,438,174,163,569,0,0,1
38,9,2,2,2699,0,132,795,2818,1,0,326,89,378,1166,0,0,7
18,14,2,1,8102,0,255,443,8203,2,0,270,36,1004,3680,0,0,14
6,28,3,10,3805,0,157,803,3920,2,1,421,92,476,1562,0,2,7
