@relation 'camel-weka.filters.unsupervised.attribute.Remove-V-R2,3,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

0,437,265,31,365
0,632,316,83,7
0,452,258,34,1
0,789,384,107,1
0,1058,434,171,1
0,972,377,81,1
1,1192,493,179,1
20,500,284,45,1
0,968,376,83,1
3,1316,530,153,1
10,1108,451,175,7
50,1018,425,161,1
0,544,296,74,7
0,571,245,17,7
0,1145,462,172,1
7,1127,456,177,1
2,824,389,78,1
0,1054,426,162,7
3,952,336,81,1
0,818,382,76,14
0,1312,487,134,1
0,562,313,77,1
0,1106,448,173,1
0,1042,428,163,1
14,1186,523,181,1
0,830,396,76,1
0,1269,521,152,1
1,733,436,80,30
4,440,272,32,1
0,938,410,126,7
62,1060,434,170,1
0,749,351,76,30
54,1037,435,168,1
2,753,356,75,30
0,813,393,120,7
0,590,287,40,7
1,705,343,85,1
62,1067,441,174,1
4,841,480,112,7
10,808,327,87,1
0,984,370,61,1
22,448,283,59,1
30,784,366,74,1
0,1212,522,152,1
16,1132,453,177,1
0,543,323,31,365
1,861,319,76,1
13,505,288,51,14
0,684,417,79,90
0,967,375,80,1
0,738,359,96,1
4,713,322,94,7
0,939,408,127,14
13,678,413,80,7
0,1031,550,136,7
0,1211,503,180,1
0,1312,487,134,7
11,959,387,70,365
3,688,392,77,30
0,636,323,78,90
9,1181,511,182,1
0,476,286,32,90
0,934,409,127,7
0,712,350,89,1
0,960,406,130,7
4,1117,451,174,1
1,430,273,33,7
0,972,549,141,1
0,1169,486,177,1
1,899,389,69,14
5,997,379,74,1
0,762,357,74,1
1,834,416,85,7
7,906,329,64,7
0,761,355,74,1
6,661,323,83,14
0,854,408,83,7
0,674,314,84,14
28,760,355,74,30
52,1035,433,166,1
0,830,398,114,1
0,800,387,108,1
0,1064,438,174,1
0,795,326,89,7
0,443,270,36,14
0,803,421,92,7
0,589,275,43,1
1,705,320,93,30
12,469,271,42,1
6,927,408,126,1
1,1003,384,76,1
0,736,320,94,90
0,683,323,79,180
0,833,404,79,1
0,1335,515,147,7
20,966,404,132,1
1,846,393,76,1
5,1006,383,76,1
0,1080,441,179,90
2,1320,531,153,1
0,430,283,57,14
0,516,286,77,30
0,1043,557,143,7
5,491,272,44,14
0,1038,449,94,1
25,614,318,78,1
0,1195,517,175,14
0,1117,452,175,1
0,1070,468,96,30
44,1037,426,159,1
0,1186,524,185,1
0,587,276,43,180
0,435,284,56,7
0,1317,487,135,7
0,642,271,24,90
6,455,271,38,14
0,669,334,23,90
1,667,327,78,90
0,998,381,74,7
0,802,427,84,1
0,798,389,78,1
1,636,347,25,365
5,1066,464,96,7
1,746,350,76,1
0,488,289,56,90
0,891,406,125,7
3,973,375,83,1
3,1028,423,79,1
0,973,372,75,1
9,934,416,129,1
0,1214,522,150,1
0,1070,442,181,1
0,546,302,74,1
0,596,280,25,180
0,983,376,82,1
0,974,481,110,14
1,758,367,102,30
3,754,356,75,30
0,944,336,77,1
2,826,398,81,30
0,1066,463,95,7
0,867,327,69,1
25,984,412,145,1
0,1042,380,64,180
0,1120,453,174,1
2,492,302,29,1
0,713,320,93,1
0,953,385,70,7
0,912,336,84,7
11,1217,521,151,1
0,1033,484,103,7
0,978,542,137,1
0,980,513,130,14
0,854,384,79,14
0,1062,436,168,1
16,500,272,73,1
10,462,271,73,1
0,869,326,71,1
0,1049,384,66,7
0,937,414,121,30
2,1037,481,104,1
0,837,396,76,365
0,509,289,50,90
2,544,318,27,30
3,685,316,85,1
0,938,411,126,90
0,794,389,112,1
0,780,390,77,180
12,687,393,77,90
0,1265,544,171,1
0,832,393,116,1
0,1330,504,143,7
0,975,376,83,1
2,971,366,59,7
0,978,376,76,14
0,992,536,134,7
0,1080,440,179,7
0,785,387,76,14
0,942,525,131,7
3,1321,531,153,1
0,568,313,76,7
3,535,295,74,90
0,1048,440,169,1
3,1046,565,141,7
1,1013,386,66,7
0,1047,402,79,30
0,774,413,67,1
0,555,287,14,30
0,816,423,89,1
0,825,398,115,7
24,507,282,49,1
0,638,334,21,7
5,990,379,70,1
2,949,354,58,1
17,501,274,74,1
0,938,414,126,1
0,1003,535,133,1
0,837,395,117,7
0,955,371,76,1
0,1053,376,63,30
13,560,309,80,1
0,611,273,23,7
12,948,356,58,14
3,830,399,76,1
0,1047,408,79,30
0,679,416,78,365
14,495,275,44,7
0,907,325,80,14
0,1264,538,168,1
0,751,365,101,1
5,1026,444,85,1
12,945,408,129,1
14,479,266,43,1
7,811,329,76,1
1,838,484,115,365
0,692,312,87,1
1,976,374,67,1
0,740,432,80,7
0,880,326,77,7
0,568,293,15,365
1,1177,480,177,1
1,875,407,125,1
2,823,387,78,90
0,545,315,27,365
0,585,334,27,7
0,816,426,83,1
0,445,265,34,7
0,1075,445,181,1
0,990,494,113,1
5,1135,449,172,1
13,497,275,75,1
0,1192,507,181,1
0,852,379,82,1
0,972,531,135,30
0,1203,520,170,7
4,651,339,24,365
1,623,316,80,1
0,1090,445,178,7
0,900,513,125,1
0,583,280,44,7
0,987,532,134,1
0,1035,428,159,1
0,699,326,29,7
0,626,310,79,7
2,654,322,77,1
0,1032,423,79,14
0,741,440,81,1
12,771,388,70,7
0,1049,407,77,14
0,871,323,70,1
