@relation 'cloudstack-weka.filters.unsupervised.attribute.Remove-V-R3,6,last'

@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

845,49,1
683,424,180
743,442,7
846,58,1
700,413,30
694,363,90
881,440,7
469,288,14
630,389,14
623,347,180
1065,77,1
873,441,1
689,412,7
682,361,90
1165,151,7
1467,23,90
650,384,30
650,362,7
660,359,7
1200,203,14
841,441,1
766,372,1
846,443,1
1197,200,1
234,157,1
644,367,7
650,381,90
1206,164,1
682,360,30
755,374,90
661,378,7
617,351,90
639,381,30
682,413,1
1221,224,1
631,361,1
1261,263,1
847,52,7
788,434,7
710,388,1
1183,184,90
686,415,180
1203,188,1
715,428,7
768,439,1
1278,26,30
642,366,90
689,416,14
660,380,1
759,454,180
938,431,7
806,446,14
1128,300,7
686,430,90
646,382,30
1202,111,1
697,420,14
1216,198,14
700,425,1
611,351,7
667,359,7
2257,3,1000
806,442,1
1160,89,1
1260,253,1
702,418,30
881,439,14
266,160,30
806,462,7
773,444,7
620,379,180
791,435,1
1260,254,1
961,407,1
644,368,7
1169,289,1
1257,250,1
639,377,30
678,430,90
1191,173,90
622,347,1
618,379,7
870,47,1
788,423,7
781,458,7
801,423,7
827,54,1
964,398,1
1169,286,1
944,446,180
1212,192,14
938,438,7
877,448,14
1207,192,1
670,387,7
746,444,1
650,406,7
1235,281,7
760,447,7
607,383,180
1207,191,1
767,451,7
794,456,1
710,389,90
687,416,1
806,444,1
835,60,1
237,139,7
943,433,1
235,158,1
1276,23,1
775,445,1
277,164,7
676,428,90
832,66,7
787,424,1
241,143,7
844,321,1
808,448,7
1194,177,7
620,380,14
1234,226,1
637,366,7
693,435,1
1196,211,1
570,337,90
278,168,90
875,436,1
643,362,7
1205,112,1
1164,146,1
969,403,1
726,406,7
844,70,14
389,236,90
483,295,90
844,346,7
1209,172,1
668,417,1
610,348,1
630,389,1
682,362,90
844,354,7
764,370,1
700,418,90
602,345,14
1274,23,180
1205,113,7
641,365,7
1305,30,365
630,388,1
335,203,30
237,159,1
837,62,7
615,390,7
1471,41,7
1186,174,1
695,393,7
944,446,7
1226,280,30
1246,236,1
1130,48,1
700,392,1
672,375,180
844,349,7
243,141,7
1183,183,1
1172,106,7
874,441,7
844,340,1
873,441,1
668,388,1
792,433,7
613,352,7
664,382,1
683,363,180
1171,154,1
1277,27,30
875,441,1
929,374,1
798,461,1
1207,190,1
469,286,30
857,453,1
1237,232,7
726,407,1
844,350,1
251,160,1
870,449,1
804,419,7
1141,285,1
666,357,7
648,366,1
868,45,7
811,449,7
664,388,7
1169,288,1
823,440,30
665,388,90
619,355,7
931,439,1
903,361,1
688,433,1
699,420,30
964,395,1
939,391,1
710,392,180
1202,208,1
711,370,90
1164,143,7
1156,131,7
867,451,1
1141,287,1
791,432,7
251,161,30
669,422,1
901,360,7
664,389,7
667,382,7
620,374,7
1201,213,1
643,398,7
336,210,30
1161,90,1
928,43,7
765,447,30
266,158,90
586,344,1
690,417,90
732,414,7
791,435,7
792,460,7
1251,238,1
1258,251,1
742,445,7
636,362,365
873,442,1
1128,299,7
869,444,1
940,396,1
636,387,1
643,396,1
680,366,7
1250,237,1
674,386,1
974,424,7
643,363,7
274,167,90
1199,160,1
1164,149,7
711,367,14
970,404,1
844,312,1
844,325,1
1253,279,1
671,386,1
1049,20,7
683,423,90
937,437,1
763,446,1
678,429,90
1120,85,1
1444,41,1
944,446,7
1128,294,7
1164,144,7
791,436,180
970,411,1
767,452,7
874,444,1
702,417,1
1163,286,14
1210,165,1
281,174,90
1289,29,7
1128,295,7
1226,225,1
844,328,1
1266,258,7
278,168,90
713,424,7
1078,72,7
693,420,1
823,443,1
613,353,7
806,463,7
844,343,1
630,392,7
649,402,1
790,420,7
714,425,7
620,386,7
838,69,1
806,445,7
939,429,30
765,446,1
677,410,7
930,438,1
1262,266,1
812,442,30
650,383,1
1052,19,7
636,392,7
632,350,30
772,443,7
1198,202,1
926,44,1
1117,52,90
671,391,90
846,57,1
660,386,90
930,377,1
664,356,90
713,426,7
1155,140,1
620,345,90
645,370,7
1204,206,90
710,423,14
638,395,7
969,417,1
240,157,7
266,156,90
611,349,14
1453,40,1
746,446,30
684,360,90
955,426,1
1277,24,1
972,412,1
282,162,30
746,368,90
1377,41,1
647,365,90
1190,174,1
844,340,1
264,149,1
268,164,90
278,167,30
1262,264,1
683,412,7
1262,242,7
278,157,30
241,158,14
844,334,1
870,450,1
221,150,30
748,370,14
1235,228,7
1037,24,1
676,427,1
1121,307,1
690,362,7
931,375,1
629,375,7
772,442,7
695,360,180
771,439,1
681,422,7
1268,272,90
680,418,180
786,443,14
1072,79,7
711,424,7
1128,298,7
242,143,7
885,438,7
790,425,7
661,380,1
964,399,1
690,361,180
660,372,7
1205,115,1
771,442,7
