@relation 'cocoon-weka.filters.unsupervised.attribute.Remove-V-R7,last'

@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

0,7
0,1000
0,1000
19,1
0,1000
0,1000
3,7
9,7
0,1000
0,1000
28,1000
27,365
0,1000
0,1000
0,1000
0,1000
17,1
0,1000
0,1000
0,1000
0,1000
0,180
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
2,1000
0,1000
22,1
0,1000
22,90
0,1000
5,1
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
31,1
0,1000
4,7
0,1000
0,1000
0,1000
0,1000
24,7
4,7
0,1000
0,1000
10,90
0,1000
24,30
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
20,7
0,1000
11,90
0,1000
3,90
0,1000
0,365
0,1000
30,1
2,1
0,1000
0,1000
0,1000
0,1000
18,30
6,30
0,1000
0,1000
0,1000
16,365
0,1000
0,1000
0,1000
12,7
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
15,14
13,365
0,1000
24,365
0,1000
0,1000
0,1000
0,1000
0,1000
1,1000
23,180
1,1000
7,30
0,1000
0,1000
0,1000
19,14
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
10,1000
4,7
0,1000
6,1000
0,1000
0,1000
0,1000
22,90
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
12,180
0,1000
26,90
1,30
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
22,14
0,1000
0,1000
49,90
0,1000
0,1000
0,1000
26,365
0,1000
0,1000
0,1000
0,1000
1,1000
33,30
22,90
20,1
20,90
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
14,365
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
21,1
0,1000
0,1000
0,1000
0,1000
25,7
19,7
0,1000
0,1000
0,1000
0,1000
32,14
0,1000
8,365
12,1000
0,1000
0,1000
0,1000
0,1000
5,7
0,1000
0,1000
0,1000
19,7
0,1000
0,1000
0,1000
16,7
6,90
0,1000
0,1000
4,1
0,1000
12,7
31,365
0,1000
0,1000
0,1000
0,1000
13,1000
0,1000
21,7
0,1000
19,365
0,1000
0,1000
0,1000
32,180
17,1
0,1000
16,7
0,1000
0,1000
0,1000
20,90
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
24,1
0,1000
0,1000
11,180
0,1000
13,7
0,1000
0,1000
0,1000
0,1000
21,14
0,1000
0,1000
0,1000
0,1000
0,1000
40,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
0,1000
5,1
17,90
1,180
0,365
0,1000
