@relation 'deeplearning-weka.filters.unsupervised.attribute.Remove-V-R1,3,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

31,442,1
116,675,7
74,333,1
37,1105,365
13,604,1
47,968,1
29,441,1
5,495,1
60,448,1
8,655,1
6,469,1
1147,418,1
32,454,1
31,977,1
54,447,30
2,623,1
2,725,1
4,376,1
4,401,1
18,643,1
8,472,1
49,493,7
136,485,14
160,493,30
84,261,1
174,1024,1
16,738,30
83,1041,7
209,262,1
30,432,14
151,455,7
3,628,1
27,356,1000
42,508,1
78,486,7
56,695,1
132,505,7
559,448,14
52,616,90
2,626,1
37,300,1
57,369,7
76,396,14
20,604,1
13,277,1
81,674,365
2,640,1
12,284,7
10,338,1
2,542,1
7,513,1
26,1085,7
8,575,1
9,844,1
165,1040,180
7,493,1
157,381,14
2,631,1
6,257,1
6,652,1
2,511,1
134,336,7
14,1031,7
40,420,1
9,352,1
121,969,1
41,447,1
105,435,1
43,1099,90
70,1058,7
45,612,1
8,1052,1
22,352,14
27,790,90
434,454,1
15,417,1
141,350,1
139,657,14
35,263,1
51,462,1
24,607,1
55,441,7
54,857,7
5,1091,1
5,778,1
315,368,7
1,734,1
5,464,1
290,416,7
39,958,7
12,270,1
33,919,1
75,987,365
10,276,30
9,532,1
122,1059,1
391,631,90
27,404,90
4,1053,1
114,669,1
24,284,7
66,674,30
4,1107,1
57,1101,90
37,576,1
256,439,1
15,676,1
7,578,1
31,326,1
2,449,1
37,875,1
6,434,1
45,338,1
56,1060,1
6,650,1
11,324,1
28,874,90
5,439,1
9,536,365
77,1047,30
100,244,1
27,308,7
79,466,90
8,748,1
83,667,1
203,277,1
126,499,1
12,492,1
42,966,1
174,539,90
8,449,1
35,383,1
18,373,1
10,772,1
196,577,7
60,330,1
10,484,1
519,496,14
2,588,1
49,272,14
40,632,1
106,448,180
2,646,1
55,514,14
1,591,1
105,738,30
26,654,1
19,449,1
39,338,1
26,387,1
9,454,1
103,275,1
37,324,14
2,664,1
35,277,1
9,451,1
86,257,30
5,579,1
54,964,7
90,403,1
3,316,1
36,334,1
228,568,14
5,487,1
3,587,1
50,446,1
3,272,1
22,377,14
149,1074,365
10,975,1
6,567,1
6,981,1
9,548,1
37,935,1
15,442,1
10,577,1
12,573,1
160,376,7
180,671,90
140,330,1
6,974,1
6,649,1
8,1096,1
13,284,30
3,1050,1
8,312,7
75,574,1
8,589,1
4,495,1
109,452,1
15,1021,1
33,750,90
7,463,1
45,517,180
75,468,14
150,387,7
22,1053,1
18,652,14
30,415,7
36,1025,1
21,537,1
21,449,1
52,937,14
30,495,7
1,610,1
11,667,1
162,726,1
7,708,1
1,266,1
122,645,14
43,371,1
278,368,7
104,447,1
27,1027,14
21,626,1
62,466,7
13,1009,1
2,637,1
18,439,1
16,604,1
19,532,1
53,605,180
74,279,7
8,632,1
126,486,7
11,423,1
60,381,90
4,1053,1
35,448,1
15,492,1
44,576,30
39,443,1
13,1113,365
22,673,7
43,316,365
4,352,1
100,431,1
128,1110,1
22,469,1
7,978,1
44,490,1
10,976,1
324,726,30
189,571,7
33,633,1
74,316,1
19,591,1
56,803,30
13,459,7
107,498,7
20,672,90
22,368,90
10,378,1
6,653,1
8,788,1
10,514,1
46,541,1
9,388,1
35,574,7
9,471,30
57,675,1
33,905,1
53,1100,365
4,652,1
148,414,14
5,244,1
2,957,1
98,472,30
77,372,1
4,802,1
6,1109,1
7,979,1
46,652,1
22,438,1
17,347,30
38,438,1
145,672,7
279,278,90
2,469,1
1,301,1
69,545,1
60,361,90
28,501,30
151,422,90
1279,637,1
42,1028,7
52,418,90
53,446,1
15,669,1
257,575,1
2,646,1
46,636,7
21,807,30
11,675,1
97,629,7
90,328,7
106,1039,7
174,498,7
94,838,1
6,1054,1
202,937,90
93,365,7
88,672,30
36,1030,365
702,638,30
80,475,1
2,646,1
21,466,1
81,1071,30
102,261,1
57,365,1
8,326,7
77,399,1
36,542,1
1,341,1
65,563,7
49,647,14
8,664,1
19,512,30
9,591,1
10,370,1
42,461,1
9,458,1
116,264,1
9,821,1
51,436,1
52,448,1
29,438,1
8,252,180
4,1060,1
157,534,7
179,814,7
60,338,1
5,807,1
40,731,1
53,203,7
23,1055,7
2,521,1
36,263,7
202,566,1
8,463,1
28,449,7
85,492,1
29,366,1
2,627,1
74,335,7
45,560,1
203,653,1
19,1027,1
2,726,1
85,311,7
5,424,1
63,648,1
80,510,90
51,677,1
5,523,1
10,650,1
106,606,1
30,1071,365
21,575,1
3,1062,1
67,645,7
119,364,1
119,634,1
79,1074,1
14,422,1
5,607,1
115,488,1
51,442,7
14,958,1
