@relation 'hadoop-weka.filters.unsupervised.attribute.Remove-V-R3,6,last'

@attribute ncommitsinproject numeric
@attribute nissuescreatedinproject numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

580,804,7
776,871,1
841,907,180
684,792,1
593,788,7
683,765,90
676,790,1
765,873,1
915,845,90
587,763,1
776,840,1
675,813,1
836,1016,1
659,791,1
560,670,7
922,1010,7
1424,1043,7
583,678,1
647,782,1
560,702,1
558,669,7
595,802,7
655,798,90
931,1055,1
595,736,1
1117,962,1
1002,1081,90
1418,1009,7
603,724,7
996,935,1
600,804,1
682,786,7
659,791,1
965,1091,180
590,710,1
773,860,1
559,676,1
1117,961,1
858,672,180
974,751,180
1104,937,1000
560,708,180
976,1089,365
0,323,365
1538,1196,180
0,388,1000
0,509,365
0,628,180
0,363,1000
806,828,180
0,578,30
0,591,365
554,691,180
0,41,1000
0,551,1000
775,805,90
984,747,90
568,645,1000
0,572,1000
804,828,180
1350,766,365
926,672,1000
1012,898,180
0,265,1000
982,881,1000
0,545,365
0,374,1000
670,572,1000
988,693,180
1139,865,1000
0,595,1000
966,698,180
604,557,1000
1139,919,180
0,348,1000
0,46,1000
610,697,365
0,36,1000
654,796,180
0,61,1000
0,538,1000
818,668,365
0,360,1000
786,669,365
0,330,90
1406,1115,90
1290,751,180
1086,910,1000
748,538,365
1256,1063,30
802,585,365
1326,1035,1000
0,565,1000
0,356,90
887,720,180
786,665,1000
0,411,1000
0,313,1000
1118,799,1000
890,636,1000
1004,780,365
754,545,180
0,630,365
1094,742,90
1142,754,1000
0,567,1000
970,705,1000
0,480,1000
0,279,14
1464,1170,1000
1248,1062,1000
0,358,90
611,727,90
1296,745,365
610,676,1000
0,368,1000
1124,967,180
1116,954,1000
0,551,180
1514,1191,180
0,573,180
1334,1110,180
546,676,180
376,591,1000
1324,1056,180
1132,941,1000
0,311,90
0,567,365
0,552,1000
1550,823,90
498,595,1000
0,286,1000
1222,806,180
1094,957,365
0,269,90
1137,861,1000
1260,988,1000
788,863,90
630,584,90
1580,827,1000
0,561,1000
940,745,1000
0,230,1000
1322,777,365
0,80,180
1238,960,90
1266,735,180
1422,1139,90
624,725,90
492,422,365
949,1076,7
1357,895,1000
586,696,90
0,74,1000
1538,1189,1000
0,288,1000
0,497,365
767,805,90
0,587,180
0,322,1000
1102,688,1000
1178,743,90
883,760,180
1066,929,1000
753,809,90
612,679,1000
816,669,365
1292,801,180
1140,928,180
458,339,365
901,840,180
1322,1110,180
1042,987,90
1474,776,180
1180,960,1000
0,366,1000
0,512,90
625,705,90
1406,1119,1000
1436,766,30
1212,741,90
1274,742,1000
934,693,365
0,94,1000
0,90,1000
0,397,1000
1348,1109,180
0,254,1000
911,857,180
909,832,180
746,536,180
596,614,365
0,640,365
648,580,365
0,435,90
0,537,1000
1144,1040,1000
907,834,180
658,625,365
1412,1136,365
0,643,180
1380,1037,180
654,601,365
692,630,1000
962,869,365
624,628,1000
0,505,1000
0,356,90
924,709,1000
942,754,1000
0,625,365
957,1084,365
0,360,1000
556,717,1000
0,602,180
783,854,30
762,574,365
1140,751,90
953,892,180
1130,1030,1000
1154,748,90
1237,970,365
1134,743,1000
916,841,180
0,550,1000
1164,767,1000
0,533,1000
0,227,1000
926,694,365
887,697,180
1354,1102,1000
1038,985,1000
0,615,1000
1004,877,365
1217,884,90
928,696,1000
0,287,90
828,833,180
0,372,1000
1132,834,180
0,395,1000
0,347,180
0,569,90
0,250,1000
0,597,180
1114,1016,1000
0,563,180
957,1089,14
1334,788,1000
0,365,1000
1116,980,365
1244,982,1000
1104,690,90
32,568,1000
635,699,90
1320,1112,90
0,595,180
0,345,30
1131,941,180
924,963,30
0,330,365
906,943,180
1086,773,180
857,841,1000
1182,928,90
1441,1019,90
1445,1025,1000
1460,1139,1000
880,626,365
846,886,90
1100,741,1000
1356,1035,1000
1318,778,365
834,616,365
0,79,180
1092,786,1000
0,234,1000
955,920,180
1180,924,1000
0,269,1000
968,958,180
1390,1046,1000
774,581,365
1316,800,180
734,546,365
1122,723,1000
0,388,365
0,546,1000
836,1007,90
470,335,180
1439,883,365
1156,951,1000
0,159,1000
954,732,1000
1140,740,30
0,289,14
1122,961,1000
0,564,1000
0,92,1000
794,813,180
0,281,1000
0,563,365
586,614,365
0,567,1000
1052,987,90
0,19,1000
948,773,1000
883,760,180
0,257,1000
958,710,180
536,716,180
1184,783,365
0,565,1000
0,372,1000
592,586,1000
0,343,1000
1108,725,1000
1328,1101,1000
0,537,1000
1248,985,1000
1182,918,180
720,534,365
0,224,1000
0,332,1000
0,358,1000
0,632,365
998,901,1000
1322,1096,1000
842,679,180
0,322,1000
490,438,365
638,697,90
0,363,1000
1386,1123,365
1448,1011,90
1256,1070,30
854,668,180
844,679,180
889,818,180
0,532,90
0,292,1000
1260,808,1000
1090,956,1000
0,333,1000
1124,742,365
1524,811,180
885,755,180
1228,737,90
1370,1034,365
1070,785,1000
0,240,90
612,579,1000
0,590,365
0,556,180
0,628,1000
0,630,365
0,568,180
1006,726,180
1034,956,180
480,594,1000
0,505,365
1008,982,365
588,694,1000
1334,1098,90
0,547,1000
1368,763,365
1388,1118,1000
1426,754,365
1094,786,180
1446,1019,1000
0,279,1
0,218,1000
809,968,365
1092,881,90
0,633,365
1090,785,1000
594,511,1000
1010,977,90
0,562,180
1292,1092,180
768,828,90
1066,935,365
622,628,365
0,599,365
992,696,180
1381,898,180
1080,780,180
1104,837,90
952,871,1000
0,565,365
770,827,90
0,293,1000
890,684,90
0,85,1000
622,658,365
0,221,1000
1370,765,90
926,695,365
1384,825,180
1214,750,1000
842,891,365
1094,736,1000
1266,726,365
0,275,1000
1520,800,180
0,633,180
0,218,90
1010,900,180
0,504,365
