@relation 'hive-weka.filters.unsupervised.attribute.Remove-V-R2,3,5,6,7,last'

@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

0,107,0,307,2,180
0,646,0,896,123,1
0,81,0,171,0,1
0,777,0,1019,298,1
0,689,0,953,7,1
3,529,1,836,2,90
2,407,0,641,33,30
3,500,1,819,2,30
0,772,0,1031,1,7
0,707,0,945,123,7
0,466,0,724,15,1
0,810,0,1059,327,7
0,759,0,1042,216,1
0,411,0,641,22,30
0,449,0,641,1,1
3,529,0,834,1,1
0,405,0,652,5,1
3,499,1,811,2,7
0,333,0,534,0,1
0,351,0,532,19,7
0,461,0,757,6,1
0,520,0,834,0,1
0,707,0,944,123,30
2,416,0,656,15,90
0,111,0,235,0,1
0,657,0,898,130,7
0,755,1,1006,164,1
0,599,2,852,26,365
16,760,35,1044,216,365
0,116,0,195,1,1000
0,580,0,841,2,90
121,793,1,1080,1,30
0,498,1,808,6,90
0,127,0,218,1,90
0,95,0,172,0,1000
0,123,6,329,0,180
0,34,0,86,0,1000
0,122,0,212,0,1000
0,529,1,816,4,180
0,482,0,790,3,180
0,741,6,985,142,365
0,562,0,818,2,90
0,108,0,215,0,1000
0,11,0,15,0,1000
0,542,2,837,4,365
0,844,0,1094,1,14
0,387,0,658,4,90
0,768,10,1054,213,365
0,438,0,647,1,14
0,559,4,812,29,180
0,146,0,270,0,1000
44,58,0,170,0,1000
0,522,0,769,2,180
0,121,0,197,0,14
42,779,9,1058,197,365
0,590,2,853,16,365
0,125,0,210,39,365
0,563,0,818,2,90
0,750,0,1033,1,30
0,546,8,834,8,365
0,633,8,917,12,365
0,469,0,819,3,180
0,773,6,1047,220,365
0,487,1,827,2,180
0,500,2,870,0,180
0,497,2,851,0,180
35,691,0,949,10,90
0,527,1,811,4,180
0,210,0,461,0,365
0,450,2,645,1,365
52,138,0,219,0,1000
0,112,0,205,0,365
0,741,10,987,141,365
19,386,2,634,1,365
0,82,0,154,0,1000
52,138,0,230,0,1000
0,149,0,325,5,90
0,154,42,398,0,1000
0,128,0,211,0,1000
0,668,21,911,79,365
0,116,0,239,2,365
0,224,0,469,0,180
0,514,2,804,3,180
0,390,1,667,7,30
0,121,0,211,0,90
0,351,0,541,1,90
0,283,7,505,0,90
0,798,1,1079,1,30
0,98,0,177,0,365
0,393,1,722,7,90
0,652,5,895,132,180
0,456,1,795,3,180
0,333,0,540,1,90
0,96,0,149,1,1000
0,52,0,134,0,1000
0,654,34,867,143,1000
0,781,10,1042,199,365
0,460,1,806,3,180
0,489,1,838,0,180
0,128,0,203,0,365
0,545,10,829,8,365
0,141,0,260,0,1000
0,628,0,885,49,365
0,126,1,218,1,90
0,34,0,91,0,1000
0,402,0,640,1,365
0,149,0,325,5,90
0,686,10,927,91,365
