@relation 'kafka-weka.filters.unsupervised.attribute.Remove-V-R3,5,6,7,last'

@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

105,1,247,20,365
325,4,925,348,7
386,21,896,396,1
103,0,268,21,30
340,39,925,371,7
399,47,927,409,30
341,31,867,357,1
348,19,824,359,1
325,0,847,335,90
281,6,752,301,7
121,0,293,41,90
353,21,829,364,1
278,43,771,302,1
316,6,802,330,1
358,33,895,377,7
146,7,402,88,30
307,28,805,314,7
299,1,775,314,30
300,36,771,314,7
371,0,960,393,7
163,23,482,129,1
364,0,860,374,90
353,4,887,369,30
161,16,477,128,7
276,25,746,293,1
305,50,802,312,1
145,3,416,97,30
315,9,801,328,14
292,6,763,305,7
270,10,743,292,90
279,43,757,302,7
190,2,559,179,1
104,3,248,20,365
371,30,888,388,7
354,9,941,384,7
343,32,864,357,1
150,9,446,116,30
350,34,886,368,7
332,0,904,363,1
153,15,454,119,1
344,19,918,379,7
381,18,908,397,7
73,0,138,11,365
371,0,948,393,1
337,1,903,368,7
396,31,919,408,90
340,34,869,356,14
325,9,800,336,1
374,41,890,385,1
338,0,900,351,14
305,27,801,312,1
339,23,908,371,1
157,21,462,124,1
273,0,748,297,1
309,35,786,321,7
42,0,118,3,1000
364,16,868,378,1
127,7,311,52,14
190,3,546,174,7
335,16,919,363,1
348,18,824,359,1
399,0,929,408,1
381,44,896,390,1
286,27,788,300,7
373,3,885,389,90
184,4,542,173,14
305,21,764,320,1
279,33,752,301,1
277,5,746,294,1
213,5,581,210,7
186,2,538,169,90
291,0,799,302,7
338,61,895,351,7
136,1,420,98,1
282,23,751,301,7
288,19,791,303,7
102,3,252,18,30
399,3,927,412,90
365,27,879,380,30
312,33,794,324,30
106,1,251,21,14
295,35,747,307,1
283,10,756,302,1
208,19,580,205,1
347,12,813,354,7
155,9,457,122,14
334,6,807,347,7
335,0,902,357,30
360,40,835,367,1
155,9,456,122,1
289,19,762,300,7
390,44,898,400,1
210,4,567,201,14
386,0,903,398,1
323,10,824,331,1
155,6,455,122,1
374,4,892,385,7
357,51,939,386,1
322,0,923,345,1
376,15,891,387,1
103,0,273,23,14
330,35,804,342,7
75,0,141,9,14
338,16,892,351,30
108,0,279,28,180
368,27,896,383,7
239,2,629,243,1
378,9,893,390,1
140,1,433,106,30
288,36,792,303,1
171,8,509,152,1
365,28,883,381,7
164,0,491,132,14
347,40,819,355,14
337,34,871,357,1
281,2,773,305,1
133,0,337,61,14
146,1,393,84,1
302,29,758,315,1
354,39,924,386,7
111,0,285,29,14
257,17,667,262,7
136,0,419,97,1
340,0,907,358,7
313,8,795,325,90
268,28,677,272,1
355,1,884,371,14
328,11,916,354,1
270,1,744,297,30
123,0,205,16,1
133,4,341,61,7
276,0,751,296,7
68,0,147,11,7
325,7,845,335,14
103,9,274,23,180
324,1,831,331,7
119,1,266,9,1
136,3,422,100,90
347,10,815,354,1
205,18,583,196,7
178,28,522,161,1
120,0,262,9,1
361,3,941,391,1
260,16,674,265,1
147,12,446,113,1
374,3,890,391,7
350,25,827,361,1
256,25,656,260,1
357,1,830,364,7
288,27,772,301,1
273,41,752,296,1
369,29,945,396,1
338,34,868,355,7
329,29,916,348,1
71,0,142,9,1000
349,19,826,360,1
280,20,701,285,1
395,0,925,407,7
154,6,456,120,7
360,42,854,370,7
175,15,519,158,1
353,50,922,385,1
260,9,675,265,1
366,3,894,384,7
226,8,595,227,1
310,36,793,323,1
277,21,747,294,1
102,2,244,15,7
378,18,895,390,1
311,1,813,318,1
212,27,580,209,1
365,43,861,375,1
286,3,766,298,90
273,37,755,297,1
336,35,817,349,1
270,9,689,275,1
