@relation 'ofbiz-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,7,last'

@attribute issuecleanedbodylen numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

56,275,10,34,1000
289,1191,1,207,1000
40,1402,5,245,1
1485,777,0,112,1
24,781,9,112,1000
392,716,0,122,14
51,1374,1,165,1000
14,1232,1,148,365
141,894,1,136,90
25,1115,16,178,7
48,1165,1,204,30
56,525,10,83,1
103,929,0,82,1000
73,375,2,32,90
55,276,7,26,7
76,1321,27,128,7
45,302,11,107,7
97,744,6,120,1
138,424,0,50,14
109,994,17,155,90
34,887,15,151,14
12,1244,3,146,365
7,304,58,100,90
50,278,0,81,1
53,1117,1,87,1000
42,1190,0,178,180
14,1386,25,242,1
116,1168,12,117,30
34,721,1,144,1000
19,1251,12,244,7
22,1184,6,120,7
4,1129,1,118,1000
226,746,1,160,365
91,804,3,87,90
31,774,0,85,1000
40,656,1,73,14
31,1189,0,151,1
32,679,1,88,7
140,704,2,104,1000
6,310,18,104,1
220,1185,4,206,90
76,663,0,129,90
200,461,0,89,1000
125,913,14,59,1000
27,1270,5,213,7
20,961,1,149,1
96,538,3,61,1000
90,920,9,160,14
93,181,14,75,90
11,1164,0,101,1
33,875,0,144,1
9,972,19,118,1
110,562,17,105,90
56,769,7,85,1
81,699,20,130,1000
7,1233,0,148,1
3,1162,3,197,30
46,1154,2,198,30
159,487,1,96,1
32,744,0,155,7
47,173,1,65,7
18,176,7,33,1000
22,327,4,58,1
121,630,0,138,30
188,600,0,136,180
86,899,2,81,1000
112,276,8,34,1
16,906,5,126,30
86,1490,8,259,90
27,175,1,56,30
64,339,8,37,1
166,1137,15,71,90
37,700,8,105,1000
54,809,2,115,1
43,1161,0,149,1000
68,1175,4,196,1000
52,1188,1,226,30
25,303,54,109,365
43,1188,2,221,7
242,892,2,160,90
36,150,1,30,7
32,303,54,107,365
42,1213,13,128,90
34,161,0,35,365
101,97,0,30,30
66,958,2,152,14
54,556,19,68,7
72,208,0,62,7
37,1188,3,209,30
89,269,1,40,1
71,222,54,111,180
110,820,3,147,7
94,1512,0,270,14
44,421,0,47,90
62,339,2,43,90
65,1245,6,195,1000
52,957,0,138,30
27,632,0,81,90
50,831,0,135,1
162,568,8,54,1000
83,1302,17,114,7
10,528,9,86,90
44,637,0,134,1000
42,1159,1,162,180
22,817,19,135,1
153,711,21,126,7
77,604,1,134,1
123,1217,0,194,90
57,668,0,135,90
56,722,0,68,14
25,321,52,101,1
125,693,2,90,30
63,1113,11,223,1000
71,0,0,0,1000
121,253,7,21,1
59,539,14,60,7
42,258,5,34,1
12,1090,1,197,30
26,708,8,121,1
129,546,1,41,30
17,354,0,61,7
40,276,0,26,1000
198,141,3,42,365
55,836,19,132,365
35,571,0,102,14
115,1318,17,237,30
14,791,20,146,1000
43,731,9,93,7
137,563,0,64,30
467,1269,10,108,365
49,185,5,31,1000
39,95,1,32,7
19,1157,12,205,180
114,1133,2,214,1
81,986,0,125,1000
65,201,0,35,1000
47,1193,0,219,1
37,901,20,141,7
109,136,0,31,1
28,1374,52,166,14
4,1232,1,148,1000
17,932,2,97,1
93,914,12,91,1
139,775,10,114,1
32,547,21,60,30
163,731,16,69,1000
19,868,0,77,14
8,222,36,88,1
23,193,14,20,180
19,1245,0,193,180
100,208,4,61,7
56,609,3,127,1000
136,192,5,27,1000
33,711,7,122,1
20,1040,4,190,1
104,624,21,62,30
141,180,0,68,90
42,568,0,64,1000
37,669,18,131,1000
108,334,0,59,1
70,226,0,130,90
13,779,0,163,1000
3,1136,2,89,90
48,590,20,134,7
243,504,4,57,180
19,1095,7,185,1000
68,317,9,91,365
148,620,0,127,90
13,873,1,82,14
131,889,0,79,1
58,1110,4,222,14
59,1162,19,159,30
24,1193,0,150,1
93,1357,4,238,1000
132,1123,4,188,1000
48,1250,2,185,7
33,342,1,22,14
37,1432,1,251,1000
21,725,4,77,30
22,1238,0,180,1
27,397,0,38,180
41,617,2,127,1
11,1252,0,174,1000
47,1512,26,264,1
25,178,20,64,7
26,201,39,102,1
19,1027,0,179,1
95,0,2,10,1
27,201,0,51,90
40,668,5,80,365
81,1068,1,83,7
76,557,4,103,1000
69,893,0,81,1
90,121,5,27,1
229,814,7,135,1000
11,347,2,42,7
14,1202,2,75,7
14,929,28,165,1
66,1169,2,200,1
65,1522,3,261,1
39,1148,2,101,30
61,1152,1,223,90
12,200,39,98,30
57,296,0,92,1
5,359,4,72,14
137,956,4,176,1000
217,1165,1,166,1000
104,354,8,62,90
37,897,0,88,365
133,627,1,92,365
81,1190,5,226,14
93,1251,3,145,1000
41,379,0,37,7
19,1147,4,224,1
46,222,15,119,180
35,962,0,123,1000
59,522,7,101,30
116,284,31,112,1
48,1128,6,170,1
16,827,20,144,1
47,1404,1,249,30
46,1227,0,233,90
64,207,1,33,90
51,167,0,54,7
27,604,0,92,365
54,257,7,35,365
65,1124,0,119,90
28,1148,0,147,1
121,996,0,182,90
116,259,1,22,1000
100,291,3,90,7
91,1142,7,188,1
29,357,8,19,180
117,401,6,76,14
426,1161,6,199,30
97,938,1,160,365
288,575,17,103,1000
13,189,1,54,30
65,265,3,53,365
35,1322,27,128,7
108,922,5,168,14
106,408,4,49,14
70,0,0,23,30
127,129,1,55,365
13,946,36,178,1000
2327,536,3,101,1000
49,962,5,151,1000
79,914,13,91,7
8,132,9,55,180
34,706,2,138,1
68,555,16,103,1
68,372,0,126,30
112,622,7,91,7
27,995,1,161,1000
8,869,1,141,7
17,337,15,99,7
213,1128,3,100,30
32,861,31,171,1
128,307,2,71,1000
24,1094,4,199,7
161,893,5,82,90
25,560,2,64,7
182,635,1,134,365
14,720,26,133,1
24,1195,0,124,7
77,1131,4,193,1000
282,956,13,131,30
42,310,60,108,90
12,1086,2,84,90
9,275,10,41,1000
70,887,1,163,180
24,914,9,129,1000
113,664,16,103,30
56,204,3,120,7
43,860,13,84,30
119,242,0,105,7
7,230,45,109,1
1,115,2,31,1
140,267,2,19,1000
225,638,1,84,1000
40,0,1,17,365
23,982,6,56,1000
94,732,9,117,180
100,740,8,146,1000
39,355,7,123,7
53,555,1,62,30
32,311,0,76,7
6,556,1,83,90
563,1006,0,156,7
56,1505,4,256,1
105,235,0,48,30
35,880,1,135,1
33,560,0,61,1
100,473,8,40,1
86,1136,0,89,14
54,850,0,148,180
21,1246,0,148,7
44,795,1,70,7
19,191,3,16,30
12,196,1,97,180
87,224,35,109,365
13,455,0,57,1
43,1130,19,193,14
51,189,11,16,90
8,868,0,77,14
27,211,0,46,365
12,128,9,31,365
7,186,33,59,180
44,856,7,139,1000
74,357,0,123,90
105,745,3,114,1000
37,968,4,159,30
39,103,0,27,30
28,371,4,116,180
99,199,4,50,1000
11,918,14,91,14
39,227,18,76,7
11,1325,10,117,7
15,360,0,125,1
41,1319,63,178,30
38,1162,10,175,7
42,336,20,75,30
24,1177,23,198,1
53,796,2,87,7
47,195,2,31,365
29,194,14,49,365
81,1170,2,196,7
72,1162,4,112,30
61,362,5,127,7
101,426,0,37,14
39,935,3,146,365
89,728,0,71,1000
48,797,3,87,14
6,559,1,61,90
34,721,0,75,1000
43,409,6,80,7
86,284,7,33,30
51,595,2,134,1
34,1149,0,229,90
122,354,5,61,1000
27,960,1,78,1000
30,1191,15,221,1000
33,209,2,80,7
60,704,17,126,1
33,1200,15,150,7
2,181,0,55,1
130,718,16,120,14
46,1001,7,147,180
38,600,0,61,90
62,187,0,47,180
43,888,16,122,30
39,1247,9,184,90
54,397,0,42,90
61,1147,0,107,180
51,726,0,141,14
35,927,25,164,1
44,1214,13,128,90
72,317,0,63,1
142,350,1,64,1000
5,277,4,80,7
1594,239,0,124,14
202,630,2,136,1000
102,280,2,84,1
102,706,20,117,30
451,271,28,85,1
14,873,1,82,14
37,1235,0,191,7
43,1099,2,190,1
51,370,1,58,7
21,1172,1,196,7
49,1139,1,104,7
171,547,1,41,180
92,1153,12,204,7
228,203,3,40,1000
21,857,6,139,1000
59,124,0,58,1
131,408,6,48,1
50,1186,7,226,7
49,203,1,118,1
47,216,17,105,7
73,296,0,92,7
38,270,0,29,1
8,930,7,98,1
7,280,69,80,30
61,848,0,94,1
92,947,4,157,7
1470,571,16,101,1
73,961,4,137,7
50,453,3,88,1
13,336,9,97,7
408,575,17,103,365
110,106,0,31,1000
63,481,1,53,1
46,322,7,35,1
12,351,2,41,7
116,899,18,81,1000
69,896,0,137,180
174,664,0,129,1000
3,1136,2,89,7
47,0,0,23,1000
57,822,7,136,14
30,1187,13,225,1
20,1187,10,218,1
145,90,0,32,365
83,272,1,53,1
88,932,42,84,1000
24,206,1,119,365
28,152,24,63,90
17,527,2,84,1
23,963,25,153,1
16,881,31,163,14
270,298,6,31,1000
74,376,0,71,30
53,1081,4,189,1
47,1076,0,180,90
24,299,0,31,1
191,173,29,65,7
23,1259,3,189,180
36,419,6,75,1
37,718,0,74,30
38,1188,3,219,365
94,297,6,93,1
762,143,10,62,365
37,619,0,130,365
192,1219,0,72,7
89,341,9,117,14
66,606,2,72,7
31,1090,11,189,30
7,575,0,82,90
38,1321,4,139,1
35,1241,2,181,1
22,719,7,79,1000
430,557,16,103,1000
4,1212,1,177,180
17,903,3,159,7
18,278,0,81,30
46,283,10,111,1
73,497,1,99,30
69,951,8,138,7
87,359,0,69,1000
55,712,0,134,180
49,313,12,73,1000
189,729,2,70,1000
28,750,0,155,1
69,470,5,52,14
39,1244,6,146,1
31,216,45,103,1
63,372,6,38,1000
73,1202,3,152,365
207,727,4,154,30
22,620,14,131,7
115,786,0,116,90
169,592,0,63,30
16,107,1,53,1
8,1172,5,118,1
13,397,5,38,7
32,847,0,62,1000
4,1202,0,152,180
27,420,8,84,1000
150,1190,1,176,14
206,441,10,85,90
199,547,1,41,180
22,366,18,111,7
116,321,1,80,180
18,272,3,87,90
28,321,52,100,365
35,160,15,29,180
35,1136,0,89,14
22,226,0,83,1
16,258,8,39,7
58,625,4,135,1000
54,130,0,55,7
57,1235,4,180,1000
47,747,2,148,30
166,575,17,103,7
63,1191,0,178,1
110,627,3,134,7
1775,1154,3,203,1
34,1193,21,207,1
12,1229,9,148,7
36,257,7,36,90
16,1062,41,190,7
74,1141,0,169,1
110,1207,2,198,1000
140,748,5,159,7
22,1514,27,266,1
24,773,4,120,7
7,1251,0,146,180
33,851,5,152,1000
12,362,1,70,1000
4,1360,4,243,1
18,704,1,69,7
2027,197,1,56,1
254,536,3,101,1000
45,1210,0,192,14
64,237,1,20,180
72,1099,3,190,1
33,132,2,53,1
53,397,5,39,30
48,1163,2,222,14
42,975,0,155,1000
29,369,2,111,1000
68,365,4,63,1000
59,283,7,33,365
68,508,12,100,7
60,609,0,130,7
62,616,3,89,1
19,819,19,135,1000
17,252,1,34,1
9,543,0,79,7
71,1181,1,222,1
25,605,1,134,90
31,656,12,77,30
144,776,1,114,1000
7,186,33,59,180
14,335,2,36,1
43,865,1,85,14
12,832,0,125,7
46,359,4,117,7
29,329,2,59,14
96,558,3,104,1000
30,1423,18,256,1000
59,362,8,49,1
1687,339,0,75,1
101,557,15,103,30
38,587,3,67,14
17,870,0,77,14
62,816,0,84,1000
99,706,9,138,14
50,703,1,66,7
13,362,33,63,7
127,325,15,59,180
51,175,0,69,30
35,1517,28,269,1000
26,1162,10,175,7
45,707,4,137,365
47,829,3,124,1
58,917,0,80,180
88,1107,5,192,14
16,374,0,58,1
78,723,1,153,7
21,114,12,55,7
123,210,2,104,365
1,1019,0,137,1
51,281,2,32,90
19,196,1,104,7
22,200,38,98,180
60,292,8,32,1000
164,300,6,31,7
22,845,4,89,1000
110,494,3,97,1000
20,275,10,41,1000
22,318,51,98,90
101,38,1,27,90
10,466,1,39,30
74,309,6,69,1000
128,727,6,154,180
22,362,5,127,14
12,1148,6,111,7
189,528,8,86,1000
39,324,6,64,30
40,367,0,65,365
16,707,11,124,1
159,725,21,153,1
7,309,32,101,1
52,558,0,47,1
58,750,2,158,7
131,275,4,26,1000
38,547,1,62,180
8,1189,24,217,7
8,1144,8,89,90
16,871,0,79,14
23,109,3,31,7
25,221,22,67,1
37,1156,2,170,1
96,362,8,71,90
52,158,0,34,180
21,683,9,133,1000
80,1275,1,173,1000
10,1006,9,149,1
79,267,0,23,7
27,786,12,116,7
35,1424,4,256,7
43,322,4,63,1000
18,37,0,27,90
47,677,0,73,1000
233,682,4,133,90
12,866,0,70,1000
70,708,6,121,1000
48,211,0,72,7
55,339,11,100,7
102,264,0,39,365
139,561,1,43,1000
81,558,3,103,1000
71,708,7,112,7
8,372,39,68,1
101,1386,3,243,1
4,982,3,151,14
22,411,6,40,90
95,354,5,70,1000
13,1090,1,196,1000
129,1172,3,84,90
70,279,2,80,30
101,209,0,63,180
94,366,2,71,1000
229,739,3,123,90
22,1071,5,208,1000
26,645,3,106,1
723,620,0,81,1000
7,579,2,81,365
194,703,10,66,7
71,686,6,78,30
18,721,26,133,1
19,900,0,85,7
43,872,1,82,14
26,221,50,130,180
24,1178,0,101,14
192,204,4,120,1
64,223,5,47,90
29,344,6,42,7
64,342,12,76,90
19,371,22,116,7
36,544,2,67,1000
14,565,2,65,1000
57,335,0,114,180
88,207,0,101,1
41,1177,9,224,1
92,355,7,123,7
48,423,2,39,90
27,1131,4,193,30
69,607,2,76,1
47,194,2,60,1
13,1056,3,104,1
94,639,6,135,30
15,683,6,85,7
74,324,16,64,1
35,1147,6,177,1000
25,154,3,36,180
53,145,0,62,7
43,1154,26,203,1
186,252,0,21,180
49,569,5,77,7
19,414,1,43,180
133,276,4,25,7
15,1152,0,220,1
22,247,2,40,7
26,151,0,62,7
74,306,4,75,1000
83,1424,13,256,90
88,933,0,182,1
24,1127,5,107,1
21,1192,0,200,30
7,186,33,59,90
53,350,0,23,180
41,1345,20,243,1000
23,1184,6,203,1
29,236,0,30,1
78,177,27,62,90
100,247,11,92,90
62,929,1,80,1
89,334,0,74,1000
23,129,9,32,365
75,759,7,78,7
72,709,9,116,1000
7,230,50,114,1
144,899,4,160,180
37,344,31,59,365
7,1161,0,206,1000
12,933,3,132,90
7,280,69,80,7
13,254,30,92,1
76,922,1,81,30
9,880,2,170,1
63,707,0,85,1
8,214,48,126,1
53,110,2,33,1000
32,1175,0,148,180
31,112,2,37,1000
90,328,0,64,180
22,361,0,20,7
65,315,0,73,7
33,1411,28,252,365
34,1034,0,104,365
6,212,35,107,30
59,269,0,31,1000
71,873,5,82,1000
91,909,0,78,7
1649,439,0,85,1000
39,689,5,129,365
103,1130,9,227,14
73,0,1,17,1000
34,112,0,30,7
9,727,6,153,1
95,326,12,73,90
6,310,18,104,1
18,592,0,73,1
14,1227,0,147,14
30,129,1,58,1
16,871,0,79,14
43,1262,10,169,14
156,637,0,105,1000
43,332,8,110,1
3021,571,16,102,365
131,321,3,80,7
48,116,0,34,1000
82,621,0,133,1
43,1514,24,260,1000
38,208,7,41,365
49,277,1,80,7
35,975,0,155,1000
56,544,2,67,1000
10,230,45,105,1
87,222,0,38,7
6,164,16,63,7
227,333,0,54,14
53,779,10,119,7
110,589,0,52,30
16,685,1,121,30
104,1162,3,198,1
332,1164,9,223,1
11,579,2,81,14
41,752,18,149,1000
81,800,13,114,1
192,572,1,64,30
26,1261,15,157,90
35,244,5,44,365
40,249,4,33,90
66,1128,0,121,1000
98,174,2,48,7
586,973,18,134,30
39,1150,0,229,7
46,821,12,142,30
20,925,9,161,1000
195,396,0,42,180
38,700,0,84,1000
254,287,1,82,7
36,906,2,62,365
92,277,6,28,30
33,694,11,90,180
37,878,1,83,30
30,651,9,73,180
39,1192,24,208,7
40,834,1,127,7
53,174,1,68,180
22,1172,1,196,7
237,1136,2,89,1000
372,494,3,97,1000
21,1184,2,203,1
28,722,22,137,7
80,282,2,111,90
83,1439,12,265,30
4,1041,0,102,1
143,1201,6,209,1
28,938,3,158,365
38,321,3,80,1
96,321,5,108,30
144,938,0,79,1000
21,1155,24,204,1
21,242,2,34,1000
44,873,3,145,1
59,1003,9,149,1000
89,369,1,108,1000
59,662,0,129,365
96,360,4,71,14
102,358,0,71,30
43,771,0,83,1000
66,1181,1,172,30
62,1323,4,168,365
31,363,0,37,7
360,237,46,121,180
7,1425,2,256,1
38,576,0,104,365
72,272,0,38,1000
146,963,0,106,1000
59,962,9,137,14
66,547,23,58,1
113,1077,2,189,14
12,334,0,95,1
35,960,0,115,1000
173,357,4,70,30
63,1238,1,194,180
66,781,6,84,1000
42,1033,0,60,180
17,226,2,75,1
129,1262,16,173,1000
62,888,40,84,1
37,1188,2,205,1
820,1203,0,194,1
17,949,8,101,1
35,1315,27,128,7
29,604,4,127,90
26,907,7,129,30
160,1196,16,154,7
84,1249,15,155,180
71,1114,4,117,7
256,339,0,75,30
22,1129,16,213,1
43,1067,2,192,90
30,776,1,66,1
24,1440,14,255,7
37,704,0,85,14
79,1063,0,187,7
27,851,0,152,1000
10,880,32,170,1
14,636,12,131,1000
105,176,1,62,7
51,0,0,25,90
33,761,0,117,90
92,904,1,137,90
48,1257,25,183,1
74,690,20,128,14
48,975,0,155,1000
30,365,7,71,1
52,1026,2,59,7
73,181,14,26,180
185,1522,13,259,30
33,419,0,35,180
59,1173,2,171,1
82,158,7,30,365
1559,572,16,101,1000
52,904,2,74,7
76,648,17,135,7
61,176,0,68,90
14,1256,4,188,180
76,749,5,63,7
62,327,4,58,7
5,293,53,107,1000
76,622,17,82,14
55,1457,23,263,1
58,1355,0,237,365
102,357,0,42,7
128,1292,9,114,365
46,207,0,106,365
131,546,1,41,30
139,1225,12,147,7
124,730,6,80,30
49,857,0,133,30
286,901,3,120,365
46,1169,1,196,7
41,594,1,78,90
104,576,8,64,90
88,726,7,142,1
67,726,3,70,1
7,186,33,59,90
14,975,2,75,1000
20,302,7,71,14
59,317,4,69,1
75,589,4,132,90
70,701,11,67,14
81,255,6,38,180
38,867,24,153,90
28,215,45,74,180
121,1155,4,204,365
9,283,0,111,365
7,186,33,59,180
96,1265,0,107,1000
98,197,0,69,1
48,165,1,63,30
281,969,0,182,7
78,676,4,131,7
108,265,3,36,1000
22,649,7,53,30
340,1182,0,206,180
7,230,45,105,7
47,922,0,78,7
87,752,10,119,180
7,203,34,116,1
82,1162,1,223,1
11,1190,1,218,7
102,920,0,138,30
1141,558,3,104,1000
18,331,3,87,1
42,1184,3,77,365
15,888,22,159,7
1590,839,1,170,90
149,247,4,41,14
46,1077,5,214,30
96,1166,0,102,14
12,915,14,59,1
27,1459,1,256,1
43,1425,2,255,180
48,870,0,140,1
26,327,14,83,90
134,907,1,73,1000
37,896,0,88,1
33,1213,8,127,7
19,411,0,42,90
95,454,3,87,1000
66,418,0,46,30
58,1246,11,243,7
36,0,0,18,365
90,415,0,33,1000
74,1001,5,75,1
