@relation 'qpid-weka.filters.unsupervised.attribute.Remove-V-R5,6,7,last'

@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

1,341,15,1
1,184,4,1000
0,318,18,1000
0,75,1,365
0,207,7,1000
3,233,9,1000
30,297,29,365
1,338,8,90
0,217,9,1000
1,194,9,1000
8,330,39,180
2,56,1,1000
4,328,6,365
3,296,10,7
141,149,6,1000
1,308,33,180
63,364,108,180
0,90,1,1
5,335,11,7
1,321,5,1000
0,176,27,1000
0,300,7,90
15,111,29,180
0,238,8,1000
0,246,2,1000
0,83,6,1000
2,227,14,1000
0,168,34,1000
159,269,21,1
0,88,25,1000
0,187,31,1000
1,311,5,90
3,302,17,14
239,331,47,180
1,199,8,1000
20,350,82,1
0,339,8,1000
16,338,34,90
3,265,11,90
86,282,26,30
0,344,10,365
0,328,6,7
2,371,9,1000
3,285,23,7
10,266,14,365
2,191,2,1000
50,304,8,1000
0,221,5,1000
0,214,14,1000
0,297,21,1000
2,77,1,1000
0,280,7,1000
0,242,2,1000
2,273,12,1000
0,279,82,180
1,321,96,1
23,342,89,90
0,25,1,1000
0,315,19,180
2,252,8,1000
3,266,14,90
1,319,7,90
0,256,9,180
0,138,6,180
3,195,3,1000
0,228,6,1000
1,222,8,1
0,82,1,365
7,318,54,180
0,192,6,30
4,290,13,180
0,188,1,1000
0,328,5,180
0,340,9,365
0,308,31,180
17,303,31,1000
0,304,10,180
1,267,14,365
6,296,18,7
2,358,27,365
0,277,23,1000
0,290,19,1000
0,300,11,1000
0,164,6,365
0,165,5,1000
1,280,18,180
0,304,9,1000
0,334,12,1000
0,181,20,1000
0,219,7,1000
4,308,5,90
0,300,9,1000
11,97,28,1
4,171,29,1000
4,316,37,1
0,283,11,1000
0,197,12,90
1,291,22,180
0,215,32,90
0,195,11,1000
0,260,13,1000
0,188,10,1000
0,189,4,1000
3,335,34,365
1,303,56,180
2,338,19,365
0,188,5,1000
0,218,4,1000
2,122,3,1000
0,264,21,365
36,329,91,1
5,338,28,1000
1,47,1,90
0,194,6,1000
4,189,1,180
36,318,97,7
0,149,7,1000
0,217,9,1000
0,162,1,14
54,363,105,180
4,306,28,90
15,308,32,180
11,307,31,30
0,119,15,1000
0,241,18,1000
59,316,16,180
1,272,10,1000
3,192,4,1000
3,343,11,1000
0,98,5,365
0,154,5,1000
2,301,20,365
142,176,27,1000
6,207,5,1000
1,353,127,1000
6,277,12,1000
0,299,30,180
0,193,1,1
0,149,5,1000
7,149,8,1000
2,259,12,1
12,286,21,1000
0,107,4,30
3,328,84,90
1,93,6,1000
0,79,1,1000
10,253,20,365
0,182,15,1000
0,183,6,180
0,197,7,90
31,302,49,180
0,176,4,7
0,205,7,1000
1,258,9,180
0,158,21,1000
0,17,1,30
0,224,9,1000
19,132,31,1000
1,89,3,1
0,260,9,1000
0,188,5,90
0,204,7,1000
1,320,36,365
54,363,113,180
3,264,15,90
1,298,25,180
0,279,12,90
1,153,2,1000
0,363,10,1000
58,310,27,180
2,236,17,1000
58,312,28,180
2,305,7,90
0,416,36,7
36,305,6,365
1,270,12,365
1,155,2,1000
0,177,8,1000
3,287,11,180
83,267,19,30
30,308,27,90
0,161,7,1000
40,337,90,14
0,206,6,1000
0,235,7,1000
0,192,4,1000
0,298,20,1000
6,361,23,180
0,363,23,1000
0,146,6,1000
0,299,10,1000
1,280,39,30
31,333,28,90
13,352,93,180
141,148,6,1000
0,171,1,1000
2,218,14,1000
2,376,9,180
1,166,5,1000
5,284,24,180
0,341,18,90
1,356,113,1000
0,165,7,1000
3,351,81,90
12,315,30,1000
2,198,5,30
0,222,13,1
3,333,36,180
0,242,9,365
0,132,8,1000
0,247,2,1000
9,279,39,1000
1,339,12,180
0,189,4,1000
0,207,9,1000
0,366,26,1000
1,190,6,1000
0,364,10,1000
1,311,55,30
7,221,13,1000
0,148,13,1000
0,292,19,1
2,215,9,7
91,302,8,90
14,306,44,90
2,287,11,180
14,140,29,30
0,181,7,1000
0,116,2,1000
1,273,51,1000
0,203,7,180
1,259,13,90
12,313,33,1000
3,243,8,1000
2,198,5,30
0,188,31,1000
9,316,32,180
12,330,45,180
0,179,6,1000
54,353,96,180
29,353,95,1000
0,158,5,1000
2,335,6,1000
6,301,11,1000
0,216,14,1000
0,339,19,1000
0,203,2,1000
2,206,7,1000
0,353,127,1000
0,169,6,1000
0,149,22,180
5,187,6,14
2,248,35,1000
0,328,27,7
1,300,57,180
0,342,16,180
2,299,24,180
0,174,1,1000
4,330,28,90
0,161,1,1000
0,218,6,1000
1,219,34,1000
0,195,3,1000
6,135,6,1000
0,347,20,365
0,167,5,365
0,157,10,1000
2,247,8,90
0,227,8,14
1,160,7,1000
0,333,16,1000
0,157,6,365
0,172,8,1000
0,176,1,1000
1,284,7,90
4,301,28,14
0,342,10,1000
239,324,40,180
0,200,1,1000
12,117,29,90
0,338,8,90
0,329,20,30
0,132,6,1000
0,179,7,1000
0,184,4,1000
1,217,4,1000
2,314,21,1000
0,264,37,365
2,300,9,1000
0,156,6,1000
1,92,4,1000
13,150,27,180
0,174,1,1000
0,202,6,180
4,181,7,1000
0,214,7,90
0,270,20,30
3,161,21,1000
11,299,46,90
11,297,51,7
170,277,90,365
1,188,4,90
0,301,6,90
2,92,2,1000
3,297,37,180
0,326,5,1000
72,347,35,180
2,325,27,365
0,148,1,1000
15,320,99,30
0,206,9,1000
7,247,20,1000
14,137,29,30
6,316,40,1000
61,283,13,365
34,314,103,7
0,149,37,1000
0,189,6,90
0,246,8,90
0,159,7,14
0,219,14,1000
1,105,29,180
31,298,52,180
2,123,3,1000
0,288,24,180
0,193,8,1000
1,208,9,1000
1,170,2,1000
0,218,4,1000
62,303,22,180
6,150,13,1000
0,347,17,365
0,96,6,1000
0,179,4,1000
0,152,2,90
0,286,29,90
0,218,9,1000
2,309,6,365
5,380,80,90
5,335,10,1000
18,182,33,1000
66,318,5,1000
18,300,34,90
5,350,10,365
0,140,32,1000
0,184,4,1000
8,297,64,180
0,131,6,1000
12,343,35,365
0,182,9,1000
0,370,9,1000
