issueCleanedBodyLen,meanCommentSizeT,nActorsT,nCommentsT,nCommitsByActorsT,nCommitsByCreator,nCommitsByUniqueActorsT,nCommitsInProject,nCommitsProjectT,nIssuesByCreator,nIssuesByCreatorClosed,nIssuesCreatedInProject,nIssuesCreatedInProjectClosed,nIssuesCreatedProjectClosedT,nIssuesCreatedProjectT,nLabelsT,nSubscribedByT,timeOpen
21,68,6,47,1054,2,141,105,1077,3,1,247,20,1201,2779,0,14,365
14,16,6,4,141,4,47,325,174,11,4,925,348,169,434,0,5,7
5,6,5,3,574,19,117,386,622,57,21,896,396,696,1663,0,0,1
11,16,5,9,1044,0,140,103,1071,1,0,268,21,1197,2765,0,7,30
36,14,2,3,100,33,45,340,159,82,39,925,371,152,384,0,2,7
16,24,5,2,553,42,115,399,602,78,47,927,409,666,1581,0,1,30
6,19,4,3,426,27,94,341,480,31,31,867,357,525,1258,0,1,1
6,1,4,1,639,0,123,348,716,20,19,824,359,798,1870,0,1,1
1,42,2,2,219,0,64,325,287,1,0,847,335,306,745,0,2,90
23,5,5,3,385,0,84,281,431,14,6,752,301,475,1132,0,1,7
8,30,7,36,1019,10,138,121,1051,1,0,293,41,1177,2700,0,15,90
9,1,4,1,634,0,123,353,716,22,21,829,364,797,1867,0,1,1
7,5,4,1,350,35,81,278,390,62,43,771,302,425,1039,0,0,1
19,1,4,1,395,3,89,316,457,12,6,802,330,505,1206,0,0,1
8,6,4,1,442,31,98,358,498,70,33,895,377,536,1287,0,0,7
28,6,8,7,967,0,134,146,987,12,7,402,88,1111,2520,0,7,30
19,12,7,3,252,27,66,307,313,28,28,805,314,334,831,0,14,7
7,15,4,10,387,1,84,299,440,2,1,775,314,485,1161,0,14,30
20,10,3,1,390,0,88,300,454,38,36,771,314,495,1183,0,0,7
7,33,5,2,7,0,25,371,69,1,0,960,393,57,179,0,1,7
4,4,4,3,928,19,131,163,960,56,23,482,129,1069,2409,0,0,1
1,19,4,2,607,0,122,364,660,1,0,860,374,735,1746,0,2,90
37,41,7,11,455,0,98,353,501,8,4,887,369,542,1297,0,14,30
6,6,5,4,930,0,131,161,960,36,16,477,128,1071,2414,0,0,7
13,30,8,7,337,22,79,276,385,27,25,746,293,412,1012,0,6,1
51,18,5,4,254,42,66,305,314,76,50,802,312,335,836,0,1,1
91,13,6,25,960,0,134,145,982,6,3,416,97,1104,2508,0,7,30
15,165,6,9,397,8,89,315,459,11,9,801,328,505,1209,0,8,14
11,4,5,2,308,0,77,292,373,11,6,763,305,392,973,0,2,7
25,12,8,7,376,0,83,270,409,12,10,743,292,448,1080,0,10,90
23,17,5,5,351,35,81,279,391,57,43,757,302,428,1049,0,5,7
17,0,3,0,869,0,131,190,919,22,2,559,179,1017,2299,0,0,1
8,16,7,4,1054,0,141,104,1076,13,3,248,20,1201,2779,0,3,365
16,8,4,1,504,28,105,371,541,66,30,888,388,590,1410,0,0,7
20,6,5,4,36,0,38,354,122,10,9,941,384,106,271,0,3,7
5,19,3,2,426,0,95,343,482,54,32,864,357,525,1259,0,0,1
40,61,6,12,942,11,131,150,967,43,9,446,116,1083,2443,0,9,30
16,3,6,3,438,32,96,350,489,71,34,886,368,532,1275,0,2,7
5,2,4,1,97,0,44,332,153,2,0,904,363,143,355,0,0,1
8,6,4,2,939,0,131,153,967,33,15,454,119,1080,2435,0,0,1
8,6,5,3,65,18,43,344,141,23,19,918,379,126,311,0,3,7
12,30,6,2,515,16,106,381,544,20,18,908,397,592,1419,0,2,7
27,24,4,1,1433,0,198,73,1445,2,0,138,11,1258,3616,0,0,365
15,36,3,3,7,0,27,371,73,1,0,948,393,61,188,0,1,1
19,2,5,2,92,1,44,337,152,3,1,903,368,143,354,0,2,7
6,220,9,2,562,27,116,396,609,31,31,919,408,677,1610,0,8,90
45,12,6,5,423,32,94,340,480,76,34,869,356,522,1254,0,10,14
28,33,5,6,678,10,125,325,791,11,9,800,336,883,2036,0,3,1
8,3,5,4,594,38,121,374,640,73,41,890,385,716,1703,0,0,1
5,3,5,1,160,0,52,338,202,1,0,900,351,198,513,0,1,14
37,29,6,4,254,26,66,305,314,27,27,801,312,335,838,0,7,1
11,23,6,6,87,23,43,339,151,25,23,908,371,141,351,0,4,1
33,8,4,3,934,17,131,157,963,54,21,462,124,1075,2423,0,0,1
20,25,3,1,359,0,81,273,397,1,0,748,297,437,1061,0,2,1
11,4,3,1,393,0,89,309,455,38,35,786,321,502,1198,0,0,7
16,30,6,1,2167,0,249,42,2173,1,0,118,3,1663,4740,0,0,1000
7,18,6,4,604,15,122,364,647,43,16,868,378,722,1720,0,2,1
6,9,6,10,1009,0,138,127,1041,19,7,311,52,1174,2684,0,5,14
34,59,6,10,877,0,131,190,925,4,3,546,174,1024,2314,0,8,7
29,8,6,3,106,12,45,335,160,18,16,919,363,154,389,0,4,1
4,2,4,1,640,0,123,348,716,19,18,824,359,800,1873,0,1,1
5,0,1,0,559,0,115,399,605,1,0,929,408,671,1597,0,0,1
8,25,5,1,586,40,120,381,631,76,44,896,390,709,1690,0,2,1
7,24,4,14,279,25,72,286,338,27,27,788,300,355,882,0,15,7
95,51,6,37,504,0,106,373,542,5,3,885,389,590,1410,0,15,90
30,48,5,9,877,2,131,184,925,11,4,542,173,1022,2310,0,10,14
15,10,6,3,704,19,125,305,812,23,21,764,320,909,2086,0,2,1
37,0,1,0,385,0,84,279,431,36,33,752,301,472,1128,0,0,1
22,45,4,5,335,0,79,277,384,24,5,746,294,411,1011,0,1,1
111,13,5,1,832,0,131,213,887,8,5,581,210,989,2230,0,3,7
20,189,3,25,882,2,131,186,925,9,2,538,169,1025,2315,0,15,90
53,11,9,5,271,0,71,291,334,1,0,799,302,347,867,0,11,7
82,29,5,2,160,51,52,338,204,93,61,895,351,201,518,0,2,7
3,12,2,2,958,0,131,136,971,2,1,420,98,1087,2458,0,0,1
4,0,3,0,381,0,84,282,427,41,23,751,301,470,1122,0,0,7
8,40,6,7,279,0,72,288,340,34,19,791,303,358,892,0,7,7
21,22,5,9,1057,0,141,102,1079,11,3,252,18,1202,2782,0,5,30
13,31,7,19,559,0,116,399,607,6,3,927,412,675,1603,0,12,90
5,21,3,8,482,0,103,365,530,27,27,879,380,574,1371,0,4,30
34,12,4,2,395,0,89,312,456,37,33,794,324,503,1203,0,1,30
6,30,5,7,1052,0,141,106,1074,2,1,251,21,1201,2778,0,7,14
11,3,4,2,714,0,126,295,817,55,35,747,307,918,2101,0,0,1
5,0,1,0,387,0,84,283,436,14,10,756,302,479,1140,0,0,1
7,6,4,1,837,0,131,208,888,41,19,580,205,992,2243,0,0,1
15,29,6,11,648,0,123,347,735,18,12,813,354,822,1923,0,7,7
17,13,6,4,936,11,131,155,963,45,9,457,122,1075,2426,0,2,14
20,0,2,0,664,0,125,334,777,7,6,807,347,867,2002,0,1,7
18,31,5,23,173,0,52,335,213,2,0,902,357,220,554,0,10,30
18,14,6,7,621,37,122,360,679,75,40,835,367,757,1791,0,5,1
7,18,5,4,936,11,131,155,963,44,9,456,122,1075,2426,0,3,1
8,17,5,5,297,0,77,289,357,37,19,762,300,373,933,0,3,7
14,5,7,3,570,39,117,390,621,77,44,898,400,693,1658,0,4,1
20,25,5,8,841,0,131,210,895,7,4,567,201,997,2252,0,9,14
6,0,3,0,578,0,119,386,630,6,0,903,398,706,1684,0,0,1
11,5,4,4,222,0,64,323,296,29,10,824,331,319,773,0,2,1
8,24,6,10,936,9,131,155,963,8,6,455,122,1075,2426,0,7,1
81,20,7,5,535,0,108,374,554,9,4,892,385,603,1447,0,1,7
9,3,5,3,33,43,38,357,120,90,51,939,386,104,268,0,0,1
86,7,3,1,141,0,47,322,172,5,0,923,345,168,433,0,1,1
6,4,4,1,592,12,121,376,640,15,15,891,387,716,1703,0,0,1
19,11,3,3,1041,0,138,103,1059,1,0,273,23,1190,2746,0,1,14
65,18,7,6,670,32,125,330,787,67,35,804,342,875,2020,0,6,7
10,3,3,1,1445,0,202,75,1455,1,0,141,9,1259,3642,0,0,14
19,51,5,11,160,11,52,338,204,15,16,892,351,202,520,0,11,30
19,20,6,27,1036,1,138,108,1057,1,0,279,28,1185,2736,0,14,180
6,18,4,4,498,23,104,368,540,29,27,896,383,587,1401,0,2,7
20,1,4,1,787,0,128,239,857,5,2,629,243,954,2160,0,0,1
15,21,7,5,589,5,121,378,633,15,9,893,390,710,1693,0,7,1
