@relation cloudstack

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

15,15,845,9,8,49,41,1
116,0,683,3,3,424,309,180
19,5,743,5,4,442,411,7
105,0,846,2,1,58,52,1
35,228,700,23,19,413,300,30
159,63,694,17,13,363,290,90
301,0,881,24,23,440,402,7
38,2,469,3,0,288,189,14
10,2,630,3,2,389,269,14
156,0,623,1,0,347,248,180
461,0,1065,10,8,77,69,1
65,0,873,19,17,441,399,1
65,181,689,9,8,412,309,7
60,1,682,8,4,361,272,90
26,0,1165,9,1,151,131,7
442,0,1467,1,0,23,14,90
8,0,650,2,1,384,262,30
70,6,650,13,12,362,267,7
51,1,660,10,4,359,263,7
21,0,1200,11,9,203,186,14
67,0,841,4,2,441,415,1
7,17,766,20,17,372,322,1
73,8,846,5,3,443,417,1
46,0,1197,33,32,200,183,1
113,0,234,2,0,157,66,1
36,49,644,22,18,367,246,7
13,0,650,2,1,381,259,90
14,18,1206,11,11,164,152,1
171,0,682,7,2,360,273,30
197,63,755,14,13,374,315,90
115,55,661,16,15,378,271,7
142,0,617,3,1,351,239,90
26,0,639,26,17,381,259,30
115,77,682,21,20,413,306,1
8,0,1221,5,4,224,204,1
149,20,631,10,8,361,241,1
67,0,1261,19,18,263,247,1
45,0,847,1,0,52,46,7
21,0,788,1,0,434,395,7
174,0,710,7,4,388,301,1
92,0,1183,1,0,184,172,90
39,0,686,6,3,415,299,180
75,0,1203,1,0,188,173,1
139,15,715,25,16,428,297,7
101,0,768,16,15,439,399,1
25,0,1278,4,0,26,19,30
119,5,642,6,5,366,265,90
39,8,689,9,6,416,300,14
41,56,660,17,15,380,270,1
33,0,759,1,0,454,415,180
10,18,938,6,1,431,399,7
4,82,806,14,14,446,414,14
33,19,1128,31,21,300,270,7
54,24,686,24,19,430,315,90
31,0,646,6,4,382,259,30
1,0,1202,1,0,111,102,1
41,0,697,7,5,420,299,14
15,0,1216,3,1,198,182,14
30,31,700,28,27,425,312,1
10,1,611,1,0,351,233,7
303,65,667,19,13,359,266,7
1,0,2257,1,0,3,1,1000
15,93,806,45,41,442,413,1
213,0,1160,1,0,89,83,1
40,0,1260,15,9,253,229,1
118,18,702,11,9,418,305,30
195,0,881,18,17,439,402,14
51,101,266,31,24,160,74,30
15,8,806,10,8,462,425,7
40,0,773,6,3,444,412,7
41,12,620,19,7,379,260,180
60,42,791,9,8,435,398,1
17,0,1260,45,44,254,229,1
11,61,961,20,20,407,382,1
21,49,644,23,18,368,246,7
10,11,1169,22,11,289,258,1
64,0,1257,43,42,250,227,1
42,7,639,17,10,377,259,30
70,23,678,22,19,430,310,90
84,0,1191,1,0,173,159,90
64,28,622,10,10,347,244,1
143,63,618,19,18,379,262,7
27,14,870,8,4,47,36,1
