@relation cocoon

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

54,0,0,1,0,1,0,7
171,0,928,1,0,160,0,1000
146,0,0,1,0,103,0,1000
104,0,674,7,2,52,19,1
103,0,1078,3,0,120,0,1000
424,0,896,1,0,161,0,1000
40,0,13,1,0,10,3,7
77,0,253,2,2,26,9,7
234,0,924,1,0,81,0,1000
107,0,1132,1,0,117,0,1000
84,0,607,1,0,63,28,1000
23,0,726,15,11,56,27,365
31,0,0,1,0,54,0,1000
67,0,0,1,0,116,0,1000
281,0,1059,1,0,101,0,1000
185,0,439,1,0,75,0,1000
107,0,626,3,0,47,17,1
79,0,988,6,0,113,0,1000
140,0,912,3,0,85,0,1000
21,0,0,4,0,73,0,1000
157,0,809,1,0,95,0,1000
136,0,254,1,0,71,0,180
66,0,1055,3,0,115,0,1000
135,0,0,4,0,112,0,1000
168,0,0,6,0,124,0,1000
76,0,727,1,0,86,0,1000
25,0,820,2,0,90,0,1000
301,0,528,1,0,83,0,1000
151,0,0,1,0,20,2,1000
32,0,959,1,0,102,0,1000
42,0,722,12,2,54,22,1
238,0,327,1,0,83,0,1000
19,0,422,10,0,78,22,90
59,0,223,2,0,68,0,1000
160,0,328,3,0,21,5,1
74,0,1059,3,0,99,0,1000
76,0,0,1,0,43,0,1000
102,0,809,2,0,85,0,1000
68,0,0,1,0,86,0,1000
48,0,0,1,0,103,0,1000
86,0,0,1,0,109,0,1000
77,0,504,1,0,103,0,1000
70,0,540,1,0,75,31,1
96,0,1021,1,0,107,0,1000
19,0,13,1,0,12,4,7
63,0,368,5,0,88,0,1000
96,0,0,1,0,103,0,1000
67,0,924,2,0,101,0,1000
66,0,420,6,0,91,0,1000
52,0,707,1,0,54,24,7
47,6,13,2,1,13,4,7
159,0,897,1,0,163,0,1000
49,0,0,3,0,111,0,1000
98,0,564,4,1,50,10,90
85,0,414,1,0,60,0,1000
89,0,804,3,2,51,24,30
99,0,1039,1,0,98,0,1000
161,0,973,1,0,165,0,1000
27,0,910,2,0,97,0,1000
67,0,0,1,0,102,0,1000
34,0,0,2,0,100,0,1000
58,0,356,1,0,86,0,1000
58,0,0,3,0,35,0,1000
155,0,920,3,0,84,0,1000
128,0,917,1,0,160,0,1000
64,0,1062,1,0,120,0,1000
44,0,0,1,0,84,0,1000
49,0,0,4,0,103,0,1000
23,0,0,4,0,125,0,1000
255,0,509,1,0,63,20,7
42,0,0,1,0,112,0,1000
81,0,265,14,4,107,11,90
28,0,955,6,0,150,0,1000
44,0,12,1,0,13,3,90
441,0,960,9,0,80,0,1000
16,0,552,1,0,104,0,365
176,0,0,1,0,102,0,1000
155,0,547,5,0,88,30,1
98,0,63,1,0,6,2,1
123,0,0,1,0,34,0,1000
245,0,922,9,0,160,0,1000
429,0,998,1,0,104,0,1000
91,0,892,2,0,95,0,1000
17,0,695,5,0,49,18,30
22,0,66,1,0,12,6,30
111,0,2,1,0,84,0,1000
29,0,247,2,0,66,0,1000
15,0,0,8,0,68,0,1000
390,0,583,2,0,54,16,365
50,0,0,11,0,127,0,1000
38,0,0,2,0,125,0,1000
39,0,254,1,0,69,0,1000
127,0,534,4,1,44,12,7
497,0,871,1,0,100,0,1000
42,0,1045,10,0,123,0,1000
86,0,0,2,0,33,0,1000
531,0,869,1,0,81,0,1000
113,0,0,3,0,61,0,1000
91,0,897,1,0,163,0,1000
64,0,298,1,0,57,0,1000
130,0,945,1,0,94,0,1000
221,0,0,2,0,106,0,1000
56,0,397,1,0,78,15,14
16,0,33,1,0,25,13,365
29,0,0,10,0,71,0,1000
61,0,537,5,2,62,24,365
76,0,1099,3,0,123,0,1000
33,0,456,5,0,82,0,1000
74,0,0,1,0,32,0,1000
54,0,964,5,0,163,0,1000
4,0,0,1,0,54,0,1000
44,0,0,1,0,6,1,1000
90,0,721,1,0,53,23,180
6,0,10,1,1,7,1,1000
25,0,60,3,0,25,7,30
68,0,0,1,0,44,0,1000
105,0,0,1,0,101,0,1000
144,0,2,4,0,84,0,1000
63,0,501,13,6,46,19,14
62,0,0,4,0,35,0,1000
79,0,939,2,0,169,0,1000
20,0,0,7,0,53,0,1000
605,0,349,1,0,82,0,1000
18,0,0,4,0,111,0,1000
164,0,904,1,0,162,0,1000
103,0,925,1,0,82,0,1000
189,0,0,1,0,104,0,1000
97,0,159,6,3,24,10,1000
159,0,13,3,0,12,4,7
15,0,0,3,0,107,0,1000
39,17,372,2,0,99,6,1000
20,0,366,1,0,84,0,1000
211,0,0,3,0,104,0,1000
102,0,0,1,0,19,0,1000
65,0,422,11,0,79,22,90
75,0,0,2,0,34,0,1000
128,0,966,2,0,102,0,1000
40,0,0,1,0,36,0,1000
68,0,337,1,0,82,0,1000
71,0,0,5,0,109,0,1000
369,0,571,1,0,79,0,1000
28,0,0,2,0,107,0,1000
49,0,926,1,0,169,0,1000
165,0,885,1,0,95,0,1000
39,0,1021,1,0,106,0,1000
84,0,364,1,0,81,0,1000
86,0,744,5,0,89,0,1000
192,0,345,1,0,85,12,180
29,0,955,6,0,101,0,1000
24,0,379,29,15,58,26,90
40,0,0,1,0,2,1,30
89,0,0,1,0,109,0,1000
33,0,0,2,0,108,0,1000
29,0,513,1,0,93,0,1000
