@relation combined

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

46,0,437,1,0,265,31,365
59,0,632,1,0,316,83,7
11,0,452,1,0,258,34,1
11,0,789,6,1,384,107,1
8,0,1058,1,0,434,171,1
33,0,972,1,0,377,81,1
6,1,1192,3,1,493,179,1
33,20,500,13,11,284,45,1
11,0,968,1,0,376,83,1
9,3,1316,8,3,530,153,1
10,10,1108,10,6,451,175,7
4,50,1018,22,20,425,161,1
21,0,544,3,1,296,74,7
11,0,571,2,0,245,17,7
7,0,1145,44,43,462,172,1
7,7,1127,16,7,456,177,1
4,2,824,3,1,389,78,1
20,0,1054,1,0,426,162,7
8,3,952,8,2,336,81,1
10,0,818,7,1,382,76,14
17,0,1312,5,2,487,134,1
17,0,562,11,10,313,77,1
6,0,1106,43,42,448,173,1
27,0,1042,2,0,428,163,1
10,14,1186,12,5,523,181,1
7,0,830,4,3,396,76,1
5,0,1269,1,0,521,152,1
15,1,733,3,0,436,80,30
26,4,440,2,1,272,32,1
20,0,938,1,0,410,126,7
8,62,1060,26,25,434,170,1
3,0,749,1,0,351,76,30
8,54,1037,24,23,435,168,1
6,2,753,3,0,356,75,30
10,0,813,2,1,393,120,7
31,0,590,1,1,287,40,7
18,1,705,1,0,343,85,1
6,62,1067,27,26,441,174,1
25,4,841,9,3,480,112,7
10,10,808,29,12,327,87,1
26,0,984,2,0,370,61,1
10,22,448,18,15,283,59,1
16,30,784,30,28,366,74,1
91,0,1212,1,0,522,152,1
5,16,1132,12,7,453,177,1
40,0,543,1,0,323,31,365
7,1,861,2,1,319,76,1
10,13,505,13,8,288,51,14
104,0,684,1,0,417,79,90
6,0,967,3,3,375,80,1
20,0,738,2,1,359,96,1
30,4,713,6,5,322,94,7
51,0,939,1,0,408,127,14
7,13,678,13,11,413,80,7
63,0,1031,1,0,550,136,7
77,0,1211,1,0,503,180,1
59,0,1312,1,0,487,134,7
17,11,959,8,5,387,70,365
6,3,688,8,6,392,77,30
7,0,636,2,0,323,78,90
9,9,1181,20,9,511,182,1
31,0,476,2,0,286,32,90
3,0,934,19,17,409,127,7
22,0,712,4,2,350,89,1
2,0,960,25,19,406,130,7
5,4,1117,10,4,451,174,1
19,1,430,4,1,273,33,7
20,0,972,34,33,549,141,1
18,0,1169,1,0,486,177,1
13,1,899,3,1,389,69,14
6,5,997,20,5,379,74,1
3,0,762,2,1,357,74,1
57,1,834,4,1,416,85,7
6,7,906,19,7,329,64,7
10,0,761,2,1,355,74,1
10,6,661,24,10,323,83,14
