@relation deeplearning

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

31,0,442,1,0,41,34,1
116,0,675,3,0,309,234,7
74,0,333,1,0,27,26,1
37,53,1105,72,71,366,337,365
13,0,604,1,0,288,222,1
47,53,968,27,23,326,287,1
29,0,441,13,10,403,305,1
5,0,495,1,0,362,285,1
60,0,448,16,12,408,308,1
8,0,655,4,3,271,212,1
6,143,469,61,54,254,199,1
1147,3,418,4,3,40,37,1
32,0,454,8,4,402,305,1
31,54,977,30,27,330,292,1
54,0,447,21,15,245,181,30
2,0,623,22,21,285,225,1
2,178,725,57,49,303,244,1
4,27,376,26,25,106,93,1
4,2,401,5,4,6,5,1
18,199,643,71,60,266,207,1
8,140,472,61,51,251,194,1
49,0,493,1,0,252,198,7
136,0,485,1,0,370,292,14
160,22,493,34,34,354,281,30
84,0,261,3,0,89,74,1
174,0,1024,1,0,328,297,1
16,253,738,33,32,296,240,30
83,124,1041,32,31,329,299,7
209,0,262,2,0,86,73,1
30,161,432,88,73,391,300,14
151,4,455,7,5,236,181,7
3,191,628,69,58,263,202,1
27,0,356,2,0,107,97,1000
42,0,508,11,9,273,209,1
78,146,486,65,56,246,193,7
56,0,695,5,4,300,242,1
132,0,505,2,1,250,197,7
559,0,448,1,0,251,192,14
52,4,616,10,7,256,199,90
2,0,626,21,18,285,218,1
37,0,300,1,0,105,95,1
57,8,369,17,11,127,111,7
76,0,396,1,0,34,29,14
20,31,604,50,49,287,221,1
13,29,277,8,6,94,85,1
81,0,674,1,0,298,238,365
2,0,640,9,8,325,255,1
12,153,284,10,6,92,83,7
10,0,338,5,1,29,23,1
2,0,542,2,1,358,272,1
7,156,513,70,60,253,199,1
26,0,1085,1,0,366,338,7
8,0,575,1,0,280,212,1
9,33,844,51,41,302,265,1
165,0,1040,1,0,349,306,180
7,290,493,44,42,175,156,1
157,0,381,1,0,67,52,14
2,1,631,4,3,333,259,1
6,158,257,15,10,84,74,1
6,155,652,70,56,313,244,1
2,151,511,62,53,265,211,1
134,0,336,1,0,1,0,7
14,9,1031,18,17,336,301,7
40,8,420,11,10,51,46,1
9,6,352,10,9,123,114,1
121,0,969,6,4,328,287,1
41,147,447,82,62,378,291,1
105,0,435,1,0,393,298,1
43,0,1099,1,0,369,342,90
70,0,1058,4,1,355,316,7
45,0,612,3,1,255,205,1
8,0,1052,1,0,369,328,1
22,6,352,11,9,124,114,14
27,0,790,1,0,287,257,90
434,0,454,2,0,236,181,1
15,245,417,34,33,154,134,1
141,0,350,4,3,122,112,1
139,0,657,2,0,297,226,14
35,1,263,1,0,104,91,1
51,1,462,1,0,254,196,1
24,4,607,8,5,258,207,1
55,0,441,1,0,40,34,7
54,0,857,3,1,302,255,7
5,168,1091,46,40,369,339,1
5,3,778,6,3,289,236,1
315,0,368,1,0,32,25,7
1,373,734,67,62,274,242,1
5,140,464,60,52,251,196,1
290,13,416,28,20,152,135,7
39,45,958,61,52,326,284,7
12,1,270,2,1,87,75,1
33,0,919,13,12,309,274,1
75,57,987,33,29,329,291,365
10,153,276,13,6,89,78,30
9,0,532,4,2,260,209,1
122,0,1059,1,0,356,320,1
391,0,631,1,0,278,215,90
27,11,404,23,18,147,131,90
4,147,1053,37,35,351,319,1
114,0,669,1,0,272,207,1
24,153,284,12,6,94,83,7
66,0,674,1,0,297,238,30
4,189,1107,43,41,369,336,1
57,0,1101,1,0,370,338,90
37,27,576,36,34,346,266,1
256,0,439,1,0,398,300,1
15,169,676,70,55,313,236,1
7,156,578,58,48,282,215,1
31,0,326,2,0,28,25,1
2,0,449,10,9,397,301,1
37,34,875,52,42,303,267,1
6,160,434,87,72,391,300,1
45,0,338,2,1,26,23,1
56,55,1060,79,67,355,315,1
