@relation hadoop

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

11,0,580,14,0,804,10,7
9,0,776,6,0,871,25,1
2,0,841,1,0,907,26,180
5,0,684,1,0,792,7,1
12,20,593,1,0,788,9,7
4,0,683,1,0,765,1,90
30,25,676,9,2,790,6,1
16,0,765,1,0,873,26,1
2,0,915,1,0,845,189,90
3,0,587,1,0,763,7,1
10,65,776,1,0,840,1,1
20,0,675,1,0,813,4,1
29,0,836,1,0,1016,144,1
13,25,659,4,0,791,4,1
55,15,560,1,0,670,15,7
7,0,922,1,0,1010,34,7
1,0,1424,1,0,1043,23,7
2,0,583,1,0,678,14,1
8,0,647,1,0,782,6,1
1,0,560,1,0,702,10,1
2,0,558,1,0,669,15,7
13,21,595,2,0,802,9,7
66,24,655,2,0,798,4,90
4,0,931,1,0,1055,38,1
1,0,595,1,0,736,5,1
12,0,1117,2,1,962,8,1
98,0,1002,1,0,1081,49,90
32,0,1418,1,0,1009,24,7
6,21,603,13,3,724,8,7
11,0,996,10,7,935,9,1
16,22,600,4,1,804,9,1
9,0,682,1,0,786,8,7
12,25,659,5,0,791,4,1
3,0,965,20,17,1091,22,180
6,16,590,2,1,710,11,1
1,33,773,1,0,860,25,1
7,0,559,1,0,676,14,1
12,0,1117,1,0,961,7,1
4,0,858,13,0,672,7,180
22,0,974,4,1,751,6,180
104,0,1104,2,0,937,96,1000
18,0,560,21,1,708,0,180
55,0,976,24,21,1089,30,365
31,0,0,7,0,323,19,365
56,0,1538,23,7,1196,78,180
25,0,0,17,1,388,60,1000
215,0,0,18,0,509,8,365
25,0,0,13,3,628,47,180
40,0,0,34,6,363,33,1000
41,0,806,3,0,828,131,180
36,0,0,2,0,578,56,30
104,0,0,5,0,591,25,365
65,0,554,15,0,691,0,180
41,0,0,8,0,41,0,1000
24,0,0,15,1,551,7,1000
26,0,775,93,1,805,4,90
237,0,984,1,0,747,7,90
13,0,568,27,0,645,0,1000
94,0,0,5,0,572,39,1000
27,0,804,15,30,828,134,180
39,0,1350,2,1,766,2,365
27,0,926,13,2,672,0,1000
101,0,1012,11,2,898,19,180
80,0,0,15,0,265,35,1000
28,0,982,12,0,881,8,1000
222,0,0,10,1,545,1,365
60,0,0,10,0,374,19,1000
34,0,670,5,0,572,0,1000
7,0,988,16,0,693,7,180
22,132,1139,27,0,865,5,1000
14,0,0,1,0,595,9,1000
55,0,966,4,0,698,7,180
62,0,604,40,0,557,0,1000
94,0,1139,12,1,919,7,180
166,0,0,10,1,348,37,1000
45,0,0,12,0,46,0,1000
399,0,610,10,0,697,3,365
58,0,0,5,0,36,0,1000
90,6,654,8,22,796,4,180
163,0,0,12,0,61,0,1000
85,0,0,26,2,538,1,1000
18,0,818,32,0,668,0,365
201,0,0,1,1,360,20,1000
13,0,786,1,0,669,0,365
124,0,0,26,1,330,32,90
69,0,1406,50,41,1115,174,90
158,0,1290,19,0,751,23,180
34,0,1086,19,0,910,22,1000
44,0,748,14,0,538,1,365
56,0,1256,43,2,1063,45,30
109,0,802,4,0,585,3,365
37,0,1326,24,2,1035,111,1000
158,0,0,26,1,565,43,1000
19,0,0,5,1,356,22,90
13,0,887,25,6,720,6,180
41,0,786,17,219,665,0,1000
22,0,0,32,1,411,50,1000
50,0,0,31,5,313,18,1000
72,0,1118,23,2,799,33,1000
42,0,890,1,0,636,5,1000
30,0,1004,1,0,780,8,365
30,0,754,23,0,545,3,180
50,0,0,12,0,630,50,365
43,88,1094,20,3,742,6,90
45,0,1142,5,0,754,13,1000
54,0,0,6,0,567,46,1000
25,0,970,19,2,705,40,1000
24,0,0,20,1,480,55,1000
55,0,0,2,0,279,6,14
53,0,1464,130,6,1170,24,1000
30,0,1248,77,13,1062,45,1000
43,0,0,4,0,358,33,90
26,6,611,17,23,727,22,90
31,0,1296,11,1,745,58,365
12,0,610,9,1,676,0,1000
160,0,0,13,1,368,40,1000
108,0,1124,111,2,967,0,180
60,0,1116,76,11,954,0,1000
47,0,0,15,3,551,6,180
29,0,1514,25,5,1191,81,180
18,0,0,3,0,573,9,180
97,0,1334,4,2,1110,257,180
44,0,546,12,0,676,0,180
7,0,376,6,0,591,4,1000
47,0,1324,16,0,1056,53,180
26,0,1132,19,0,941,80,1000
97,0,0,2,0,311,23,90
52,0,0,10,4,567,50,365
48,0,0,24,1,552,59,1000
15,0,1550,1,0,823,130,90
60,0,498,25,5,595,0,1000
46,0,0,1,0,286,28,1000
27,0,1222,19,13,806,51,180
31,0,1094,99,2,957,0,365
97,0,0,6,1,269,29,90
33,0,1137,45,1,861,5,1000
37,0,1260,78,47,988,75,1000
35,0,788,7,0,863,9,90
14,0,630,19,0,584,0,90
30,186,1580,44,2,827,129,1000
25,0,0,13,0,561,11,1000
51,0,940,4,0,745,2,1000
243,0,0,6,1,230,37,1000
36,0,1322,9,0,777,12,365
318,0,0,4,0,80,0,180
135,0,1238,52,27,960,64,90
41,0,1266,1,0,735,23,180
42,0,1422,69,0,1139,103,90
38,0,624,24,6,725,3,90
24,0,492,11,0,422,0,365
4,0,949,34,12,1076,6,7
153,0,1357,2,0,895,1,1000
13,0,586,13,18,696,13,90
23,0,0,17,0,74,0,1000
36,0,1538,34,4,1189,56,1000
69,0,0,43,13,288,55,1000
40,0,0,10,0,497,8,365
50,0,767,24,2,805,4,90
159,0,0,12,2,587,7,180
42,0,0,11,1,322,21,1000
155,0,1102,9,0,688,0,1000
48,20,1178,19,5,743,1,90
20,0,883,18,0,760,7,180
129,0,1066,73,24,929,87,1000
46,0,753,9,20,809,11,90
71,0,612,5,0,679,0,1000
23,0,816,3,0,669,0,365
99,0,1292,4,0,801,28,180
65,0,1140,8,0,928,26,180
97,0,458,2,0,339,2,365
36,0,901,10,0,840,6,180
40,0,1322,2,0,1110,254,180
32,0,1042,9,3,987,6,90
35,0,1474,30,4,776,35,180
25,0,1180,24,0,960,29,1000
260,0,0,6,1,366,21,1000
121,0,0,8,5,512,5,90
54,0,625,2,0,705,30,90
17,0,1406,26,51,1119,180,1000
41,44,1436,17,4,766,46,30
33,0,1212,13,10,741,25,90
14,0,1274,17,14,742,24,1000
33,0,934,8,0,693,0,365
25,0,0,1,0,94,0,1000
38,0,0,6,0,90,0,1000
51,0,0,13,4,397,58,1000
107,0,1348,18,0,1109,216,180
105,0,0,9,1,254,40,1000
106,0,911,1,0,857,6,180
86,0,909,4,0,832,7,180
10,0,746,23,0,536,1,180
36,0,596,13,0,614,0,365
67,0,0,24,2,640,34,365
106,0,648,1,0,580,0,365
40,0,0,31,4,435,50,90
40,0,0,25,0,537,37,1000
39,0,1144,22,2,1040,45,1000
59,0,907,3,0,834,7,180
39,0,658,3,0,625,0,365
229,0,1412,112,6,1136,103,365
41,0,0,16,1,643,16,180
27,0,1380,38,21,1037,12,180
38,0,654,42,0,601,0,365
20,0,692,8,6,630,1,1000
45,0,962,4,0,869,2,365
23,0,624,1,0,628,2,1000
119,0,0,1,0,505,8,1000
95,0,0,6,2,356,28,90
77,0,924,19,2,709,0,1000
15,0,942,43,0,754,2,1000
41,0,0,43,17,625,52,365
23,0,957,28,10,1084,15,365
90,0,0,8,3,360,33,1000
24,0,556,10,0,717,0,1000
28,0,0,12,1,602,3,180
164,0,783,29,0,854,2,30
78,0,762,14,5,574,3,365
89,0,1140,1,0,751,13,90
24,0,953,35,10,892,9,180
7,0,1130,29,2,1030,45,1000
13,0,1154,1,0,748,4,90
37,0,1237,1,0,970,7,365
26,0,1134,22,6,743,15,1000
68,0,916,9,29,841,190,180
114,0,0,3,0,550,9,1000
130,0,1164,3,0,767,27,1000
177,0,0,6,0,533,39,1000
33,0,0,15,9,227,48,1000
54,0,926,8,2,694,0,365
32,0,887,98,2,697,4,180
48,0,1354,1,0,1102,10,1000
16,0,1038,9,3,985,6,1000
54,0,0,5,0,615,23,1000
35,0,1004,4,0,877,10,365
65,0,1217,32,1,884,3,90
58,0,928,23,0,696,48,1000
202,0,0,9,3,287,54,90
55,0,828,34,8,833,142,180
68,0,0,10,0,372,19,1000
155,0,1132,1,0,834,8,180
84,0,0,29,1,395,52,1000
48,0,0,2,0,347,38,180
161,0,0,36,11,569,47,90
192,0,0,4,1,250,33,1000
46,0,0,32,0,597,4,180
98,0,1114,9,0,1016,45,1000
91,0,0,16,6,563,6,180
57,0,957,13,9,1089,15,14
207,0,1334,8,1,788,5,1000
234,0,0,3,0,365,38,1000
50,0,1116,22,1,980,0,365
46,0,1244,7,5,982,61,1000
