@relation kafka

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

21,2,105,3,1,247,20,365
14,4,325,11,4,925,348,7
5,19,386,57,21,896,396,1
11,0,103,1,0,268,21,30
36,33,340,82,39,925,371,7
16,42,399,78,47,927,409,30
6,27,341,31,31,867,357,1
6,0,348,20,19,824,359,1
1,0,325,1,0,847,335,90
23,0,281,14,6,752,301,7
8,10,121,1,0,293,41,90
9,0,353,22,21,829,364,1
7,35,278,62,43,771,302,1
19,3,316,12,6,802,330,1
8,31,358,70,33,895,377,7
28,0,146,12,7,402,88,30
19,27,307,28,28,805,314,7
7,1,299,2,1,775,314,30
20,0,300,38,36,771,314,7
7,0,371,1,0,960,393,7
4,19,163,56,23,482,129,1
1,0,364,1,0,860,374,90
37,0,353,8,4,887,369,30
6,0,161,36,16,477,128,7
13,22,276,27,25,746,293,1
51,42,305,76,50,802,312,1
91,0,145,6,3,416,97,30
15,8,315,11,9,801,328,14
11,0,292,11,6,763,305,7
25,0,270,12,10,743,292,90
23,35,279,57,43,757,302,7
17,0,190,22,2,559,179,1
8,0,104,13,3,248,20,365
16,28,371,66,30,888,388,7
20,0,354,10,9,941,384,7
5,0,343,54,32,864,357,1
40,11,150,43,9,446,116,30
16,32,350,71,34,886,368,7
5,0,332,2,0,904,363,1
8,0,153,33,15,454,119,1
8,18,344,23,19,918,379,7
12,16,381,20,18,908,397,7
27,0,73,2,0,138,11,365
15,0,371,1,0,948,393,1
19,1,337,3,1,903,368,7
6,27,396,31,31,919,408,90
45,32,340,76,34,869,356,14
28,10,325,11,9,800,336,1
8,38,374,73,41,890,385,1
5,0,338,1,0,900,351,14
37,26,305,27,27,801,312,1
11,23,339,25,23,908,371,1
33,17,157,54,21,462,124,1
20,0,273,1,0,748,297,1
11,0,309,38,35,786,321,7
16,0,42,1,0,118,3,1000
7,15,364,43,16,868,378,1
6,0,127,19,7,311,52,14
34,0,190,4,3,546,174,7
29,12,335,18,16,919,363,1
4,0,348,19,18,824,359,1
5,0,399,1,0,929,408,1
8,40,381,76,44,896,390,1
7,25,286,27,27,788,300,7
95,0,373,5,3,885,389,90
30,2,184,11,4,542,173,14
15,19,305,23,21,764,320,1
37,0,279,36,33,752,301,1
22,0,277,24,5,746,294,1
111,0,213,8,5,581,210,7
20,2,186,9,2,538,169,90
53,0,291,1,0,799,302,7
82,51,338,93,61,895,351,7
3,0,136,2,1,420,98,1
4,0,282,41,23,751,301,7
8,0,288,34,19,791,303,7
21,0,102,11,3,252,18,30
13,0,399,6,3,927,412,90
5,0,365,27,27,879,380,30
34,0,312,37,33,794,324,30
6,0,106,2,1,251,21,14
11,0,295,55,35,747,307,1
5,0,283,14,10,756,302,1
7,0,208,41,19,580,205,1
15,0,347,18,12,813,354,7
17,11,155,45,9,457,122,14
20,0,334,7,6,807,347,7
18,0,335,2,0,902,357,30
18,37,360,75,40,835,367,1
7,11,155,44,9,456,122,1
8,0,289,37,19,762,300,7
14,39,390,77,44,898,400,1
20,0,210,7,4,567,201,14
6,0,386,6,0,903,398,1
11,0,323,29,10,824,331,1
8,9,155,8,6,455,122,1
81,0,374,9,4,892,385,7
9,43,357,90,51,939,386,1
86,0,322,5,0,923,345,1
6,12,376,15,15,891,387,1
19,0,103,1,0,273,23,14
65,32,330,67,35,804,342,7
10,0,75,1,0,141,9,14
19,11,338,15,16,892,351,30
19,1,108,1,0,279,28,180
6,23,368,29,27,896,383,7
20,0,239,5,2,629,243,1
15,5,378,15,9,893,390,1
65,0,140,5,1,433,106,30
10,0,288,36,36,792,303,1
11,9,171,10,8,509,152,1
6,24,365,29,28,883,381,7
210,0,164,7,0,491,132,14
8,0,347,62,40,819,355,14
13,32,337,79,34,871,357,1
44,0,281,3,2,773,305,1
43,0,133,1,0,337,61,14
33,0,146,5,1,393,84,1
22,27,302,60,29,758,315,1
8,0,354,66,39,924,386,7
28,0,111,4,0,285,29,14
6,15,257,21,17,667,262,7
3,0,136,1,0,419,97,1
35,0,340,1,0,907,358,7
37,5,313,10,8,795,325,90
11,0,268,46,28,677,272,1
40,0,355,4,1,884,371,14
10,11,328,16,11,916,354,1
61,1,270,3,1,744,297,30
6,0,123,1,0,205,16,1
6,8,133,28,4,341,61,7
41,0,276,1,0,751,296,7
9,0,68,1,0,147,11,7
10,6,325,18,7,845,335,14
27,8,103,25,9,274,23,180
36,0,324,2,1,831,331,7
68,3,119,4,1,266,9,1
2,0,136,4,3,422,100,90
8,0,347,30,10,815,354,1
6,0,205,38,18,583,196,7
17,24,178,64,28,522,161,1
10,0,120,1,0,262,9,1
5,1,361,10,3,941,391,1
16,15,260,17,16,674,265,1
7,0,147,29,12,446,113,1
45,3,374,3,3,890,391,7
7,23,350,26,25,827,361,1
8,0,256,42,25,656,260,1
16,1,357,4,1,830,364,7
7,25,288,27,27,772,301,1
12,33,273,56,41,752,296,1
10,28,369,28,29,945,396,1
8,32,338,77,34,868,355,7
8,28,329,30,29,916,348,1
4,0,71,1,0,142,9,1000
6,0,349,21,19,826,360,1
10,18,280,22,20,701,285,1
6,0,395,2,0,925,407,7
39,9,154,7,6,456,120,7
6,0,360,67,42,854,370,7
9,16,175,53,15,519,158,1
20,42,353,86,50,922,385,1
6,5,260,20,9,675,265,1
21,1,366,5,3,894,384,7
15,0,226,16,8,595,227,1
15,33,310,70,36,793,323,1
7,0,277,36,21,747,294,1
10,0,102,8,2,244,15,7
23,0,378,38,18,895,390,1
16,2,311,26,1,813,318,1
17,25,212,66,27,580,209,1
7,0,365,70,43,861,375,1
9,3,286,9,3,766,298,90
21,0,273,39,37,755,297,1
11,32,336,69,35,817,349,1
26,0,270,13,9,689,275,1
11,2,338,4,3,904,351,7
11,1,330,2,1,918,354,1
11,47,295,86,47,741,306,1
8,17,292,20,19,728,301,1
8,0,165,14,9,487,132,30
85,4,347,16,8,878,363,14
8,2,147,4,2,395,84,180
30,15,360,37,16,846,370,90
8,0,338,60,34,893,367,1
35,0,229,17,8,600,229,1
13,39,372,68,46,894,384,14
11,35,270,71,36,687,275,1
15,43,309,80,51,801,314,7
13,34,288,64,41,756,299,1
19,37,287,70,44,795,303,7
25,0,164,2,0,493,132,14
9,0,330,47,25,868,343,7
8,5,127,26,2,312,52,1
5,5,104,18,6,239,14,1
7,26,381,29,29,901,394,7
27,0,336,17,13,905,370,7
8,0,348,65,38,922,383,1
10,0,371,66,41,889,388,7
27,1,392,8,2,929,406,7
6,2,329,8,3,916,348,14
9,12,177,10,8,524,162,7
5,6,186,19,4,539,169,14
17,0,273,15,6,747,293,90
7,8,375,12,11,896,386,1
9,0,276,39,39,759,300,1
63,0,354,1,0,829,364,1
8,0,240,2,0,615,241,180
14,49,356,87,51,836,364,1
118,0,294,14,13,736,305,1
8,31,309,66,37,807,314,1
41,44,357,92,52,943,390,1
11,48,329,89,58,865,342,7
13,32,337,78,34,870,357,1
7,5,176,13,3,522,161,1
28,0,293,1,0,789,307,7
2,21,319,24,24,787,329,7
41,0,328,13,9,911,347,30
161,0,149,4,1,417,93,30
7,10,148,42,8,397,87,30
8,32,349,73,34,875,363,7
69,48,304,88,48,760,317,1
6,4,240,17,8,622,239,30
26,25,245,52,26,637,249,1
26,12,202,14,9,579,193,1
73,0,61,1,0,114,19,14
37,4,325,9,4,924,348,7
6,34,374,61,39,889,382,1
54,0,338,4,3,894,351,30
2,5,123,25,1,306,46,1
6,1,347,5,3,811,355,1
10,0,233,18,10,607,233,1
48,0,147,1,0,397,84,180
8,0,370,1,0,891,386,1
32,0,306,35,15,771,321,1
11,23,375,29,27,895,386,7
7,0,355,1,0,828,364,1
6,32,335,79,38,918,363,1
5,9,219,11,9,587,217,1
13,0,145,3,0,417,97,14
26,8,330,11,8,915,348,14
8,0,60,1,0,144,10,1
9,0,233,3,1,609,234,1
10,0,246,39,23,640,251,1
30,0,184,5,4,547,174,1
9,18,337,21,18,898,367,1
49,0,117,10,2,296,37,7
11,15,337,19,15,909,371,1
12,0,366,1,0,862,376,7
17,0,273,1,0,744,295,30
78,0,399,1,0,929,408,7
5,0,314,41,22,808,319,1
7,15,257,20,17,660,261,1
8,0,332,41,39,878,345,1
48,5,368,5,5,892,383,1
8,0,338,1,0,898,371,1
6,5,314,14,6,809,319,1
9,0,336,1,0,892,364,7
6,0,110,15,5,282,29,7
8,17,371,48,18,883,381,7
20,0,325,18,16,795,336,1
26,17,384,53,19,900,394,1
32,49,343,94,58,896,357,1
8,0,339,40,19,820,352,1
30,9,192,14,11,558,181,90
13,8,329,12,8,912,348,1
21,0,366,24,23,867,377,1
17,6,305,12,11,804,312,1
51,0,58,2,0,115,19,1
15,0,329,1,0,864,342,7
7,27,374,70,29,894,390,1
6,5,161,7,4,480,128,1
61,6,107,19,7,244,15,365
25,0,102,1,0,260,10,90
38,0,204,16,7,579,195,365
7,0,102,1,0,267,21,14
7,0,340,55,32,870,356,1
7,0,309,37,20,806,316,1
7,41,282,78,42,707,290,1
49,41,308,67,49,779,319,7
13,41,344,83,49,915,379,7
7,13,146,45,17,392,82,1
