@relation node

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

147,0,487,1,0,943,666,30
55,0,690,1,0,1389,1059,30
178,3,649,15,10,1387,1048,1
675,53,492,80,77,1075,728,7
50,0,686,4,2,1399,1069,7
111,6,459,12,9,750,587,14
21,59,569,78,70,1439,1050,7
38,78,589,108,103,1332,977,7
84,0,639,1,0,1365,1037,1
105,7,558,9,8,906,715,7
6,89,601,150,122,1361,1000,7
57,6,568,18,11,1238,891,7
41,10,481,13,12,1026,705,7
3,13,573,26,23,1287,953,1
35,0,774,5,4,1525,1196,1
19,2,464,13,11,792,571,1
35,0,601,1,0,1349,998,14
128,0,255,2,0,93,41,90
193,2,770,3,2,1521,1192,30
335,0,539,2,1,1349,969,180
80,10,773,11,12,1533,1213,7
47,0,776,1,0,1495,1182,7
12,22,676,29,25,1052,860,90
66,6,423,5,3,681,475,7
273,5,518,8,5,673,532,365
52,35,616,41,30,1439,1065,180
133,4,694,6,5,1402,1075,7
24,0,589,4,0,1308,972,30
34,42,488,62,51,1045,715,1
37,56,258,3,2,102,47,90
59,0,688,1,0,1075,881,1
61,22,471,16,21,899,633,1
34,16,685,37,35,1417,1070,7
88,9,507,11,9,828,644,7
49,51,490,66,59,790,623,7
158,0,781,1,0,1480,1168,1
42,0,612,2,1,1422,1055,1
21,0,487,1,0,805,589,1
13,11,638,21,13,1359,1017,7
151,0,604,1,0,1377,1001,1
42,0,465,3,1,781,560,1
53,32,516,45,43,1126,780,7
8,9,527,11,4,707,575,1
18,0,556,1,0,1375,999,1
36,9,459,12,11,871,604,1
53,137,689,186,167,1409,1071,7
47,87,506,60,61,815,638,30
18,1,580,8,6,855,699,7
6,0,543,1,0,1356,979,1
74,27,575,52,51,1349,990,30
247,0,587,1,0,1404,1036,1
61,17,646,25,20,1409,1054,90
80,20,754,10,13,1498,1179,7
212,0,430,1,0,705,486,90
8,5,481,5,4,584,453,1
87,0,684,1,0,1401,1068,30
16,56,614,71,69,1432,1068,1
179,0,765,2,0,1492,1175,7
48,39,423,29,32,678,480,1
132,0,416,1,0,703,538,90
6,127,631,180,165,1379,1065,7
8,15,552,21,14,892,696,30
150,0,585,3,0,1312,959,1
155,0,622,1,0,993,792,365
77,0,552,1,0,893,697,7
48,4,637,20,15,1365,1024,7
16,9,645,19,11,1402,1053,7
52,12,576,35,23,1375,1012,14
28,0,587,1,0,1409,1038,7
20,89,593,133,122,1323,982,7
156,0,632,2,0,1381,1025,1
88,0,561,1,1,915,714,1
41,0,581,1,0,1327,958,30
156,9,621,11,10,982,795,7
163,0,645,6,4,1395,1049,14
16,9,596,17,13,919,737,7
251,2,474,5,3,806,630,90
63,53,530,72,66,857,678,90
81,83,511,62,59,836,653,1
160,0,727,1,0,1487,1169,7
142,0,291,3,1,126,68,14
167,0,690,4,0,1434,1078,90
151,0,515,1,0,1103,770,1
