@relation ofbiz

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

56,0,275,47,10,108,34,1000
289,0,1191,4,1,363,207,1000
40,0,1402,9,5,371,245,1
1485,0,777,2,0,180,112,1
24,0,781,4,9,201,112,1000
392,0,716,1,0,288,122,14
51,0,1374,4,1,301,165,1000
14,0,1232,3,1,234,148,365
141,0,894,2,1,249,136,90
25,0,1115,24,16,264,178,7
48,0,1165,2,1,344,204,30
56,0,525,17,10,176,83,1
103,0,929,1,0,149,82,1000
73,0,375,5,2,148,32,90
55,0,276,2,7,97,26,7
76,0,1321,33,27,265,128,7
45,0,302,10,11,269,107,7
97,0,744,6,6,286,120,1
138,0,424,1,0,97,50,14
109,0,994,15,17,263,155,90
34,0,887,10,15,229,151,14
12,0,1244,9,3,242,146,365
7,0,304,89,58,239,100,90
50,0,278,7,0,170,81,1
53,0,1117,1,1,195,87,1000
42,0,1190,4,0,310,178,180
14,0,1386,30,25,371,242,1
116,0,1168,16,12,186,117,30
34,0,721,2,1,310,144,1000
19,0,1251,17,12,428,244,7
22,0,1184,10,6,192,120,7
4,0,1129,1,1,241,118,1000
226,0,746,2,1,297,160,365
91,0,804,6,3,166,87,90
31,0,774,1,0,199,85,1000
40,0,656,1,1,123,73,14
31,0,1189,2,0,273,151,1
32,0,679,2,1,172,88,7
140,0,704,5,2,268,104,1000
6,0,310,6,18,255,104,1
220,0,1185,4,4,379,206,90
76,0,663,5,0,254,129,90
200,0,461,2,0,181,89,1000
125,0,913,19,14,124,59,1000
27,0,1270,7,5,329,213,7
20,0,961,1,1,280,149,1
96,0,538,4,3,126,61,1000
90,0,920,26,9,274,160,14
93,0,181,18,14,170,75,90
11,0,1164,1,0,157,101,1
33,0,875,6,0,223,144,1
9,0,972,20,19,198,118,1
110,0,562,21,17,238,105,90
56,0,769,13,7,204,85,1
81,0,699,28,20,258,130,1000
7,0,1233,1,0,242,148,1
3,0,1162,18,3,328,197,30
46,0,1154,3,2,343,198,30
159,0,487,2,1,176,96,1
32,0,744,1,0,318,155,7
47,0,173,2,1,158,65,7
18,0,176,8,7,84,33,1000
22,0,327,5,4,104,58,1
121,0,630,1,0,253,138,30
188,0,600,1,0,258,136,180
86,0,899,3,2,123,81,1000
112,0,276,43,8,110,34,1
16,0,906,1,5,216,126,30
86,0,1490,11,8,390,259,90
27,0,175,3,1,148,56,30
64,0,339,14,8,89,37,1
166,0,1137,19,15,121,71,90
37,0,700,23,8,272,105,1000
54,0,809,5,2,212,115,1
43,0,1161,1,0,278,149,1000
68,0,1175,6,4,346,196,1000
52,0,1188,2,1,406,226,30
25,0,303,101,54,262,109,365
43,0,1188,3,2,317,221,7
242,0,892,1,2,263,160,90
36,0,150,3,1,84,30,7
32,0,303,108,54,271,107,365
42,0,1213,23,13,203,128,90
34,0,161,4,0,96,35,365
101,0,97,1,0,67,30,30
66,0,958,2,2,283,152,14
54,0,556,11,19,117,68,7
72,0,208,1,0,124,62,7
37,0,1188,4,3,384,209,30
