@relation qpid

@attribute issuecleanedbodylen numeric
@attribute ncommitsbycreator numeric
@attribute ncommitsinproject numeric
@attribute nissuesbycreator numeric
@attribute nissuesbycreatorclosed numeric
@attribute nissuescreatedinproject numeric
@attribute nissuescreatedinprojectclosed numeric
@attribute timeopen {1,7,14,30,90,180,365,1000}

@data

66,0,695,5,1,341,15,1
52,0,699,6,1,184,4,1000
86,0,532,6,0,318,18,1000
30,0,592,12,0,75,1,365
16,0,833,27,0,207,7,1000
9,0,575,7,3,233,9,1000
75,0,755,17,30,297,29,365
77,0,675,25,1,338,8,90
37,0,901,8,0,217,9,1000
30,0,691,15,1,194,9,1000
50,0,674,22,8,330,39,180
76,0,581,7,2,56,1,1000
27,0,603,30,4,328,6,365
197,0,528,6,3,296,10,7
24,0,621,56,141,149,6,1000
202,0,763,7,1,308,33,180
54,0,1203,64,63,364,108,180
29,0,674,13,0,90,1,1
62,0,723,19,5,335,11,7
22,0,603,7,1,321,5,1000
100,0,636,1,0,176,27,1000
40,0,672,19,0,300,7,90
22,0,473,29,15,111,29,180
65,0,637,12,0,238,8,1000
20,0,935,53,0,246,2,1000
46,0,276,1,0,83,6,1000
50,0,904,18,2,227,14,1000
73,0,559,27,0,168,34,1000
52,0,1329,17,159,269,21,1
54,0,537,2,0,88,25,1000
39,0,506,4,0,187,31,1000
246,0,601,4,1,311,5,90
244,0,734,22,3,302,17,14
10,0,661,56,239,331,47,180
26,0,574,10,1,199,8,1000
54,0,663,69,20,350,82,1
198,0,674,2,0,339,8,1000
193,0,706,24,16,338,34,90
18,0,896,21,3,265,11,90
148,0,1389,22,86,282,26,30
34,0,709,15,0,344,10,365
67,0,598,1,0,328,6,7
23,0,684,10,2,371,9,1000
91,0,635,16,3,285,23,7
52,0,676,34,10,266,14,365
44,0,717,4,2,191,2,1000
97,0,571,41,50,304,8,1000
52,0,770,17,0,221,5,1000
197,0,886,1,0,214,14,1000
61,0,487,16,0,297,21,1000
29,0,611,5,2,77,1,1000
46,0,690,10,0,280,7,1000
54,0,938,16,0,242,2,1000
26,0,1105,18,2,273,12,1000
72,0,1276,1,0,279,82,180
84,0,533,1,1,321,96,1
88,0,579,64,23,342,89,90
195,0,95,6,0,25,1,1000
58,0,532,17,0,315,19,180
56,0,827,81,2,252,8,1000
35,0,878,18,3,266,14,90
64,0,676,27,1,319,7,90
39,0,636,16,0,256,9,180
159,0,368,1,0,138,6,180
95,0,699,49,3,195,3,1000
246,0,808,26,0,228,6,1000
36,0,555,25,1,222,8,1
9,0,678,10,0,82,1,365
16,0,641,5,7,318,54,180
144,0,694,1,0,192,6,30
83,0,528,5,4,290,13,180
102,0,691,11,0,188,1,1000
267,0,607,3,0,328,5,180
41,0,727,10,0,340,9,365
67,0,763,3,0,308,31,180
10,0,752,16,17,303,31,1000
142,0,545,14,0,304,10,180
7,0,682,6,1,267,14,365
48,0,722,21,6,296,18,7
120,0,963,53,2,358,27,365
30,0,487,6,0,277,23,1000
194,0,472,3,0,290,19,1000
5,0,532,2,0,300,11,1000
76,0,677,1,0,164,6,365
59,0,617,11,0,165,5,1000
41,0,533,12,1,280,18,180
66,0,648,1,0,304,9,1000
55,0,742,18,0,334,12,1000
30,0,666,1,0,181,20,1000
54,0,785,20,0,219,7,1000
43,0,609,32,4,308,5,90
109,0,640,18,0,300,9,1000
29,0,477,19,11,97,28,1
38,0,465,49,4,171,29,1000
93,0,1105,8,4,316,37,1
35,0,525,2,0,283,11,1000
111,0,345,8,0,197,12,90
89,0,715,50,1,291,22,180
20,0,546,9,0,215,32,90
21,0,330,14,0,195,11,1000
80,0,1098,31,0,260,13,1000
111,0,583,5,0,188,10,1000
39,0,914,17,0,189,4,1000
93,0,708,16,3,335,34,365
38,0,594,6,1,303,56,180
162,0,604,15,2,338,19,365
30,0,365,1,0,188,5,1000
60,0,787,21,0,218,4,1000
118,0,814,7,2,122,3,1000
46,0,499,11,0,264,21,365
55,0,489,14,36,329,91,1
25,0,912,11,5,338,28,1000
15,0,151,5,1,47,1,90
70,0,578,3,0,194,6,1000
87,0,686,12,4,189,1,180
188,0,489,75,36,318,97,7
35,0,265,6,0,149,7,1000
76,0,901,11,0,217,9,1000
95,0,252,1,0,162,1,14
61,0,1217,61,54,363,105,180
48,0,803,12,4,306,28,90
90,0,772,16,15,308,32,180
176,0,771,14,11,307,31,30
129,0,452,2,0,119,15,1000
18,0,521,6,0,241,18,1000
20,0,685,75,59,316,16,180
131,0,637,14,1,272,10,1000
62,0,905,28,3,192,4,1000
165,0,635,18,3,343,11,1000
121,0,343,5,0,98,5,365
56,0,632,15,0,154,5,1000
207,0,498,8,2,301,20,365
115,0,669,38,142,176,27,1000
53,0,408,36,6,207,5,1000
170,0,1070,11,1,353,127,1000
22,0,1147,62,6,277,12,1000
60,0,761,1,0,299,30,180
19,0,703,55,0,193,1,1
49,0,927,2,0,149,5,1000
23,0,396,3,7,149,8,1000
50,0,1087,12,2,259,12,1
52,0,496,29,12,286,21,1000
155,0,306,8,0,107,4,30
28,0,531,15,3,328,84,90
63,0,344,32,1,93,6,1000
49,0,606,28,0,79,1,1000
86,0,715,31,10,253,20,365
17,0,797,10,0,182,15,1000
232,0,664,1,0,183,6,180
210,0,343,1,0,197,7,90
34,0,739,23,31,302,49,180
41,0,678,11,0,176,4,7
137,0,653,3,0,205,7,1000
137,0,639,12,1,258,9,180
148,0,440,10,0,158,21,1000
84,0,95,1,0,17,1,30
27,0,848,38,0,224,9,1000
107,0,504,13,19,132,31,1000
4,0,402,35,1,89,3,1
162,0,639,1,0,260,9,1000
65,0,381,6,0,188,5,90
187,0,442,6,0,204,7,1000
7,0,1115,7,1,320,36,365
73,0,1216,58,54,363,113,180
41,0,915,25,3,264,15,90
91,0,671,7,1,298,25,180
27,0,1157,8,0,279,12,90
40,0,587,47,1,153,2,1000
209,0,722,21,0,363,10,1000
11,0,652,65,58,310,27,180
241,0,525,18,2,236,17,1000
16,0,668,66,58,312,28,180
68,0,689,37,2,305,7,90
115,0,779,2,0,416,36,7
10,0,574,19,36,305,6,365
766,0,1136,25,1,270,12,365
19,0,577,51,1,155,2,1000
34,0,562,1,0,177,8,1000
241,0,646,18,3,287,11,180
34,0,1276,18,83,267,19,30
15,0,822,20,30,308,27,90
75,0,285,2,0,161,7,1000
8,0,497,9,40,337,90,14
33,0,794,15,0,206,6,1000
33,0,794,29,0,235,7,1000
103,0,800,22,0,192,4,1000
11,0,491,21,0,298,20,1000
137,0,973,61,6,361,23,180
