This file contains summary statistics (precision, recall, pf, f1, ROC) for the generated models.
Each section contains the ten (prec pd pf F1 ROC) stats calculated for each fold in 10-fold cross validation, with the dataset being cross-validated listed at the top of the section.

camelbefore14
prec  pd    pf    F1    ROC
0.754 0.8 0.09 0.776 0.888
0.716 0.797 0.107 0.754 0.875
0.735 0.74 0.092 0.738 0.877
0.734 0.774 0.097 0.753 0.884
0.742 0.783 0.094 0.762 0.89
0.74 0.781 0.094 0.76 0.884
0.739 0.762 0.093 0.751 0.884
0.736 0.778 0.096 0.756 0.885
0.721 0.778 0.102 0.749 0.886
0.724 0.769 0.099 0.746 0.886

camelbefore1
prec  pd    pf    F1    ROC
0.727 0.416 0.028 0.529 0.786
0.652 0.397 0.036 0.494 0.767
0.662 0.432 0.036 0.523 0.769
0.642 0.401 0.037 0.494 0.761
0.646 0.406 0.036 0.498 0.755
0.644 0.397 0.034 0.491 0.749
0.632 0.405 0.037 0.494 0.744
0.622 0.408 0.039 0.493 0.745
0.63 0.392 0.036 0.483 0.741
0.634 0.393 0.036 0.485 0.746

camelbefore30
prec  pd    pf    F1    ROC
0.828 0.787 0.063 0.807 0.896
0.815 0.798 0.07 0.806 0.883
0.804 0.794 0.076 0.799 0.882
0.809 0.798 0.074 0.804 0.889
0.825 0.792 0.068 0.808 0.891
0.826 0.791 0.066 0.808 0.89
0.819 0.797 0.071 0.808 0.891
0.817 0.808 0.073 0.812 0.894
0.813 0.806 0.074 0.809 0.895
0.813 0.811 0.075 0.812 0.895

camelbefore7
prec  pd    pf    F1    ROC
0.736 0.696 0.071 0.716 0.875
0.734 0.705 0.074 0.719 0.861
0.734 0.695 0.073 0.714 0.862
0.743 0.706 0.072 0.724 0.869
0.751 0.712 0.07 0.731 0.874
0.748 0.701 0.069 0.724 0.868
0.739 0.699 0.072 0.718 0.868
0.734 0.704 0.075 0.718 0.87
0.732 0.702 0.074 0.717 0.871
0.729 0.705 0.076 0.717 0.873

camelbefore90
prec  pd    pf    F1    ROC
0.908 0.692 0.036 0.785 0.872
0.883 0.709 0.048 0.786 0.85
0.889 0.712 0.046 0.791 0.855
0.889 0.713 0.047 0.791 0.86
0.891 0.701 0.045 0.785 0.859
0.89 0.693 0.045 0.779 0.856
0.886 0.701 0.047 0.782 0.858
0.886 0.71 0.048 0.789 0.862
0.885 0.708 0.048 0.787 0.863
0.888 0.71 0.047 0.789 0.866

cloudstackbefore14
prec  pd    pf    F1    ROC
0.819 0.942 0.694 0.876 0.788
0.811 0.946 0.746 0.873 0.775
0.807 0.964 0.824 0.879 0.739
0.807 0.973 0.864 0.882 0.701
0.799 0.975 0.882 0.878 0.692
0.798 0.979 0.9 0.879 0.671
0.803 0.97 0.883 0.879 0.669
0.799 0.966 0.861 0.875 0.682
0.804 0.965 0.854 0.878 0.683
0.805 0.953 0.836 0.873 0.685

cloudstackbefore1
prec  pd    pf    F1    ROC
0.712 0.56 0.21 0.627 0.685
0.701 0.59 0.203 0.641 0.69
0.676 0.589 0.216 0.63 0.681
0.645 0.595 0.24 0.619 0.668
0.647 0.616 0.246 0.631 0.676
0.644 0.605 0.252 0.624 0.664
0.644 0.608 0.251 0.625 0.664
0.628 0.605 0.252 0.616 0.658
0.644 0.617 0.251 0.63 0.66
0.645 0.614 0.249 0.629 0.664

cloudstackbefore30
prec  pd    pf    F1    ROC
0.853 1 1 0.92 0.5
0.846 1 1 0.916 0.487
0.852 1 1 0.92 0.477
0.862 1 1 0.926 0.456
0.854 1 1 0.921 0.45
0.858 1 1 0.924 0.449
0.861 1 1 0.925 0.45
0.852 1 1 0.92 0.431
0.854 1 1 0.921 0.434
0.853 1 1 0.921 0.437

cloudstackbefore7
prec  pd    pf    F1    ROC
0.736 0.946 0.864 0.828 0.72
0.764 0.92 0.744 0.835 0.74
0.767 0.932 0.756 0.842 0.687
0.768 0.921 0.754 0.838 0.679
0.761 0.925 0.755 0.835 0.668
0.763 0.915 0.747 0.832 0.665
0.758 0.92 0.773 0.831 0.653
0.748 0.926 0.766 0.828 0.661
0.754 0.931 0.776 0.833 0.661
0.755 0.922 0.764 0.83 0.664

cloudstackbefore90
prec  pd    pf    F1    ROC
0.923 1 1 0.96 0.5
0.929 1 1 0.963 0.476
0.94 1 1 0.969 0.425
0.945 1 1 0.972 0.415
0.939 1 1 0.969 0.41
0.94 1 1 0.969 0.415
0.941 1 1 0.97 0.417
0.936 1 1 0.967 0.402
0.936 1 1 0.967 0.407
0.939 1 1 0.968 0.402
