This file contains summary statistics (precision, recall, pf, f1, ROC) for the generated models.
Each section contains the ten (prec pd pf F1 ROC) stats calculated for each fold in 10-fold cross validation, with the dataset being cross-validated listed at the top of the section.

camelbefore14
prec  pd    pf    F1    ROC
0.792 0.792 0.072 0.792 0.894
0.752 0.793 0.089 0.772 0.881
0.754 0.797 0.089 0.775 0.883
0.759 0.806 0.088 0.782 0.889
0.772 0.808 0.082 0.79 0.896
0.772 0.794 0.081 0.783 0.89
0.764 0.798 0.085 0.781 0.89
0.757 0.806 0.089 0.781 0.891
0.745 0.803 0.093 0.773 0.891
0.742 0.807 0.096 0.773 0.892

camelbefore1
prec  pd    pf    F1    ROC
0.74 0.481 0.03 0.583 0.788
0.691 0.445 0.033 0.542 0.769
0.675 0.399 0.031 0.501 0.77
0.653 0.401 0.035 0.497 0.763
0.621 0.397 0.04 0.485 0.756
0.622 0.397 0.038 0.484 0.75
0.623 0.403 0.039 0.489 0.746
0.61 0.415 0.042 0.494 0.747
0.619 0.408 0.039 0.492 0.742
0.625 0.413 0.04 0.497 0.748

camelbefore30
prec  pd    pf    F1    ROC
0.852 0.773 0.052 0.81 0.9
0.833 0.78 0.06 0.806 0.886
0.824 0.778 0.065 0.8 0.884
0.832 0.786 0.063 0.808 0.892
0.844 0.782 0.058 0.812 0.894
0.842 0.783 0.058 0.811 0.892
0.832 0.79 0.064 0.811 0.894
0.833 0.797 0.065 0.815 0.896
0.827 0.797 0.066 0.812 0.897
0.828 0.799 0.067 0.813 0.898

camelbefore7
prec  pd    pf    F1    ROC
0.729 0.696 0.074 0.712 0.887
0.746 0.7 0.069 0.723 0.873
0.744 0.692 0.069 0.717 0.873
0.741 0.693 0.072 0.716 0.88
0.748 0.686 0.068 0.716 0.884
0.753 0.695 0.067 0.723 0.881
0.744 0.694 0.07 0.718 0.882
0.745 0.691 0.069 0.717 0.885
0.732 0.698 0.074 0.715 0.886
0.731 0.7 0.074 0.716 0.887

camelbefore90
prec  pd    pf    F1    ROC
0.908 0.692 0.036 0.785 0.872
0.883 0.709 0.048 0.786 0.85
0.889 0.712 0.046 0.791 0.855
0.889 0.713 0.047 0.791 0.86
0.891 0.701 0.045 0.785 0.859
0.89 0.693 0.045 0.779 0.856
0.886 0.701 0.047 0.782 0.858
0.886 0.71 0.048 0.789 0.862
0.885 0.708 0.048 0.787 0.863
0.888 0.71 0.047 0.789 0.866

cloudstackbefore14
prec  pd    pf    F1    ROC
0.769 1 1 0.87 0.5
0.772 1 1 0.871 0.496
0.781 1 1 0.877 0.48
0.787 1 1 0.881 0.474
0.788 0.992 0.959 0.878 0.547
0.79 0.979 0.945 0.875 0.566
0.793 0.982 0.952 0.878 0.554
0.793 0.976 0.905 0.875 0.59
0.799 0.976 0.894 0.879 0.611
0.801 0.968 0.872 0.877 0.623

cloudstackbefore1
prec  pd    pf    F1    ROC
0.725 0.493 0.173 0.587 0.699
0.716 0.489 0.157 0.581 0.723
0.676 0.495 0.182 0.571 0.704
0.633 0.519 0.22 0.57 0.695
0.642 0.518 0.212 0.573 0.712
0.647 0.505 0.207 0.567 0.705
0.646 0.511 0.209 0.57 0.7
0.628 0.512 0.213 0.564 0.702
0.646 0.52 0.21 0.576 0.706
0.652 0.523 0.206 0.58 0.712

cloudstackbefore30
prec  pd    pf    F1    ROC
0.853 1 1 0.92 0.5
0.846 1 1 0.916 0.487
0.852 1 1 0.92 0.477
0.862 1 1 0.926 0.456
0.854 1 1 0.921 0.45
